Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Aaron Cadman,9,7,2,4.33,0.56,0.33,0.11,0,0,0,56,0
Adam Kennedy,5,12,3,7.2,0.0,0.0,0.8,0,0,0,0,0
Brent Daniels,11,24,7,15.91,1.55,0.45,1.18,64,27,0,82,45
Callan Ward,15,32,5,18.73,0.6,0.67,0.93,73,33,20,47,13
Cameron Fleeton,2,11,6,8.5,0.0,0.0,0.5,0,0,0,0,0
Connor Idun,16,28,12,17.12,0.0,0.0,0.5,75,19,6,0,0
Conor Stone,3,5,2,3.67,0.0,0.0,0.33,0,0,0,0,0
Cooper Hamilton,4,19,10,14.25,0.25,0.25,1.0,50,0,0,25,0
Daniel Lloyd,13,21,10,13.54,0.38,0.77,0.46,31,8,0,38,0
Finn Callaghan,16,27,13,21.38,0.12,0.19,0.25,94,62,25,12,0
Harry Himmelberg,15,28,5,15.33,0.67,0.47,0.73,60,27,7,47,13
Harry Perryman,12,24,1,17.58,0.25,0.17,0.58,92,25,0,8,8
Harry Rowston,7,14,2,7.0,0.14,0.29,0.29,0,0,0,14,0
Isaac Cumming,10,25,14,19.5,0.1,0.0,0.4,90,50,10,10,0
Jack Buckley,16,21,8,13.75,0.0,0.0,0.69,38,12,0,0,0
Jacob Wehr,2,12,3,7.5,0.0,0.0,0.5,0,0,0,0,0
Jake Riccardi,11,15,6,10.27,1.45,1.0,0.18,9,0,0,55,45
James Peatling,10,20,7,10.8,0.0,0.6,0.8,20,10,0,0,0
Jesse Hogan,15,19,7,13.07,1.87,1.27,0.93,47,0,0,80,73
Josh Fahey,3,13,1,6.0,0.33,0.33,0.0,0,0,0,33,0
Josh Kelly,12,41,6,26.92,0.83,0.25,1.08,92,92,75,50,25
Kieren Briggs,7,17,8,14.0,0.57,0.57,1.14,57,0,0,43,14
Lachie Whitfield,14,33,17,25.71,0.07,0.07,0.29,100,93,43,7,0
Lachie Ash,16,33,18,23.75,0.06,0.0,0.38,100,81,38,6,0
Lachlan Keeffe,6,12,2,6.0,0.0,0.17,0.17,0,0,0,0,0
Matt Flynn,9,17,7,11.78,0.11,0.22,1.44,33,0,0,11,0
Nick Haynes,14,29,2,18.0,0.07,0.0,0.29,79,43,21,7,0
Ryan Angwin,10,20,1,9.4,0.0,0.0,0.1,10,10,0,0,0
Sam Taylor,9,20,7,13.11,0.0,0.0,1.11,33,11,0,0,0
Stephen Coniglio,16,38,23,28.88,0.5,0.69,0.62,100,100,94,31,12
Toby Bedford,10,19,9,11.8,0.6,0.4,0.8,20,0,0,50,10
Toby Greene,14,24,5,18.14,2.71,1.43,1.36,86,36,0,93,86
Tom Green,15,38,17,31.13,0.33,0.07,0.73,100,93,93,20,7
