Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Angus Hastie,5,9,0,5.0,0.2,0.0,0.2,0,0,0,20,0
Anthony Caminiti,11,12,6,8.6,0.8,0.5,0.4,0,0,0,60,20
Arie Schoenmaker,3,18,13,15.33,0.0,0.0,0.33,67,0,0,0,0
Ben Paton,3,14,2,6.67,0.0,0.0,0.67,0,0,0,0,0
Brad Crouch,1,15,15,15.0,0.0,0.0,1.0,100,0,0,0,0
Bradley Hill,16,25,14,19.3,0.4,0.0,0.3,90,30,10,30,10
Callum Wilkie,16,26,10,17.5,0.0,0.0,0.7,60,40,20,0,0
Cooper Sharman,11,17,1,7.5,0.6,0.8,0.5,10,0,0,50,10
Dan Butler,9,12,1,7.11,0.78,0.33,0.89,0,0,0,44,22
Darcy Wilson,16,21,7,15.7,0.6,0.6,1.3,60,30,0,40,10
Dougal Howard,8,19,3,11.38,0.0,0.0,0.38,25,0,0,0,0
Hugo Garcia,5,14,6,9.8,0.2,0.2,0.2,0,0,0,20,0
Hunter Clark,5,18,14,16.4,0.2,0.2,0.6,80,0,0,20,0
Jack Hayes,2,17,2,9.5,1.0,0.5,2.5,50,0,0,50,50
Jack Higgins,13,18,9,13.0,2.0,1.2,0.8,20,0,0,90,70
Jack Sinclair,15,33,18,28.3,0.5,0.3,0.3,100,90,80,40,10
Jack Steele,16,33,15,22.5,0.1,0.2,0.8,100,60,40,10,0
Jimmy Webster,8,18,7,14.38,0.0,0.0,1.0,62,0,0,0,0
Josh Battle,16,22,8,16.2,0.2,0.2,0.1,70,30,0,10,10
Lance Collard,3,4,0,2.33,0.0,0.0,0.33,0,0,0,0,0
Liam Henry,10,20,4,14.2,0.7,0.7,0.5,60,10,0,50,20
Liam Stocker,10,15,7,11.5,0.0,0.0,0.7,10,0,0,0,0
Marcus Windhager,15,25,9,16.0,0.0,0.1,1.2,70,20,10,0,0
Mason Wood,11,27,3,19.1,0.8,0.3,0.3,80,70,10,50,10
Mattaes Phillipou,10,26,4,12.3,0.5,0.5,0.7,30,10,10,50,0
Max King,12,14,4,9.3,1.4,0.8,1.4,0,0,0,70,50
Mitch Owens,16,18,7,10.4,1.0,0.6,1.5,10,0,0,50,40
Nasiah Wanganeen-Milera,15,30,18,26.8,0.0,0.4,0.6,100,90,80,0,0
Paddy Dow,6,22,7,16.33,0.17,0.33,1.5,67,50,0,17,0
Riley Bonner,15,30,12,20.9,0.0,0.4,0.0,90,70,20,0,0
Rowan Marshall,16,31,11,19.3,0.6,0.3,1.3,80,30,20,30,20
Ryan Byrnes,9,22,4,16.11,0.0,0.0,0.78,56,33,0,0,0
Sebastian Ross,13,25,6,15.5,0.2,0.2,0.1,50,30,10,20,0
Tim Membrey,12,12,8,10.6,1.1,0.4,0.3,0,0,0,80,20
Tom Campbell,2,9,6,7.5,0.0,0.0,0.0,0,0,0,0,0
Zaine Cordy,8,15,2,8.12,0.12,0.0,0.38,12,0,0,12,0
Zak Jones,6,16,6,10.67,0.17,0.0,0.17,33,0,0,17,0
