Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Angus Hastie,5,9,0,5.0,0.2,0.0,0.2,0,0,0,20,0
Anthony Caminiti,11,12,6,8.82,0.91,0.64,0.45,0,0,0,64,27
Arie Schoenmaker,3,18,13,15.33,0.0,0.0,0.33,67,0,0,0,0
Ben Paton,3,14,2,6.67,0.0,0.0,0.67,0,0,0,0,0
Brad Crouch,1,15,15,15.0,0.0,0.0,1.0,100,0,0,0,0
Bradley Hill,16,33,12,21.25,0.38,0.31,0.31,88,44,31,31,6
Callum Wilkie,16,26,10,17.0,0.0,0.0,0.69,62,31,12,0,0
Cooper Sharman,11,17,1,8.09,0.64,0.73,0.45,9,0,0,55,9
Dan Butler,9,12,1,7.11,0.78,0.33,0.89,0,0,0,44,22
Darcy Wilson,16,21,7,15.0,0.69,0.56,0.94,56,19,0,50,12
Dougal Howard,8,19,3,11.38,0.0,0.0,0.38,25,0,0,0,0
Hugo Garcia,5,14,6,9.8,0.2,0.2,0.2,0,0,0,20,0
Hunter Clark,5,18,14,16.4,0.2,0.2,0.6,80,0,0,20,0
Jack Hayes,2,17,2,9.5,1.0,0.5,2.5,50,0,0,50,50
Jack Higgins,13,18,9,13.38,2.08,1.15,0.85,31,0,0,85,69
Jack Sinclair,15,33,18,26.93,0.47,0.27,0.53,100,87,67,40,7
Jack Steele,16,33,15,24.62,0.12,0.19,1.06,100,75,62,12,0
Jimmy Webster,8,18,7,14.38,0.0,0.0,1.0,62,0,0,0,0
Josh Battle,16,25,8,17.06,0.12,0.12,0.31,75,31,6,6,6
Lance Collard,3,4,0,2.33,0.0,0.0,0.33,0,0,0,0,0
Liam Henry,10,20,4,14.2,0.7,0.7,0.5,60,10,0,50,20
Liam Stocker,10,15,7,11.5,0.0,0.0,0.7,10,0,0,0,0
Marcus Windhager,15,29,9,18.0,0.0,0.13,1.2,80,33,13,0,0
Mason Wood,11,27,3,18.73,0.73,0.27,0.27,82,64,9,45,9
Mattaes Phillipou,10,26,4,12.3,0.5,0.5,0.7,30,10,10,50,0
Max King,12,17,4,10.42,1.58,1.0,1.67,17,0,0,75,58
Mitch Owens,16,22,7,11.88,0.94,0.56,1.56,19,6,0,56,31
Nasiah Wanganeen-Milera,15,32,18,26.07,0.0,0.4,0.53,100,87,73,0,0
Paddy Dow,6,22,7,16.33,0.17,0.33,1.5,67,50,0,17,0
Riley Bonner,15,32,12,22.0,0.07,0.4,0.13,93,73,27,7,0
Rowan Marshall,16,31,11,19.88,0.44,0.31,1.69,81,44,19,25,12
Ryan Byrnes,9,22,4,16.11,0.0,0.0,0.78,56,33,0,0,0
Sebastian Ross,13,28,6,16.54,0.23,0.23,0.23,54,38,15,23,0
Tim Membrey,12,12,8,10.58,1.33,0.5,0.33,0,0,0,83,33
Tom Campbell,2,9,6,7.5,0.0,0.0,0.0,0,0,0,0,0
Zaine Cordy,8,15,2,8.12,0.12,0.0,0.38,12,0,0,12,0
Zak Jones,6,16,6,10.67,0.17,0.0,0.17,33,0,0,17,0
