Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Adam Cerra,16,33,20,28.2,0.7,0.3,2.0,100,100,80,50,20
Adam Saad,15,25,14,20.1,0.0,0.0,0.4,90,50,10,0,0
Alex Cincotta,9,24,9,14.56,0.11,0.22,0.44,44,22,0,11,0
Blake Acres,15,34,17,22.8,0.3,0.2,0.7,100,70,30,30,0
Brodie Kemp,8,22,9,16.38,0.12,0.0,0.12,62,25,0,12,0
Charlie Curnow,16,18,10,14.6,2.7,2.3,1.5,60,0,0,100,70
Corey Durdin,10,11,7,8.8,1.0,0.6,0.5,0,0,0,80,20
David Cuningham,3,16,11,14.33,0.67,0.33,0.67,67,0,0,33,33
Ed Curnow,13,23,2,14.4,0.1,0.4,0.3,60,20,0,10,0
George Hewett,12,32,5,16.6,0.1,0.0,0.4,60,40,30,10,0
Harry McKay,16,20,6,12.5,1.7,1.5,1.8,30,10,0,80,60
Jack Carroll,1,4,4,4.0,0.0,0.0,0.0,0,0,0,0,0
Jack Martin,5,14,6,9.6,0.8,1.0,1.2,0,0,0,40,20
Jack Silvagni,14,19,4,13.9,0.6,0.9,1.1,40,0,0,30,20
Jacob Weitering,16,18,8,14.3,0.0,0.0,0.7,60,0,0,0,0
Jesse Motlop,12,17,5,10.3,0.9,0.4,1.0,10,0,0,50,40
Jordan Boyd,7,14,9,11.86,0.0,0.14,0.43,0,0,0,0,0
Josh Honey,5,10,5,8.0,0.4,0.6,0.2,0,0,0,40,0
Lachie Cowan,6,12,7,9.83,0.0,0.0,0.83,0,0,0,0,0
Lachie Fogarty,3,18,10,15.0,1.0,0.0,0.0,67,0,0,100,0
Lachie Plowman,1,12,12,12.0,0.0,0.0,2.0,0,0,0,0,0
Lewis Young,14,16,8,12.7,0.0,0.1,0.3,30,0,0,0,0
Marc Pittonet,11,13,1,9.9,0.0,0.1,1.2,0,0,0,0,0
Matthew Cottrell,7,23,11,16.0,0.57,0.29,0.71,71,14,0,43,14
Matthew Owies,11,13,4,8.7,1.6,0.3,0.7,0,0,0,80,60
Matthew Kennedy,14,27,7,18.7,0.4,0.2,0.8,80,50,20,40,0
Mitch McGovern,15,20,8,15.5,0.1,0.0,0.4,60,30,0,10,0
Nic Newman,14,34,6,20.8,0.1,0.2,0.7,90,50,20,10,0
Oliver Hollands,11,22,10,15.2,0.2,0.1,1.0,40,30,0,20,0
Paddy Dow,3,9,7,8.0,0.0,0.0,0.0,0,0,0,0,0
Patrick Cripps,16,33,17,24.7,0.4,0.2,1.5,100,70,60,20,10
Sam Docherty,14,34,24,27.7,0.3,0.3,0.6,100,100,90,30,0
Sam Walsh,12,35,22,29.0,0.2,0.4,1.3,100,100,90,20,0
Tom De Koning,9,13,8,11.11,0.44,0.33,1.67,0,0,0,33,11
Zac Fisher,8,28,7,17.75,0.38,0.5,0.5,62,38,12,38,0
