Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Aliir Aliir,16,16,7,11.81,0.0,0.0,0.88,25,0,0,0,0
Brynn Teakle,4,14,7,10.25,0.25,0.5,1.25,0,0,0,25,0
Charlie Dixon,11,16,7,12.36,1.73,1.09,0.73,27,0,0,73,55
Connor Rozee,16,31,19,25.25,0.94,0.5,1.31,100,88,62,69,19
Dan Houston,16,33,16,22.69,0.44,0.19,0.88,100,75,31,38,6
Dante Visentini,1,4,4,4.0,0.0,0.0,1.0,0,0,0,0,0
Darcy Byrne Jones,15,27,5,13.67,0.73,0.93,0.4,40,7,7,53,20
Dylan Williams,13,24,9,16.92,0.0,0.08,0.46,77,23,0,0,0
Francis Evans,5,14,2,5.4,0.4,0.2,0.2,0,0,0,20,20
Jackson Mead,5,10,4,8.0,0.4,0.2,0.2,0,0,0,40,0
Jase Burgoyne,3,8,2,5.0,0.0,0.0,0.0,0,0,0,0,0
Jason Horne Francis,16,25,10,17.31,0.56,0.31,1.69,69,31,12,50,6
Jed McEntee,13,13,4,9.0,0.85,0.15,0.54,0,0,0,69,15
Jeremy Finlayson,14,20,8,13.79,2.29,1.64,0.86,43,7,0,86,64
Josh Sinn,3,7,4,5.33,0.0,0.33,0.0,0,0,0,0,0
Kane Farrell,14,25,9,16.21,0.14,0.14,0.5,64,21,7,14,0
Lachie Jones,7,19,5,11.57,0.57,0.0,0.57,14,0,0,29,14
Miles Bergman,16,23,6,13.69,0.0,0.44,0.62,44,19,0,0,0
Mitch Georgiades,2,14,13,13.5,1.0,2.5,1.0,0,0,0,100,0
Ollie Wines,16,29,13,22.88,0.25,0.25,1.25,94,81,44,25,0
Ollie Lord,6,10,5,8.5,0.83,0.83,0.83,0,0,0,67,17
Orazio Fantasia,3,9,5,7.67,0.67,1.67,0.67,0,0,0,67,0
Riley Bonner,10,20,2,12.5,0.2,0.6,0.1,40,10,0,10,10
Ryan Burton,13,24,7,14.38,0.62,0.23,0.77,46,15,0,54,8
Sam Hayes,1,10,10,10.0,0.0,0.0,1.0,0,0,0,0,0
Sam Powell Pepper,16,21,7,14.12,1.12,1.19,0.75,38,12,0,75,31
Scott Lycett,10,18,2,11.5,0.0,0.0,2.1,10,0,0,0,0
Tom Jonas,8,12,2,7.12,0.12,0.0,0.62,0,0,0,12,0
Todd Marshall,13,16,0,9.38,1.77,0.85,0.77,15,0,0,77,54
Tom Clurey,1,3,3,3.0,0.0,0.0,0.0,0,0,0,0,0
Travis Boak,13,30,8,16.77,0.38,0.31,0.69,54,38,15,38,0
Trent McKenzie,14,16,2,10.14,0.0,0.0,0.36,7,0,0,0,0
Willem Drew,16,25,10,16.56,0.25,0.31,0.88,62,25,6,25,0
Willie Rioli,12,16,6,10.25,1.33,1.08,0.58,8,0,0,58,50
Xavier Duursma,7,22,5,14.29,0.43,0.0,1.14,43,29,0,43,0
Zak Butters,16,41,15,26.75,0.62,0.31,1.5,100,88,69,56,6
