Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Brad Close,16,18,7,12.81,1.38,0.31,0.69,25,0,0,94,19
Brandan Parfitt,8,21,13,18.38,0.12,0.12,0.38,88,50,0,12,0
Cameron Guthrie,4,27,9,16.75,0.0,0.0,1.0,75,25,25,0,0
Connor O'Sullivan,1,11,11,11.0,0.0,1.0,1.0,0,0,0,0,0
Gary Rohan,8,12,3,7.5,1.0,0.12,0.12,0,0,0,62,38
Gryan Miers,16,29,12,20.5,0.81,0.5,0.56,94,75,12,56,19
Jack Bowes,13,29,5,18.38,0.62,0.54,0.77,62,62,15,46,15
Jack Henry,16,16,7,11.12,0.0,0.0,0.5,19,0,0,0,0
Jake Kolodjashnij,15,19,7,13.93,0.07,0.07,0.33,53,0,0,7,0
Jed Bews,15,15,2,10.47,0.0,0.07,0.2,13,0,0,0,0
Jeremy Cameron,15,27,9,17.4,2.2,1.67,0.53,87,27,7,87,67
Jhye Clark,14,20,1,11.93,0.14,0.07,0.57,36,7,0,14,0
Lawson Humphries,2,17,15,16.0,0.0,0.0,0.5,100,0,0,0,0
Mark Blicavs,15,22,9,14.47,0.27,0.13,0.53,53,13,0,27,0
Mark O'Connor,13,17,5,11.92,0.15,0.23,0.69,46,0,0,15,0
Max Holmes,16,32,17,24.81,0.69,0.25,0.56,100,94,38,62,6
Mitch Duncan,14,27,14,21.5,0.21,0.43,0.36,93,71,21,21,0
Mitchell Knevitt,2,13,0,6.5,0.5,0.5,0.5,0,0,0,50,0
Oisin Mullin,8,15,3,10.38,0.0,0.0,0.62,25,0,0,0,0
Oliver Henry,14,11,2,8.0,1.5,0.57,0.86,0,0,0,71,50
Oliver Dempsey,16,27,10,17.94,0.81,0.44,1.0,56,38,25,50,19
Patrick Dangerfield,7,25,14,19.57,0.29,0.29,1.14,86,57,14,29,0
Rhys Stanley,8,13,3,8.25,0.0,0.12,1.25,0,0,0,0,0
Sam De Koning,15,21,5,14.27,0.2,0.0,0.73,47,20,0,13,7
Shannon Neale,7,12,3,8.71,1.71,0.71,0.57,0,0,0,100,57
Shaun Mannagh,3,20,5,12.67,0.33,1.33,1.0,33,33,0,33,0
Tanner Bruhn,11,27,9,18.45,0.27,0.36,1.36,73,45,18,27,0
Ted Clohesy,1,5,5,5.0,0.0,0.0,0.0,0,0,0,0,0
Tom Stewart,15,28,10,20.67,0.0,0.2,0.67,93,73,13,0,0
Toby Conway,5,21,9,13.6,0.2,0.0,1.4,20,20,0,20,0
Tom Atkins,15,27,6,16.93,0.0,0.13,1.2,73,33,7,0,0
Tom Hawkins,12,12,3,9.08,1.25,0.67,0.17,0,0,0,58,33
Tyson Stengle,16,18,7,13.75,1.94,0.75,0.62,38,0,0,88,62
Zach Guthrie,16,24,12,17.81,0.25,0.06,0.5,81,25,0,25,0
Zach Tuohy,12,24,9,15.83,0.58,0.33,0.58,67,17,0,42,8
