Year,Player Name,Round,Date,Opponent,Result,D,G,B
2023,Noah Anderson,17,08/07/2023,Power,Loss 73-106,29,0,0
2022,Noah Anderson,15,26/06/2022,Power,Loss 91-93,23,0,0
2021,Noah Anderson,14,19/06/2021,Power,Loss 31-81,30,0,0
2023,Touk Miller,17,08/07/2023,Power,Loss 73-106,20,1,0
2022,Touk Miller,15,26/06/2022,Power,Loss 91-93,30,0,1
2021,Touk Miller,14,19/06/2021,Power,Loss 31-81,31,0,0
2023,Matt Rowell,17,08/07/2023,Power,Loss 73-106,21,0,0
2022,Matt Rowell,15,26/06/2022,Power,Loss 91-93,20,0,0
2021,Matt Rowell,14,19/06/2021,Power,Loss 31-81,21,0,0
2023,Jarrod Witts,17,08/07/2023,Power,Loss 73-106,11,0,0
2022,Jarrod Witts,15,26/06/2022,Power,Loss 91-93,20,0,0
2023,Sam Flanders,17,08/07/2023,Power,Loss 73-106,24,0,1
2022,Sam Flanders,15,26/06/2022,Power,Loss 91-93,11,0,0
2021,Sam Flanders,14,19/06/2021,Power,Loss 31-81,16,0,1
2023,Lachie Weller,17,08/07/2023,Power,Loss 73-106,19,0,0
2021,Lachie Weller,14,19/06/2021,Power,Loss 31-81,15,0,0
2023,Wil Powell,17,08/07/2023,Power,Loss 73-106,14,0,0
2021,Wil Powell,14,19/06/2021,Power,Loss 31-81,20,0,0
2023,Darcy Macpherson,17,08/07/2023,Power,Loss 73-106,15,0,0
2023,Brandon Ellis,17,08/07/2023,Power,Loss 73-106,17,0,0
2022,Brandon Ellis,15,26/06/2022,Power,Loss 91-93,19,2,0
2021,Brandon Ellis,14,19/06/2021,Power,Loss 31-81,16,0,0
2023,Rory Atkins,17,08/07/2023,Power,Loss 73-106,26,0,0
2023,Ben Ainsworth,17,08/07/2023,Power,Loss 73-106,17,1,1
2022,Ben Ainsworth,15,26/06/2022,Power,Loss 91-93,22,1,2
2023,David Swallow,17,08/07/2023,Power,Loss 73-106,18,0,1
2022,David Swallow,15,26/06/2022,Power,Loss 91-93,25,0,1
2021,David Swallow,14,19/06/2021,Power,Loss 31-81,8,0,0
2023,Jack Lukosius,17,08/07/2023,Power,Loss 73-106,14,1,1
2021,Jack Lukosius,14,19/06/2021,Power,Loss 31-81,22,0,0
2023,Brayden Fiorini,17,08/07/2023,Power,Loss 73-106,19,0,0
2022,Brayden Fiorini,15,26/06/2022,Power,Loss 91-93,3,0,0
2021,Brayden Fiorini,14,19/06/2021,Power,Loss 31-81,15,0,0
2023,Charlie Ballard,17,08/07/2023,Power,Loss 73-106,15,0,0
2022,Charlie Ballard,15,26/06/2022,Power,Loss 91-93,11,0,0
2021,Charlie Ballard,14,19/06/2021,Power,Loss 31-81,17,0,0
2023,Nick Holman,17,08/07/2023,Power,Loss 73-106,11,2,0
2022,Nick Holman,15,26/06/2022,Power,Loss 91-93,12,1,1
2021,Nick Holman,14,19/06/2021,Power,Loss 31-81,12,0,1
2023,Levi Casboult,17,08/07/2023,Power,Loss 73-106,9,4,0
2022,Levi Casboult,15,26/06/2022,Power,Loss 91-93,8,2,1
2021,Levi Casboult,22,14/08/2021,Power,Loss 45-140,12,1,1
2021,Levi Casboult,5,17/04/2021,Power,Loss 68-96,10,2,1
2022,Alex Davies,15,26/06/2022,Power,Loss 91-93,1,0,0
2023,Sam Collins,17,08/07/2023,Power,Loss 73-106,11,0,0
2022,Sam Collins,15,26/06/2022,Power,Loss 91-93,7,0,0
2023,Bailey Humphrey,17,08/07/2023,Power,Loss 73-106,12,1,1
2023,Mac Andrew,17,08/07/2023,Power,Loss 73-106,5,0,0
2023,Jack Mahony,9,13/05/2023,Power,Loss 65-135,9,0,0
2022,Jack Mahony,9,14/05/2022,Power,Loss 46-115,5,0,0
2021,Jack Mahony,1,21/03/2021,Power,Loss 65-117,14,1,1
2023,Ben King,17,08/07/2023,Power,Loss 73-106,1,0,0
2021,Ben King,14,19/06/2021,Power,Loss 31-81,3,2,0
2022,Malcolm Rosas,15,26/06/2022,Power,Loss 91-93,7,1,0
2022,Ben Long,7,30/04/2022,Power,Loss 42-43,16,0,0
2021,Ben Long,18,17/07/2021,Power,Loss 61-74,9,0,0
2021,Ben Long,6,25/04/2021,Power,Loss 39-93,6,0,0
2022,Sean Lemmens,15,26/06/2022,Power,Loss 91-93,11,0,0
2021,Sean Lemmens,14,19/06/2021,Power,Loss 31-81,12,0,0
2023,Hewago Oea,17,08/07/2023,Power,Loss 73-106,16,1,0
2023,Jy Farrar,17,08/07/2023,Power,Loss 73-106,6,0,0
2022,Jy Farrar,15,26/06/2022,Power,Loss 91-93,4,0,0
2021,Sam Day,14,19/06/2021,Power,Loss 31-81,10,0,0
2021,Alex Sexton,14,19/06/2021,Power,Loss 31-81,15,1,0
2022,Caleb Graham,15,26/06/2022,Power,Loss 91-93,5,0,0
2021,Caleb Graham,14,19/06/2021,Power,Loss 31-81,5,0,0
