Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Aliir Aliir,15,22,14,17.33,0.0,0.0,1.67,67,33,0,0,0
Brandon Zerk-Thatcher,16,18,6,12.33,0.0,0.0,0.33,33,0,0,0,0
Charlie Dixon,10,11,1,7.33,0.0,0.67,0.33,0,0,0,0,0
Connor Rozee,13,36,25,29.67,0.33,0.67,0.33,100,100,100,33,0
Dan Houston,16,21,14,17.33,0.0,0.33,1.0,67,33,0,0,0
Dante Visentini,2,10,8,9.0,0.0,0.0,1.0,0,0,0,0,0
Darcy Byrne-Jones,16,13,7,9.33,0.33,0.67,0.67,0,0,0,33,0
Dylan Williams,4,12,10,10.67,0.0,0.0,0.0,0,0,0,0,0
Esava Ratugolea,14,13,8,10.33,0.33,0.0,0.0,0,0,0,33,0
Francis Evans,7,11,5,8.67,0.0,1.0,0.67,0,0,0,0,0
Ivan Soldo,8,13,6,9.0,0.33,0.67,1.0,0,0,0,33,0
Jackson Mead,16,18,15,17.0,0.33,0.33,0.67,100,0,0,33,0
Jase Burgoyne,13,15,14,14.33,0.0,0.0,1.0,33,0,0,0,0
Jason Horne-Francis,14,28,20,23.0,1.33,1.67,2.0,100,100,33,67,33
Jed McEntee,12,8,6,7.33,0.67,0.0,0.0,0,0,0,67,0
Jeremy Finlayson,11,16,9,12.0,0.67,1.33,0.33,33,0,0,67,0
Jordon Sweet,7,11,9,9.67,0.33,0.33,1.0,0,0,0,33,0
Josh Sinn,4,14,10,12.33,0.33,0.0,0.67,0,0,0,33,0
Kane Farrell,16,25,17,22.0,0.0,0.0,0.0,100,67,33,0,0
Lachie Jones,12,14,10,11.67,0.0,0.0,0.67,0,0,0,0,0
Miles Bergman,16,22,15,18.33,0.33,0.33,0.0,100,33,0,33,0
Mitch Georgiades,13,13,9,11.0,2.67,1.33,1.33,0,0,0,67,67
Ollie Wines,15,30,17,21.67,0.33,0.33,1.0,100,33,33,33,0
Ollie Lord,4,8,6,7.0,1.33,1.0,0.67,0,0,0,100,33
Quinton Narkle,4,13,7,10.0,0.67,1.0,0.0,0,0,0,67,0
Ryan Burton,11,13,9,10.67,0.0,0.0,0.67,0,0,0,0,0
Sam Powell-Pepper,3,11,7,9.33,1.0,1.33,0.67,0,0,0,67,33
Todd Marshall,16,15,7,10.33,0.33,1.0,0.33,33,0,0,33,0
Tom Clurey,1,3,3,3.0,0.0,0.0,0.0,0,0,0,0,0
Travis Boak,13,18,10,14.33,0.0,0.0,0.33,67,0,0,0,0
Trent McKenzie,19,8,3,5.33,0.0,0.0,0.0,0,0,0,0,0
Will Lorenz,1,4,4,4.0,0.0,0.0,0.0,0,0,0,0,0
Willem Drew,16,24,15,18.33,0.0,0.67,1.0,100,33,0,0,0
Willie Rioli,11,14,0,8.67,2.33,1.33,0.67,0,0,0,67,67
Zak Butters,16,35,22,30.0,1.0,0.0,1.33,100,100,67,100,0
