Year,Player Name,Round,Date,Opponent,Result,D,G,B
2023,Connor Rozee,17,08/07/2023,Suns,Win 106-73,28,2,1
2022,Connor Rozee,15,26/06/2022,Suns,Win 93-91,24,2,0
2021,Connor Rozee,14,19/06/2021,Suns,Win 81-31,19,3,1
2023,Zak Butters,17,08/07/2023,Suns,Win 106-73,22,0,0
2023,Dan Houston,17,08/07/2023,Suns,Win 106-73,22,1,0
2022,Dan Houston,15,26/06/2022,Suns,Win 93-91,30,0,0
2021,Dan Houston,14,19/06/2021,Suns,Win 81-31,27,0,0
2023,Ivan Soldo,7,30/04/2023,Suns,Loss 48-72,11,1,1
2022,Ivan Soldo,17,09/07/2022,Suns,Loss 92-94,6,0,0
2023,Ollie Wines,17,08/07/2023,Suns,Win 106-73,26,0,0
2022,Ollie Wines,15,26/06/2022,Suns,Win 93-91,26,0,0
2021,Ollie Wines,14,19/06/2021,Suns,Win 81-31,43,0,0
2023,Willem Drew,17,08/07/2023,Suns,Win 106-73,14,0,0
2022,Willem Drew,15,26/06/2022,Suns,Win 93-91,16,0,0
2021,Willem Drew,14,19/06/2021,Suns,Win 81-31,27,0,0
2023,Jeremy Finlayson,17,08/07/2023,Suns,Win 106-73,14,3,4
2022,Jeremy Finlayson,15,26/06/2022,Suns,Win 93-91,13,1,0
2021,Jeremy Finlayson,17,11/07/2021,Suns,Loss 64-65,9,1,1
2023,Charlie Dixon,17,08/07/2023,Suns,Win 106-73,16,1,0
2022,Charlie Dixon,15,26/06/2022,Suns,Win 93-91,16,1,1
2021,Charlie Dixon,14,19/06/2021,Suns,Win 81-31,16,2,1
2023,Jason Horne-Francis,17,08/07/2023,Suns,Win 106-73,11,1,0
2022,Jason Horne-Francis,23,20/08/2022,Suns,Loss 47-114,20,0,0
2022,Jason Horne-Francis,12,04/06/2022,Suns,Loss 47-109,15,1,0
2023,Kane Farrell,17,08/07/2023,Suns,Win 106-73,17,0,0
2022,Kane Farrell,15,26/06/2022,Suns,Win 93-91,20,1,2
2021,Kane Farrell,14,19/06/2021,Suns,Win 81-31,16,0,0
2023,Ryan Burton,17,08/07/2023,Suns,Win 106-73,18,0,0
2022,Ryan Burton,15,26/06/2022,Suns,Win 93-91,20,0,1
2021,Ryan Burton,14,19/06/2021,Suns,Win 81-31,11,0,0
2023,Travis Boak,17,08/07/2023,Suns,Win 106-73,20,1,0
2022,Travis Boak,15,26/06/2022,Suns,Win 93-91,20,0,1
2021,Travis Boak,14,19/06/2021,Suns,Win 81-31,25,0,0
2022,Mitch Georgiades,15,26/06/2022,Suns,Win 93-91,11,2,4
2021,Mitch Georgiades,14,19/06/2021,Suns,Win 81-31,10,2,2
2023,Sam Powell-Pepper,17,08/07/2023,Suns,Win 106-73,12,1,0
2022,Sam Powell-Pepper,15,26/06/2022,Suns,Win 93-91,21,0,1
2021,Sam Powell-Pepper,14,19/06/2021,Suns,Win 81-31,15,0,1
2023,Darcy Byrne-Jones,17,08/07/2023,Suns,Win 106-73,17,1,2
2021,Darcy Byrne-Jones,14,19/06/2021,Suns,Win 81-31,25,0,1
2023,Todd Marshall,17,08/07/2023,Suns,Win 106-73,12,2,0
2022,Todd Marshall,15,26/06/2022,Suns,Win 93-91,8,4,0
2023,Miles Bergman,17,08/07/2023,Suns,Win 106-73,10,0,0
2021,Miles Bergman,14,19/06/2021,Suns,Win 81-31,23,0,0
2023,Dylan Williams,17,08/07/2023,Suns,Win 106-73,17,0,0
2023,Willie Rioli,17,08/07/2023,Suns,Win 106-73,10,2,1
2022,Willie Rioli,20,31/07/2022,Suns,Loss 104-107,14,0,0
2022,Willie Rioli,1,20/03/2022,Suns,Loss 80-107,13,1,1
2023,Brandon Zerk-Thatcher,2,26/03/2023,Suns,Win 108-80,11,0,0
2022,Brandon Zerk-Thatcher,18,17/07/2022,Suns,Win 103-55,12,0,0
2023,Aliir Aliir,17,08/07/2023,Suns,Win 106-73,12,0,0
2022,Aliir Aliir,15,26/06/2022,Suns,Win 93-91,14,0,0
2021,Aliir Aliir,14,19/06/2021,Suns,Win 81-31,20,0,0
2023,Quinton Narkle,17,08/07/2023,Suns,Win 106-73,7,1,0
2021,Quinton Narkle,10,22/05/2021,Suns,Win 91-57,34,0,1
2023,Lachie Jones,17,08/07/2023,Suns,Win 106-73,14,0,0
2022,Lachie Jones,15,26/06/2022,Suns,Win 93-91,16,1,0
2021,Lachie Jones,14,19/06/2021,Suns,Win 81-31,9,0,0
2023,Trent McKenzie,17,08/07/2023,Suns,Win 106-73,2,0,0
2022,Trent McKenzie,15,26/06/2022,Suns,Win 93-91,15,0,0
2021,Trent McKenzie,14,19/06/2021,Suns,Win 81-31,16,0,0
2023,Jed McEntee,17,08/07/2023,Suns,Win 106-73,8,0,0
2023,Esava Ratugolea,3,02/04/2023,Suns,Loss 54-73,11,0,0
2021,Esava Ratugolea,10,22/05/2021,Suns,Win 91-57,11,0,0
2022,Jackson Mead,15,26/06/2022,Suns,Win 93-91,9,0,0
2022,Jordon Sweet,10,21/05/2022,Suns,Win 106-87,4,0,0
2021,Jordon Sweet,5,17/04/2021,Suns,Win 118-56,8,0,0
