Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Alex Pearce,14,14,3,8.67,0.0,0.0,2.33,0,0,0,0,0
Andrew Brayshaw,16,35,24,30.33,0.67,0.67,1.33,100,100,67,67,0
Bailey Banfield,16,17,7,12.0,0.33,1.0,0.33,33,0,0,33,0
Brandon Walker,13,15,13,14.0,0.0,0.0,0.0,33,0,0,0,0
Brennan Cox,2,14,4,9.0,0.5,0.0,0.0,0,0,0,50,0
Caleb Serong,16,29,23,26.33,0.67,0.33,0.67,100,100,67,67,0
Cooper Simpson,2,6,5,5.5,0.0,0.0,0.0,0,0,0,0,0
Corey Wagner,5,21,15,19.0,0.0,0.0,0.67,100,67,0,0,0
Ethan Hughes,6,14,10,12.67,0.0,0.0,0.67,0,0,0,0,0
Ethan Stanley,2,5,3,4.0,0.0,0.5,0.5,0,0,0,0,0
Hayden Young,16,24,17,21.67,1.67,0.33,0.33,100,67,0,67,67
Heath Chapman,9,16,12,14.0,0.33,0.0,0.33,33,0,0,33,0
Hugh Davies,2,7,1,4.0,0.0,0.0,0.0,0,0,0,0,0
Jaeger O'Meara,15,19,11,15.0,1.0,0.0,0.33,67,0,0,100,0
James Aish,16,19,4,12.67,0.0,0.33,0.33,67,0,0,0,0
Jeremy Sharp,16,25,11,16.33,0.0,0.33,0.33,33,33,33,0,0
Jordan Clark,16,26,17,22.0,0.0,0.0,0.33,100,67,33,0,0
Josh Corbett,5,11,4,7.33,1.0,0.67,0.0,0,0,0,67,33
Joshua Draper,14,14,6,9.67,0.0,0.0,0.67,0,0,0,0,0
Josh Treacy,16,16,12,13.67,3.0,0.33,0.67,33,0,0,100,100
Jye Amiss,15,11,6,9.0,1.33,1.33,1.67,0,0,0,67,33
Karl Worner,3,16,5,11.0,0.0,0.0,0.33,33,0,0,0,0
Luke Jackson,16,21,7,13.67,0.33,0.67,0.67,33,33,0,33,0
Luke Ryan,16,26,18,22.33,0.0,0.0,0.0,100,67,33,0,0
Matthew Johnson,15,21,15,18.33,0.0,0.33,1.33,100,33,0,0,0
Matt Taberner,4,10,3,5.67,1.33,0.33,0.67,0,0,0,100,33
Michael Walters,14,16,3,7.67,1.67,0.33,0.33,33,0,0,67,67
Michael Frederick,13,11,8,9.0,1.33,1.33,0.0,0,0,0,100,33
Nat Fyfe,16,22,13,16.67,0.0,0.33,0.67,67,33,0,0,0
Nathan O'Driscoll,10,15,7,12.0,0.0,0.0,0.33,33,0,0,0,0
Neil Erasmus,3,9,2,5.33,0.0,0.0,0.0,0,0,0,0,0
Oscar McDonald,1,10,10,10.0,0.0,0.0,0.0,0,0,0,0,0
Sam Sturt,6,13,11,12.0,1.67,1.33,0.67,0,0,0,67,67
Sam Switkowski,13,17,14,15.0,0.67,0.67,0.67,33,0,0,67,0
Sean Darcy,9,20,7,12.0,0.67,0.0,1.33,33,33,0,67,0
Tom Emmett,11,11,6,8.67,0.0,0.33,0.33,0,0,0,0,0
Will Brodie,5,26,16,22.0,0.0,0.0,0.67,100,67,33,0,0
