Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Adam Tomlinson,5,17,12,14.67,0.0,0.0,1.33,67,0,0,0,0
Alex Neal Bullen,16,19,12,15.67,0.33,0.33,1.0,67,0,0,33,0
Angus Brayshaw,16,25,24,24.67,0.0,0.0,1.0,100,100,67,0,0
Bailey Laurie,2,4,4,4.0,0.0,0.0,0.0,0,0,0,0,0
Bayley Fritsch,14,9,1,6.33,1.67,1.67,0.67,0,0,0,67,67
Ben Brown,5,12,2,8.33,0.67,1.0,0.67,0,0,0,67,0
Brodie Grundy,16,15,13,13.67,0.33,0.0,1.67,33,0,0,33,0
Charlie Spargo,12,11,2,6.33,0.0,0.33,0.0,0,0,0,0,0
Christian Petracca,16,34,20,29.0,1.67,2.0,1.33,100,100,67,67,33
Christian Salem,7,24,22,23.33,0.0,0.0,0.67,100,100,0,0,0
Clayton Oliver,10,34,28,30.67,0.33,0.0,2.33,100,100,100,33,0
Daniel Turner,1,9,9,9.0,0.0,0.0,1.0,0,0,0,0,0
Ed Langdon,16,24,21,22.0,0.67,0.0,1.0,100,100,0,67,0
Harrison Petty,11,17,5,11.67,0.0,0.0,0.67,33,0,0,0,0
Jack Viney,15,41,25,30.33,0.0,0.33,2.33,100,100,100,0,0
Jacob van Rooyen,12,16,7,11.0,1.0,0.0,1.0,33,0,0,100,0
Jake Bowey,14,19,17,18.33,0.33,0.33,0.33,100,0,0,33,0
Jake Lever,15,19,15,17.67,0.0,0.0,0.67,100,0,0,0,0
Jake Melksham,6,10,6,8.67,1.67,1.0,0.0,0,0,0,100,67
James Harmes,7,19,5,12.67,0.33,0.67,1.33,33,0,0,33,0
James Jordon,12,23,7,13.0,0.0,0.0,1.0,33,33,0,0,0
Joel Smith,5,11,0,5.33,0.67,0.33,0.33,0,0,0,33,33
Josh Schache,1,9,9,9.0,1.0,0.0,1.0,0,0,0,100,0
Judd McVee,16,15,14,14.67,0.0,0.0,0.67,67,0,0,0,0
Kade Chandler,15,12,12,12.0,0.0,1.33,0.33,0,0,0,0,0
Kysaiah Pickett,14,19,4,11.67,1.0,1.33,1.0,33,0,0,67,33
Lachie Hunter,15,30,21,24.67,0.33,0.67,0.67,100,100,33,33,0
Max Gawn,13,20,15,17.0,0.0,0.0,1.0,100,33,0,0,0
Michael Hibberd,9,15,5,10.33,0.0,0.0,0.33,33,0,0,0,0
Steven May,14,29,16,22.33,0.0,0.0,1.33,100,67,33,0,0
Taj Woewodin,1,12,12,12.0,0.0,1.0,2.0,0,0,0,0,0
Tom McDonald,6,8,6,6.67,1.0,0.33,0.33,0,0,0,67,33
Tom Sparrow,15,26,19,22.33,0.67,0.67,1.0,100,67,33,33,33
Trent Rivers,16,25,17,21.0,0.0,0.33,1.33,100,67,33,0,0
