Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Alwyn Davey Jnr,8,8,3,6.0,1.0,0.0,0.33,0,0,0,100,0
Andrew McGrath,16,24,18,20.0,0.0,0.0,0.0,100,33,0,0,0
Archie Perkins,13,17,13,14.67,0.0,0.67,0.0,33,0,0,0,0
Ben Hobbs,9,13,4,8.0,0.0,0.0,0.0,0,0,0,0,0
Ben McKay,16,19,8,12.0,0.0,0.0,1.33,33,0,0,0,0
Darcy Parish,7,36,16,25.67,0.33,0.0,0.33,100,67,67,33,0
Dylan Shiel,2,26,2,14.0,0.0,0.0,0.5,50,50,50,0,0
Dyson Heppell,15,22,12,18.0,0.33,0.0,1.33,67,67,0,33,0
Elijah Tsatas,7,16,3,8.33,0.0,0.0,0.0,33,0,0,0,0
Harrison Jones,14,17,12,14.33,0.33,0.0,1.33,33,0,0,33,0
Jade Gresham,15,18,13,15.33,1.0,0.67,0.33,67,0,0,100,0
Jake Kelly,14,17,9,13.67,0.0,0.0,0.33,67,0,0,0,0
Jake Stringer,16,20,9,15.0,2.67,0.67,0.0,67,33,0,100,67
Jayden Laverde,15,28,11,17.33,0.0,0.0,0.33,33,33,33,0,0
Jordan Ridley,6,25,15,21.67,0.0,0.0,0.33,100,67,67,0,0
Jye Caldwell,16,32,26,29.33,0.67,0.33,2.0,100,100,100,67,0
Jye Menzie,9,20,1,9.67,0.0,0.33,0.33,33,33,0,0,0
Kaine Baldwin,4,14,0,7.33,0.0,0.0,0.33,0,0,0,0,0
Kyle Langford,16,15,7,10.67,1.67,1.0,0.67,33,0,0,100,67
Mason Redman,14,22,12,17.67,0.0,0.0,0.0,67,33,0,0,0
Matt Guelfi,10,17,15,15.67,1.33,0.67,0.67,100,0,0,100,33
Nate Caddy,3,12,10,11.0,1.0,2.0,1.33,0,0,0,67,33
Nic Martin,16,27,21,23.67,0.0,0.33,0.33,100,100,33,0,0
Nick Bryan,1,15,15,15.0,0.0,0.0,0.0,100,0,0,0,0
Nick Hind,14,13,3,8.67,0.67,0.0,0.33,0,0,0,67,0
Nik Cox,15,11,7,9.0,0.0,0.0,0.33,0,0,0,0,0
Peter Wright,12,15,12,13.33,2.0,0.67,0.0,33,0,0,100,100
Sam Draper,9,17,9,13.67,0.33,0.33,1.33,67,0,0,33,0
Sam Durham,15,29,18,24.0,0.33,0.0,1.0,100,67,67,33,0
Sam Weideman,16,10,6,7.67,0.67,0.0,0.33,0,0,0,33,33
Todd Goldstein,13,19,13,15.0,0.0,0.0,2.33,33,0,0,0,0
Will Setterfield,4,29,19,22.33,0.0,0.33,1.0,100,33,33,0,0
Xavier Duursma,11,20,15,17.0,0.67,0.0,0.0,100,33,0,67,0
Zach Reid,1,3,3,3.0,0.0,0.0,0.0,0,0,0,0,0
Zach Merrett,16,30,23,27.33,1.0,0.67,0.67,100,100,67,100,0
