Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Alwyn Davey Jnr,8,10,1,6.38,0.62,0.0,0.38,0,0,0,62,0
Andrew McGrath,16,33,16,22.62,0.06,0.0,0.81,100,62,25,6,0
Archie Perkins,13,24,12,17.92,0.38,0.38,0.85,77,46,0,31,8
Ben Hobbs,9,21,4,13.67,0.11,0.11,0.89,44,11,0,11,0
Ben McKay,16,19,6,12.0,0.0,0.0,0.81,31,0,0,0,0
Darcy Parish,7,36,16,24.14,0.29,0.43,0.29,100,86,43,29,0
Dylan Shiel,2,26,2,14.0,0.0,0.0,0.5,50,50,50,0,0
Dyson Heppell,15,30,12,20.8,0.07,0.0,0.73,80,60,33,7,0
Elijah Tsatas,7,16,3,10.14,0.14,0.14,0.0,29,0,0,14,0
Harrison Jones,14,17,4,10.14,0.86,0.5,0.64,7,0,0,64,21
Jade Gresham,15,26,8,15.27,0.87,0.6,0.6,60,20,7,60,13
Jake Kelly,14,21,9,15.43,0.07,0.0,0.36,79,14,0,7,0
Jake Stringer,16,20,9,12.88,2.0,1.12,0.62,25,6,0,94,50
Jayden Laverde,15,28,10,15.2,0.0,0.0,0.67,40,13,7,0,0
Jordan Ridley,6,31,15,23.33,0.17,0.0,0.5,100,83,50,17,0
Jye Caldwell,16,32,13,22.31,0.31,0.38,1.19,94,75,31,31,0
Jye Menzie,9,20,1,8.56,0.22,0.44,0.33,22,11,0,22,0
Kaine Baldwin,4,14,0,8.75,0.0,0.0,0.5,0,0,0,0,0
Kyle Langford,16,16,4,11.19,2.06,1.31,0.81,12,0,0,81,69
Mason Redman,14,26,12,20.57,0.07,0.21,0.64,93,71,14,7,0
Matt Guelfi,10,17,9,13.3,1.5,1.0,1.2,50,0,0,80,50
Nate Caddy,3,12,10,11.0,1.0,2.0,1.33,0,0,0,67,33
Nic Martin,16,44,21,28.62,0.31,0.62,0.38,100,100,81,25,6
Nick Bryan,1,15,15,15.0,0.0,0.0,0.0,100,0,0,0,0
Nick Hind,14,25,3,11.86,0.43,0.29,0.64,29,21,7,36,7
Nik Cox,15,18,5,12.53,0.33,0.13,0.53,33,0,0,20,7
Peter Wright,12,19,8,11.92,1.58,0.58,0.83,25,0,0,75,67
Sam Draper,9,17,5,10.67,0.33,0.56,1.11,22,0,0,33,0
Sam Durham,15,29,11,21.0,0.4,0.2,1.13,87,67,33,40,0
Sam Weideman,16,14,3,9.12,0.94,0.94,0.81,0,0,0,38,38
Todd Goldstein,13,19,7,10.62,0.15,0.08,1.92,8,0,0,15,0
Will Setterfield,4,29,19,22.75,0.0,0.5,1.0,100,50,25,0,0
Xavier Duursma,11,26,12,18.36,0.55,0.0,0.64,82,55,9,45,9
Zach Reid,1,3,3,3.0,0.0,0.0,0.0,0,0,0,0,0
Zach Merrett,16,36,21,28.5,0.69,0.62,1.38,100,100,75,50,12
