Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Adam Tomlinson,5,25,8,15.2,0.0,0.0,1.0,40,20,20,0,0
Alex Neal-Bullen,16,20,15,16.6,0.2,0.2,0.6,100,20,0,20,0
Andy Moniz-Wakefield,2,16,16,16.0,0.0,0.0,1.0,100,0,0,0,0
Bailey Laurie,4,14,1,7.0,0.5,0.0,0.25,0,0,0,25,25
Bayley Fritsch,16,17,6,11.0,1.0,1.6,0.6,20,0,0,60,20
Ben Brown,6,9,3,5.6,1.0,0.4,0.4,0,0,0,60,20
Blake Howes,12,14,9,11.2,0.0,0.0,0.4,0,0,0,0,0
Caleb Windsor,16,25,9,16.2,0.2,0.2,0.6,60,40,20,20,0
Charlie Spargo,1,12,12,12.0,0.0,1.0,1.0,0,0,0,0,0
Christian Petracca,13,26,13,20.8,1.8,0.4,0.8,80,80,20,80,40
Christian Salem,12,32,13,23.4,0.0,0.2,0.8,80,80,40,0,0
Clayton Oliver,16,29,14,20.8,0.4,0.2,0.2,60,40,40,40,0
Daniel Turner,8,13,6,8.6,0.8,0.4,0.4,0,0,0,60,20
Ed Langdon,15,22,12,18.0,0.2,0.8,0.8,80,40,0,20,0
Harrison Petty,13,15,2,8.0,0.4,1.0,0.4,20,0,0,40,0
Jack Billings,11,20,9,14.8,0.0,0.2,0.6,60,20,0,0,0
Jack Viney,16,26,18,22.4,0.2,0.0,1.4,100,60,40,20,0
Jacob van Rooyen,14,14,4,11.0,2.6,1.4,0.4,0,0,0,100,80
Jake Bowey,8,22,12,16.2,0.0,0.2,0.2,60,20,0,0,0
Jake Lever,12,24,1,12.0,0.0,0.0,0.4,20,20,0,0,0
Jake Melksham,1,9,9,9.0,2.0,1.0,0.0,0,0,0,100,100
Josh Schache,1,4,4,4.0,0.0,2.0,1.0,0,0,0,0,0
Judd McVee,16,22,10,16.2,0.0,0.0,0.6,60,20,0,0,0
Kade Chandler,16,15,7,11.4,0.4,0.2,0.8,20,0,0,40,0
Koltyn Tholstrup,4,16,7,11.25,0.5,0.75,0.75,25,0,0,25,25
Kynan Brown,2,2,1,1.5,0.0,0.0,0.5,0,0,0,0,0
Kysaiah Pickett,14,19,10,13.4,2.0,1.8,0.6,20,0,0,80,60
Lachie Hunter,2,20,7,13.5,0.5,0.0,0.0,50,50,0,50,0
Marty Hore,3,14,7,11.0,0.0,0.0,0.0,0,0,0,0,0
Max Gawn,16,25,9,17.2,0.6,0.4,1.0,60,40,20,60,0
Shane McAdam,3,11,4,8.67,0.33,0.67,0.33,0,0,0,33,0
Steven May,15,18,13,16.4,0.0,0.0,0.6,80,0,0,0,0
Taj Woewodin,12,13,1,7.4,0.0,0.2,0.2,0,0,0,0,0
Tom McDonald,15,22,11,15.2,0.6,0.0,0.6,40,20,0,40,20
Tom Sparrow,16,16,12,14.4,0.2,0.4,0.4,60,0,0,20,0
Trent Rivers,16,29,21,24.0,0.2,0.0,0.8,100,100,20,20,0
