Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Aaron Cadman,14,8,4,5.6,0.8,0.4,0.4,0,0,0,60,20
Brent Daniels,15,29,15,21.6,0.6,0.8,0.6,100,40,40,60,0
Callan Ward,11,30,12,21.6,1.2,0.0,1.0,80,60,20,60,60
Callum M. Brown,12,13,2,7.0,0.8,0.2,0.2,0,0,0,40,40
Connor Idun,16,24,16,20.8,0.0,0.0,0.4,100,80,0,0,0
Conor Stone,2,5,3,4.0,0.5,0.0,1.0,0,0,0,50,0
Darcy Jones,5,18,3,11.2,1.0,0.4,0.0,40,0,0,80,20
Finn Callaghan,15,28,22,24.8,0.0,0.6,1.4,100,100,40,0,0
Harry Himmelberg,16,22,20,21.4,0.0,0.2,1.0,100,100,0,0,0
Harry Perryman,12,22,11,17.8,0.0,0.0,0.0,80,40,0,0,0
Harvey Thomas,16,17,9,13.8,0.6,0.2,0.4,60,0,0,60,0
Isaac Cumming,2,19,14,16.5,1.5,0.0,0.0,50,0,0,100,50
Jack Buckley,14,14,9,12.4,0.0,0.0,1.0,0,0,0,0,0
Jacob Wehr,11,15,10,12.4,0.0,0.0,1.2,20,0,0,0,0
Jake Riccardi,16,19,8,12.2,1.2,0.4,0.4,20,0,0,80,40
James Peatling,10,24,2,14.0,0.4,0.2,1.6,60,20,0,40,0
Jesse Hogan,16,15,7,11.8,2.0,0.8,1.2,40,0,0,100,40
Josh Kelly,12,27,21,23.8,1.0,0.4,0.6,100,100,20,80,20
Kieren Briggs,16,22,13,17.0,0.0,1.0,1.4,60,40,0,0,0
Lachie Whitfield,16,41,25,30.8,0.0,0.0,0.8,100,100,100,0,0
Lachie Ash,11,26,18,20.8,0.0,0.0,0.6,100,60,20,0,0
Leek Aleer,8,16,6,10.2,0.0,0.0,1.2,20,0,0,0,0
Max Gruzewski,2,4,2,3.0,1.0,0.0,0.5,0,0,0,50,50
Nick Haynes,7,25,14,18.8,0.0,0.2,0.6,80,40,20,0,0
Ryan Angwin,4,19,4,12.5,0.25,0.5,1.0,50,0,0,25,0
Sam Taylor,11,16,7,12.6,0.0,0.0,0.6,40,0,0,0,0
Stephen Coniglio,10,28,12,21.0,0.2,0.8,1.0,80,60,20,20,0
Toby Bedford,16,18,10,14.2,0.4,0.4,1.4,60,0,0,40,0
Toby Greene,15,18,12,15.6,1.6,1.8,0.6,60,0,0,100,40
Toby McMullin,7,16,2,6.8,0.2,0.2,0.6,20,0,0,20,0
Tom Green,16,38,26,32.4,0.2,0.0,0.6,100,100,100,20,0
Xavier O'Halloran,12,15,9,11.6,1.0,0.4,0.8,20,0,0,40,20
