Year,Player Name,Round,Date,Opponent,Result,D,G,B
2023,Tim Taranto,12,04/06/2023,Giants,Win 110-104,36,1,0
2023,Toby Nankervis,12,04/06/2023,Giants,Win 110-104,18,0,0
2022,Toby Nankervis,2,27/03/2022,Giants,Win 109-73,15,1,0
2021,Toby Nankervis,22,13/08/2021,Giants,Loss 67-106,14,0,0
2021,Toby Nankervis,9,15/05/2021,Giants,Win 87-83,16,1,0
2023,Jayden Short,12,04/06/2023,Giants,Win 110-104,23,0,0
2022,Jayden Short,2,27/03/2022,Giants,Win 109-73,33,0,0
2021,Jayden Short,22,13/08/2021,Giants,Loss 67-106,32,0,0
2021,Jayden Short,9,15/05/2021,Giants,Win 87-83,27,0,0
2023,Dustin Martin,12,04/06/2023,Giants,Win 110-104,19,0,1
2021,Dustin Martin,9,15/05/2021,Giants,Win 87-83,28,4,2
2023,Shai Bolton,12,04/06/2023,Giants,Win 110-104,23,1,2
2022,Shai Bolton,2,27/03/2022,Giants,Win 109-73,17,2,2
2021,Shai Bolton,22,13/08/2021,Giants,Loss 67-106,17,2,2
2021,Nick Vlastuin,22,13/08/2021,Giants,Loss 67-106,20,0,0
2021,Nick Vlastuin,9,15/05/2021,Giants,Win 87-83,14,0,0
2023,Daniel Rioli,12,04/06/2023,Giants,Win 110-104,17,0,0
2022,Daniel Rioli,2,27/03/2022,Giants,Win 109-73,21,0,0
2021,Daniel Rioli,22,13/08/2021,Giants,Loss 67-106,22,0,0
2021,Daniel Rioli,9,15/05/2021,Giants,Win 87-83,11,1,0
2023,Dion Prestia,12,04/06/2023,Giants,Win 110-104,23,1,0
2021,Dion Prestia,22,13/08/2021,Giants,Loss 67-106,22,0,1
2023,Jack Ross,12,04/06/2023,Giants,Win 110-104,18,0,0
2022,Jack Ross,2,27/03/2022,Giants,Win 109-73,12,0,0
2023,Liam Baker,12,04/06/2023,Giants,Win 110-104,20,0,1
2022,Liam Baker,2,27/03/2022,Giants,Win 109-73,14,1,0
2021,Liam Baker,22,13/08/2021,Giants,Loss 67-106,23,2,0
2021,Liam Baker,9,15/05/2021,Giants,Win 87-83,33,0,1
2023,Nathan Broad,12,04/06/2023,Giants,Win 110-104,18,0,0
2022,Nathan Broad,2,27/03/2022,Giants,Win 109-73,22,0,0
2021,Nathan Broad,9,15/05/2021,Giants,Win 87-83,19,0,0
2023,Noah Balta,12,04/06/2023,Giants,Win 110-104,17,0,0
2022,Noah Balta,2,27/03/2022,Giants,Win 109-73,10,4,2
2021,Noah Balta,9,15/05/2021,Giants,Win 87-83,6,0,0
2023,Jack Graham,12,04/06/2023,Giants,Win 110-104,9,1,0
2022,Jack Graham,2,27/03/2022,Giants,Win 109-73,22,0,0
2021,Jack Graham,22,13/08/2021,Giants,Loss 67-106,20,0,1
2021,Jack Graham,9,15/05/2021,Giants,Win 87-83,23,0,0
2023,Kamdyn McIntosh,12,04/06/2023,Giants,Win 110-104,19,1,0
2022,Kamdyn McIntosh,2,27/03/2022,Giants,Win 109-73,10,0,0
2021,Kamdyn McIntosh,9,15/05/2021,Giants,Win 87-83,14,0,0
2022,Thomson Dow,2,27/03/2022,Giants,Win 109-73,14,0,0
2021,Thomson Dow,22,13/08/2021,Giants,Loss 67-106,14,0,0
2022,Tom Lynch,2,27/03/2022,Giants,Win 109-73,11,3,2
2021,Tom Lynch,22,13/08/2021,Giants,Loss 67-106,12,2,2
2021,Tom Lynch,9,15/05/2021,Giants,Win 87-83,8,1,4
2023,Marlion Pickett,12,04/06/2023,Giants,Win 110-104,7,2,0
2022,Marlion Pickett,2,27/03/2022,Giants,Win 109-73,18,0,1
2021,Marlion Pickett,9,15/05/2021,Giants,Win 87-83,10,0,0
2022,Jacob Koschitzke,16,03/07/2022,Giants,Loss 50-72,10,1,0
2021,Jacob Koschitzke,15,27/06/2021,Giants,Win 90-72,6,0,2
2023,Samson Ryan,12,04/06/2023,Giants,Win 110-104,11,1,2
2022,Ben Miller,2,27/03/2022,Giants,Win 109-73,9,0,0
2023,Noah Cumberland,12,04/06/2023,Giants,Win 110-104,2,0,1
2023,Rhyan Mansell,12,04/06/2023,Giants,Win 110-104,6,1,1
2021,Rhyan Mansell,22,13/08/2021,Giants,Loss 67-106,9,0,0
2021,Rhyan Mansell,9,15/05/2021,Giants,Win 87-83,7,0,0
2023,Judson Clarke,12,04/06/2023,Giants,Win 110-104,11,2,1
2023,Hugo Ralphsmith,12,04/06/2023,Giants,Win 110-104,17,0,0
2022,Hugo Ralphsmith,2,27/03/2022,Giants,Win 109-73,19,1,0
2021,Hugo Ralphsmith,22,13/08/2021,Giants,Loss 67-106,7,0,0
2021,Hugo Ralphsmith,9,15/05/2021,Giants,Win 87-83,10,0,1
2023,Dylan Grimes,12,04/06/2023,Giants,Win 110-104,11,0,0
2021,Dylan Grimes,22,13/08/2021,Giants,Loss 67-106,17,0,0
2021,Dylan Grimes,9,15/05/2021,Giants,Win 87-83,15,0,0
2023,Tylar Young,12,04/06/2023,Giants,Win 110-104,8,0,0
2021,Maurice Rioli,22,13/08/2021,Giants,Loss 67-106,3,1,0
2022,Josh Gibcus,2,27/03/2022,Giants,Win 109-73,10,0,0
