Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Aaron Naughton,16,12,6,9.4,2.2,0.8,1.0,0,0,0,100,80
Adam Treloar,12,34,22,29.4,0.6,0.2,1.8,100,100,80,60,0
Alex Keath,12,15,9,11.4,0.0,0.0,0.8,20,0,0,0,0
Anthony Scott,16,12,4,9.2,0.0,0.0,0.4,0,0,0,0,0
Arthur Jones,11,14,0,8.0,0.2,0.8,0.6,0,0,0,20,0
Bailey Dale,16,31,25,27.8,0.2,0.0,0.8,100,100,100,20,0
Bailey Smith,14,28,11,19.6,0.2,0.4,0.2,80,40,20,20,0
Bailey Williams,16,23,14,17.4,0.2,0.4,0.2,60,40,0,20,0
Caleb Daniel,16,35,20,27.6,0.6,0.2,0.2,100,100,60,60,0
Cody Weightman,12,17,12,13.6,3.2,1.2,1.2,20,0,0,100,80
Ed Richards,13,25,14,18.2,0.2,0.2,0.2,80,20,20,20,0
Hayden Crozier,3,22,5,12.33,0.0,0.33,1.33,33,33,0,0,0
Jack Macrae,16,29,22,25.2,0.6,0.2,0.8,100,100,60,60,0
Jamarra Ugle Hagan,16,16,12,14.0,1.8,2.2,0.6,40,0,0,80,60
Jason Johannisen,9,26,12,20.4,0.6,0.2,0.0,80,60,20,60,0
Josh Bruce,6,17,8,12.0,0.0,0.0,0.8,20,0,0,0,0
Lachlan McNeil,10,13,5,8.0,0.2,0.4,0.0,0,0,0,20,0
Laitham Vandermeer,4,15,10,12.25,0.0,0.25,0.5,25,0,0,0,0
Liam Jones,14,14,0,6.2,0.0,0.0,0.0,0,0,0,0,0
Marcus Bontempelli,16,32,23,28.4,1.0,0.8,0.8,100,100,80,60,20
Mitch Hannan,6,14,3,7.4,0.6,0.8,0.8,0,0,0,60,0
Oskar Baker,14,22,4,15.0,0.0,0.6,0.4,60,40,0,0,0
Rhylee West,5,16,4,9.4,0.2,0.0,0.6,20,0,0,20,0
Riley Garcia,2,12,10,11.0,0.5,0.0,0.5,0,0,0,50,0
Robbie McComb,3,8,2,4.33,0.33,0.0,0.33,0,0,0,33,0
Rory Lobb,15,14,6,9.8,0.6,0.6,1.0,0,0,0,60,0
Ryan Gardner,7,16,5,9.8,0.2,0.0,1.0,20,0,0,20,0
Sam Darcy,2,6,2,4.0,0.0,0.5,0.0,0,0,0,0,0
Taylor Duryea,14,16,7,12.4,0.0,0.0,1.0,20,0,0,0,0
Tom Liberatore,15,33,21,27.6,0.0,0.6,1.6,100,100,80,0,0
Tim English,16,27,10,19.0,0.6,0.4,1.0,80,40,20,60,0
