Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Brandon Ryan,1,2,2,2.0,1.0,0.0,0.0,0,0,0,100,0
Brandon Starcevich,12,19,2,10.5,0.1,0.0,0.6,10,0,0,10,0
Callum Ah Chee,15,20,4,12.5,1.0,0.6,0.5,20,10,0,60,20
Cam Rayner,16,20,7,12.4,1.3,0.9,0.9,30,10,0,70,40
Charlie Cameron,16,16,7,10.8,1.7,1.1,0.3,10,0,0,90,50
Conor McKenna,11,25,7,17.4,0.0,0.2,0.4,90,20,10,0,0
Darcy Fort,2,11,10,10.5,0.5,0.5,1.0,0,0,0,50,0
Darcy Gardiner,7,13,3,8.14,0.43,0.29,0.86,0,0,0,29,14
Darcy Wilmot,16,25,12,19.9,0.0,0.0,0.8,80,50,20,0,0
Darragh Joyce,1,15,15,15.0,0.0,0.0,0.0,100,0,0,0,0
Dayne Zorko,16,40,14,26.3,0.1,0.4,1.0,90,80,60,10,0
Deven Robertson,2,10,6,8.0,0.0,0.0,0.0,0,0,0,0,0
Eric Hipwood,15,20,6,12.6,1.7,1.3,1.2,30,10,0,70,30
Harris Andrews,16,18,9,13.8,0.0,0.0,0.8,40,0,0,0,0
Harry Sharp,4,18,2,11.25,0.5,0.25,0.0,25,0,0,50,0
Hugh McCluggage,16,32,16,23.8,0.7,0.6,1.3,100,70,50,50,20
Jack Payne,14,16,6,11.9,0.0,0.0,0.4,30,0,0,0,0
James Tunstill,3,11,4,6.67,0.0,0.0,0.0,0,0,0,0,0
Jarrod Berry,16,30,16,21.3,0.4,0.1,1.3,100,70,10,40,0
Jarryd Lyons,3,25,11,18.33,0.0,0.0,1.0,67,33,33,0,0
Jaspa Fletcher,16,17,7,14.0,0.1,0.3,0.4,50,0,0,10,0
Jaxon Prior,1,8,8,8.0,0.0,0.0,0.0,0,0,0,0,0
Joe Daniher,16,21,14,17.6,2.0,1.6,1.3,80,30,0,80,70
Josh Dunkley,16,35,20,26.6,0.4,0.4,2.1,100,100,60,40,0
Kai Lohmann,16,18,8,11.6,1.5,1.0,0.6,10,0,0,90,30
Keidean Coleman,1,8,8,8.0,0.0,0.0,0.0,0,0,0,0,0
Lachie Neale,15,38,20,30.5,0.5,0.1,1.5,100,100,80,20,20
Lincoln McCarthy,8,17,0,12.25,1.0,1.12,0.75,38,0,0,75,25
Logan Morris,9,12,1,7.0,1.56,0.67,0.67,0,0,0,89,56
Noah Answerth,11,24,0,10.9,0.0,0.0,0.3,30,10,0,0,0
Oscar McInerney,15,18,6,12.1,0.6,0.3,2.0,30,0,0,30,20
Ryan Lester,16,21,11,15.2,0.0,0.1,1.2,50,20,0,0,0
Shadeau Brain,3,8,2,4.67,0.0,0.0,0.0,0,0,0,0,0
Will Ashcroft,2,21,18,19.5,0.5,1.0,1.0,100,50,0,50,0
Zac Bailey,11,26,10,17.0,0.9,0.4,0.4,60,40,10,60,30
