Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Adam Cerra,8,25,15,21.5,0.5,0.38,0.88,100,88,12,50,0
Adam Saad,11,25,6,18.0,0.0,0.1,0.5,80,40,10,0,0
Alex Cincotta,9,13,4,9.11,0.78,0.0,0.22,0,0,0,44,33
Blake Acres,16,33,16,23.8,0.6,0.2,0.7,100,70,40,50,10
Brodie Kemp,14,19,9,13.7,0.1,0.0,0.4,30,0,0,10,0
Caleb Marchbank,2,11,8,9.5,0.0,0.0,1.0,0,0,0,0,0
Charlie Curnow,16,16,7,11.6,2.6,1.6,1.0,10,0,0,100,90
Corey Durdin,11,11,1,5.8,0.6,0.4,0.2,0,0,0,40,20
David Cuningham,3,14,12,12.67,0.33,0.67,0.67,0,0,0,33,0
Elijah Hollands,14,22,12,17.9,0.8,0.2,0.3,90,30,0,50,20
George Hewett,15,31,5,20.2,0.4,0.0,0.6,80,70,20,40,0
Harry McKay,16,19,8,13.0,2.3,0.9,1.2,40,0,0,100,60
Jack Carroll,11,20,1,9.3,0.2,0.2,0.2,30,20,0,20,0
Jack Martin,1,6,6,6.0,1.0,0.0,1.0,0,0,0,100,0
Jacob Weitering,14,19,5,13.1,0.0,0.1,0.4,30,0,0,0,0
Jaxon Binns,1,2,2,2.0,0.0,0.0,0.0,0,0,0,0,0
Jordan Boyd,16,19,11,14.6,0.1,0.1,0.6,40,0,0,10,0
Lachlan Cowan,10,19,4,12.1,0.1,0.1,0.1,30,0,0,10,0
Lachie Fogarty,10,17,10,13.0,0.5,0.2,0.6,30,0,0,30,10
Lewis Young,5,17,7,12.8,0.0,0.0,0.8,40,0,0,0,0
Marc Pittonet,7,20,8,15.71,0.29,0.29,1.71,71,14,0,29,0
Matthew Cottrell,10,16,7,10.9,0.8,0.4,0.5,10,0,0,70,10
Matthew Owies,16,12,3,8.9,1.3,0.5,0.4,0,0,0,70,30
Matthew Kennedy,16,31,4,19.0,0.7,0.4,0.9,80,60,10,60,10
Mitch McGovern,13,20,9,15.6,0.3,0.0,1.2,60,10,0,30,0
Nic Newman,16,32,18,24.1,0.1,0.2,0.9,100,70,40,10,0
Oliver Hollands,15,21,7,13.2,0.2,0.1,0.5,40,10,0,20,0
Orazio Fantasia,13,13,5,7.9,0.6,0.5,0.7,0,0,0,30,10
Patrick Cripps,16,41,19,29.6,0.9,0.1,2.0,100,90,60,60,30
Sam Docherty,1,10,10,10.0,0.0,0.0,0.0,0,0,0,0,0
Sam Walsh,12,34,20,28.7,0.5,0.5,1.1,100,100,70,40,10
Tom De Koning,15,25,6,18.0,0.8,0.7,1.0,70,40,20,50,20
Zac Williams,15,17,8,11.8,1.4,0.4,0.3,20,0,0,60,40
