Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Brandon Starcevich,17,17,4,11.4,0.2,0.0,1.0,20,0,0,20,0
Callum Ah Chee,3,10,0,5.0,0.33,0.33,0.33,0,0,0,33,0
Cam Rayner,17,21,8,13.6,0.6,1.2,0.8,20,20,0,60,0
Charlie Cameron,17,10,7,7.8,1.0,1.0,0.4,0,0,0,60,40
Conor McKenna,17,22,15,18.4,0.4,0.0,0.6,100,20,0,40,0
Daniel Rich,7,27,13,19.4,0.2,0.0,0.6,60,60,20,20,0
Darcy Fort,6,13,2,7.0,0.2,0.6,0.6,0,0,0,20,0
Darcy Gardiner,2,8,6,7.0,0.0,0.0,1.5,0,0,0,0,0
Darcy Wilmot,17,21,15,17.6,0.4,0.0,0.6,100,20,0,40,0
Dayne Zorko,11,25,13,18.6,0.2,0.8,0.6,80,40,20,20,0
Deven Robertson,9,15,4,10.2,0.2,0.4,0.8,40,0,0,20,0
Eric Hipwood,17,12,9,11.0,2.2,1.4,0.6,0,0,0,100,80
Harris Andrews,17,21,7,15.0,0.0,0.0,0.6,60,20,0,0,0
Harry Sharp,3,17,10,13.33,0.67,0.0,0.67,33,0,0,67,0
Hugh McCluggage,16,34,18,22.8,0.4,0.4,1.0,100,80,20,20,20
Jack Gunston,13,20,5,12.2,2.0,0.8,0.8,40,20,0,60,40
Jack Payne,16,15,4,9.8,0.0,0.0,0.4,20,0,0,0,0
James Madden,2,7,0,3.5,0.0,0.0,0.5,0,0,0,0,0
James Tunstill,1,7,7,7.0,0.0,0.0,0.0,0,0,0,0,0
Jarrod Berry,16,19,8,15.2,0.8,0.4,0.8,80,0,0,60,20
Jarryd Lyons,5,29,2,12.8,0.2,0.0,0.6,40,20,20,20,0
Jaspa Fletcher,5,18,10,13.4,0.6,0.6,0.0,20,0,0,60,0
Jaxon Prior,3,12,2,6.67,0.33,0.33,0.33,0,0,0,33,0
Joe Daniher,17,24,12,18.0,2.2,1.6,1.0,80,20,0,80,80
Josh Dunkley,15,29,20,26.2,0.4,0.2,3.2,100,100,80,40,0
Kai Lohmann,3,14,5,8.33,0.0,0.67,0.0,0,0,0,0,0
Keidean Coleman,16,23,12,17.8,0.2,0.4,1.0,80,40,0,20,0
Lachie Neale,17,34,19,28.6,0.4,0.4,1.4,100,80,80,20,20
Lincoln McCarthy,16,14,9,12.4,1.2,0.6,0.6,0,0,0,60,40
Noah Answerth,4,16,4,8.0,0.0,0.0,0.75,25,0,0,0,0
Oscar McInerney,17,18,9,12.8,0.6,0.0,0.6,20,0,0,60,0
Ryan Lester,10,18,11,14.4,0.0,0.0,0.6,40,0,0,0,0
Will Ashcroft,17,28,16,22.2,0.2,0.4,0.4,100,60,40,20,0
Zac Bailey,17,26,12,18.8,1.6,1.0,0.2,80,40,20,100,60
