Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Brad Close,16,16,14,15.33,1.67,0.0,0.33,67,0,0,67,67
Brandan Parfitt,5,14,10,12.0,0.33,0.0,1.0,0,0,0,33,0
Cameron Guthrie,6,24,20,22.0,0.0,0.0,0.67,100,100,0,0,0
Cooper Whyte,1,1,1,1.0,0.0,0.0,0.0,0,0,0,0,0
Esava Ratugolea,13,8,4,6.0,0.0,0.0,0.0,0,0,0,0,0
Gary Rohan,12,10,7,8.33,0.67,0.33,0.67,0,0,0,67,0
Gryan Miers,17,32,26,28.33,0.67,0.33,1.0,100,100,100,67,0
Isaac Smith,16,22,17,19.0,0.0,1.0,0.33,100,33,0,0,0
Jack Bowes,11,25,3,16.33,0.33,0.33,0.67,67,67,33,33,0
Jack Henry,8,13,12,12.67,0.33,0.0,0.67,0,0,0,33,0
Jake Kolodjashnij,13,12,9,11.0,0.0,0.0,0.33,0,0,0,0,0
Jed Bews,13,15,6,9.0,0.0,0.0,0.33,33,0,0,0,0
Jeremy Cameron,15,17,0,9.0,0.67,1.33,0.33,33,0,0,67,0
Jhye Clark,1,6,6,6.0,0.0,0.0,0.0,0,0,0,0,0
Jonathon Ceglar,6,17,7,12.0,0.0,0.0,1.0,33,0,0,0,0
Mark Blicavs,17,19,16,17.67,1.0,0.33,1.0,100,0,0,67,33
Max Holmes,15,33,8,22.33,0.0,0.67,0.67,67,67,67,0,0
Mitch Duncan,11,30,21,25.33,0.33,0.67,0.67,100,100,67,33,0
Mitchell Knevitt,7,17,8,12.67,0.33,0.33,1.33,33,0,0,33,0
Oisin Mullin,4,11,1,7.33,0.0,0.0,0.0,0,0,0,0,0
Oliver Henry,16,14,5,9.67,2.33,0.67,1.0,0,0,0,100,67
Oliver Dempsey,4,11,3,5.67,0.0,0.67,0.33,0,0,0,0,0
Patrick Dangerfield,12,26,15,18.67,0.33,0.67,0.67,100,33,33,33,0
Rhys Stanley,8,13,9,11.33,0.0,0.0,1.67,0,0,0,0,0
Sam De Koning,13,14,8,11.0,0.0,0.0,1.0,0,0,0,0,0
Sam Simpson,6,14,2,7.33,0.33,0.0,0.0,0,0,0,33,0
Tanner Bruhn,14,22,18,19.67,0.0,0.0,0.67,100,33,0,0,0
Tom Stewart,16,26,18,23.0,0.0,0.0,1.0,100,67,67,0,0
Tom Atkins,17,28,18,23.67,0.0,0.0,1.67,100,67,67,0,0
Tom Hawkins,17,16,9,13.0,3.33,2.0,0.67,33,0,0,100,100
Tyson Stengle,13,15,11,13.67,3.0,0.67,0.67,67,0,0,100,67
Zach Guthrie,17,24,10,18.33,0.0,0.33,0.0,67,67,0,0,0
Zach Tuohy,15,28,18,21.33,0.0,0.67,0.0,100,33,33,0,0
