Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Brad Close,16,24,8,13.81,1.12,0.31,0.94,50,6,0,62,31
Brandan Parfitt,5,14,5,10.8,0.2,0.0,0.8,0,0,0,20,0
Cameron Guthrie,6,28,15,22.33,0.0,0.0,0.67,100,83,33,0,0
Cooper Whyte,1,1,1,1.0,0.0,0.0,0.0,0,0,0,0,0
Esava Ratugolea,13,14,4,9.38,0.0,0.0,0.62,0,0,0,0,0
Gary Rohan,12,16,5,8.92,1.5,0.58,0.58,8,0,0,92,42
Gryan Miers,17,32,10,19.65,0.24,0.59,0.76,82,47,24,24,0
Isaac Smith,16,27,17,21.25,0.44,0.62,0.38,100,69,6,38,6
Jack Bowes,11,25,3,14.27,0.27,0.36,0.64,45,36,9,27,0
Jack Henry,8,16,8,11.62,0.5,0.0,0.75,12,0,0,38,12
Jake Kolodjashnij,13,17,7,12.08,0.0,0.15,0.46,31,0,0,0,0
Jed Bews,13,15,2,10.15,0.0,0.08,0.15,8,0,0,0,0
Jeremy Cameron,15,25,0,16.27,2.67,1.47,0.93,80,33,7,87,67
Jhye Clark,1,6,6,6.0,0.0,0.0,0.0,0,0,0,0,0
Jonathon Ceglar,6,17,7,12.67,0.0,0.0,1.0,17,0,0,0,0
Mark Blicavs,17,22,9,16.35,0.71,0.35,1.18,82,6,0,59,12
Max Holmes,15,33,8,20.13,0.33,0.2,1.13,87,53,20,33,0
Mitch Duncan,11,31,14,21.82,0.27,0.36,0.55,91,73,36,27,0
Mitchell Knevitt,7,17,3,12.43,0.29,0.29,0.57,57,0,0,29,0
Oisin Mullin,4,15,1,9.25,0.0,0.25,0.25,25,0,0,0,0
Oliver Henry,16,17,5,10.81,1.69,1.0,0.94,19,0,0,94,62
Oliver Dempsey,4,11,3,5.75,0.0,0.75,0.25,0,0,0,0,0
Patrick Dangerfield,12,31,15,21.58,0.5,0.5,1.33,100,58,33,50,0
Rhys Stanley,8,16,9,11.75,0.0,0.12,1.62,25,0,0,0,0
Sam De Koning,13,15,7,10.85,0.0,0.0,0.54,8,0,0,0,0
Sam Simpson,6,14,2,9.17,1.17,0.5,0.33,0,0,0,67,50
Tanner Bruhn,14,22,10,15.86,0.57,0.07,0.71,64,7,0,43,14
Tom Stewart,16,31,3,22.31,0.06,0.0,0.94,94,75,38,6,0
Tom Atkins,17,28,12,18.29,0.12,0.06,1.35,76,35,12,12,0
Tom Hawkins,17,16,5,11.53,2.65,1.29,0.53,18,0,0,94,71
Tyson Stengle,13,17,6,11.77,1.54,0.38,0.54,31,0,0,77,46
Zach Guthrie,17,26,10,15.65,0.06,0.06,0.47,47,18,6,6,0
Zach Tuohy,15,28,11,17.93,0.33,0.4,0.47,80,27,7,27,7
