Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Brandon Ryan,1,2,2,2.0,1.0,0.0,0.0,0,0,0,100,0
Brandon Starcevich,12,19,2,10.2,0.2,0.0,0.6,20,0,0,20,0
Callum Ah Chee,16,20,9,12.2,1.2,0.6,0.6,20,20,0,100,20
Cam Rayner,17,20,8,13.2,1.8,1.0,1.0,40,20,0,100,60
Charlie Cameron,17,13,4,9.0,1.8,1.0,0.2,0,0,0,100,80
Conor McKenna,12,20,7,13.6,0.0,0.2,0.4,60,20,0,0,0
Darcy Fort,2,11,10,10.5,0.5,0.5,1.0,0,0,0,50,0
Darcy Gardiner,7,13,3,8.4,0.6,0.4,1.0,0,0,0,40,20
Darcy Wilmot,17,25,16,20.8,0.0,0.0,0.4,100,60,20,0,0
Darragh Joyce,2,15,12,13.5,0.0,0.0,0.0,50,0,0,0,0
Dayne Zorko,17,30,18,24.8,0.0,0.0,1.2,100,80,60,0,0
Deven Robertson,2,10,6,8.0,0.0,0.0,0.0,0,0,0,0,0
Eric Hipwood,16,16,8,13.0,2.2,1.2,0.8,40,0,0,100,60
Harris Andrews,17,13,9,11.2,0.0,0.0,0.4,0,0,0,0,0
Harry Sharp,4,18,2,11.25,0.5,0.25,0.0,25,0,0,50,0
Hugh McCluggage,17,32,17,24.2,1.0,1.0,0.8,100,60,60,60,40
Jack Payne,14,15,6,10.8,0.0,0.0,0.2,20,0,0,0,0
James Tunstill,3,11,4,6.67,0.0,0.0,0.0,0,0,0,0,0
Jarrod Berry,17,24,16,19.0,0.2,0.0,0.6,100,40,0,20,0
Jarryd Lyons,3,25,11,18.33,0.0,0.0,1.0,67,33,33,0,0
Jaspa Fletcher,17,17,7,14.0,0.0,0.4,0.8,60,0,0,0,0
Jaxon Prior,1,8,8,8.0,0.0,0.0,0.0,0,0,0,0,0
Joe Daniher,17,21,15,17.6,2.4,1.4,0.6,100,40,0,80,80
Josh Dunkley,17,35,23,29.6,0.4,0.4,2.2,100,100,80,40,0
Kai Lohmann,17,15,8,11.0,1.2,0.8,0.4,20,0,0,80,40
Keidean Coleman,1,8,8,8.0,0.0,0.0,0.0,0,0,0,0,0
Lachie Neale,16,37,20,31.2,1.0,0.2,1.6,100,100,80,40,40
Lincoln McCarthy,8,17,0,10.6,0.8,0.8,0.4,20,0,0,60,20
Logan Morris,10,9,1,6.8,1.2,0.0,0.4,0,0,0,60,40
Noah Answerth,11,12,0,5.8,0.0,0.0,0.4,0,0,0,0,0
Oscar McInerney,16,18,6,12.4,0.8,0.6,1.6,40,0,0,40,20
Ryan Lester,17,21,10,15.0,0.0,0.2,1.6,40,20,0,0,0
Shadeau Brain,4,10,2,6.0,0.0,0.0,0.0,0,0,0,0,0
Will Ashcroft,3,21,15,18.0,0.67,0.67,0.67,100,33,0,67,0
Zac Bailey,12,26,10,16.2,0.4,0.8,0.6,60,20,20,40,0
