Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Aidan Corr,17,15,12,13.8,0.0,0.0,0.8,60,0,0,0,0
Bailey Scott,17,23,17,20.4,0.2,0.2,0.4,100,60,0,20,0
Bigoa Nyuon,3,19,11,14.33,0.0,0.0,0.67,33,0,0,0,0
Blake Drury,5,17,6,11.0,0.6,0.0,0.4,20,0,0,40,20
Callum Coleman-Jones,3,9,3,6.0,0.0,0.0,1.0,0,0,0,0,0
Cameron Zurhaar,16,21,9,15.2,2.4,1.0,1.8,60,20,0,100,80
Charlie Comben,14,21,14,16.4,0.0,0.0,1.0,80,20,0,0,0
Charlie Lazzaro,9,11,6,8.2,0.2,0.0,0.2,0,0,0,20,0
Colby McKercher,11,37,25,30.8,0.0,0.2,0.0,100,100,100,0,0
Cooper Harvey,3,13,5,9.33,0.33,0.0,0.33,0,0,0,33,0
Curtis Taylor,8,22,2,10.8,0.4,0.0,0.6,20,20,0,40,0
Darcy Tucker,17,30,12,20.2,0.0,0.0,0.4,60,60,20,0,0
Dylan Stephens,11,20,4,12.2,0.0,0.0,0.6,20,20,0,0,0
Eddie Ford,14,17,12,14.8,0.8,1.0,0.4,60,0,0,60,20
George Wardlaw,14,30,16,22.0,0.2,0.4,2.0,100,80,20,20,0
Griffin Logue,15,17,1,11.8,0.0,0.0,0.4,40,0,0,0,0
Harry Sheezel,17,35,18,27.2,1.2,0.0,0.2,100,80,80,80,40
Hugh Greenwood,3,12,5,9.33,0.33,0.33,0.33,0,0,0,33,0
Jackson Archer,9,13,4,9.0,0.0,0.0,1.8,0,0,0,0,0
Jaidyn Stephenson,10,16,5,12.6,0.8,0.0,0.4,40,0,0,60,20
Josh Goater,1,10,10,10.0,0.0,0.0,1.0,0,0,0,0,0
Jy Simpkin,12,28,21,25.6,0.8,0.2,1.2,100,100,80,60,20
Kallan Dawson,9,13,7,9.2,0.2,0.0,0.6,0,0,0,20,0
Liam Shiels,12,16,5,12.4,0.2,0.2,1.2,60,0,0,20,0
Luke Davies-Uniacke,17,31,17,26.6,0.4,0.2,2.0,100,80,60,40,0
Luke McDonald,16,18,9,13.0,0.0,0.0,0.4,40,0,0,0,0
Miller Bergman,1,8,8,8.0,0.0,0.0,0.0,0,0,0,0,0
Nick Larkey,17,13,5,7.8,2.0,0.6,0.8,0,0,0,60,60
Paul Curtis,17,17,10,13.4,1.0,0.2,0.8,40,0,0,60,40
Riley Hardeman,3,12,7,10.0,0.0,0.0,0.33,0,0,0,0,0
Tarryn Thomas,12,25,10,20.4,0.4,0.6,1.0,80,80,20,20,20
Toby Pink,12,7,4,5.8,0.8,0.2,0.6,0,0,0,60,20
Tom Powell,17,22,12,17.8,0.0,0.0,0.4,80,40,0,0,0
Tristan Xerri,17,20,15,17.4,0.8,0.0,2.0,100,20,0,60,20
Will Phillips,7,19,12,13.8,0.2,0.0,1.0,20,0,0,20,0
Zac Fisher,15,36,22,27.4,0.0,0.2,0.6,100,100,40,0,0
Zane Duursma,10,9,3,6.4,0.8,0.4,1.0,0,0,0,60,20
