Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Alex Witherden,16,29,15,20.2,0.0,0.0,1.0,100,40,20,0,0
Andrew Gaff,17,24,6,16.0,0.2,0.2,0.4,60,40,0,20,0
Bailey J. Williams,17,20,9,13.6,0.6,0.0,1.0,20,20,0,60,0
Brady Hough,11,22,9,15.8,0.0,0.0,1.4,60,20,0,0,0
Callum Jamieson,4,17,3,9.75,0.0,0.25,1.0,25,0,0,0,0
Campbell Chesser,9,14,9,11.6,0.0,0.4,0.4,0,0,0,0,0
Connor West,9,14,1,10.0,0.4,0.6,1.8,0,0,0,40,0
Dom Sheed,13,28,17,21.8,0.0,0.2,0.4,100,60,40,0,0
Elijah Hewett,8,18,4,12.2,0.4,0.2,0.8,40,0,0,20,20
Elliot Yeo,6,30,12,22.2,0.0,0.0,1.6,80,60,40,0,0
Greg Clark,10,13,7,9.6,0.4,0.0,0.4,0,0,0,40,0
Harry Barnett,1,2,2,2.0,0.0,0.0,0.0,0,0,0,0,0
Harry Edwards,2,10,6,8.0,0.0,0.0,0.0,0,0,0,0,0
Jack Darling,14,16,6,9.8,1.2,1.2,1.0,20,0,0,100,20
Jack Petruccelle,13,22,15,17.4,0.4,0.2,0.0,100,20,0,40,0
Jack Williams,4,9,2,6.25,0.5,0.5,0.5,0,0,0,50,0
Jai Culley,5,14,1,8.4,1.0,0.4,0.6,0,0,0,40,20
Jake Waterman,11,19,6,12.8,0.2,0.6,1.0,20,0,0,20,0
Jamaine Jones,10,30,4,16.6,0.2,0.4,1.2,60,40,20,20,0
Jamie Cripps,6,17,6,11.8,0.8,1.2,0.2,40,0,0,40,20
Jayden Hunt,17,27,10,16.0,0.2,0.0,0.0,40,20,20,20,0
Jeremy McGovern,5,22,10,16.8,0.0,0.0,1.0,60,60,0,0,0
Josh Rotham,9,13,2,10.6,0.0,0.0,1.0,0,0,0,0,0
Liam Duggan,16,33,15,25.2,0.2,0.0,0.2,100,60,60,20,0
Liam Ryan,3,17,9,13.0,1.33,0.33,1.33,33,0,0,67,33
Luke Edwards,9,11,3,7.0,0.0,0.0,0.4,0,0,0,0,0
Luke Foley,8,15,8,12.6,0.0,0.0,1.0,20,0,0,0,0
Luke Shuey,8,28,16,22.0,0.0,0.0,1.8,100,60,40,0,0
Noah Long,13,15,4,9.0,0.4,0.2,0.6,20,0,0,40,0
Oscar Allen,17,13,4,6.8,1.8,0.2,1.2,0,0,0,100,60
Reuben Ginbey,17,19,3,13.2,0.0,0.0,0.2,40,0,0,0,0
Rhett Bazzo,9,13,6,10.2,0.0,0.0,0.4,0,0,0,0,0
Sam Petrevski Seton,9,14,4,10.0,0.0,0.4,0.0,0,0,0,0,0
Shannon Hurn,10,30,5,20.2,0.0,0.0,0.6,80,60,40,0,0
Tim Kelly,16,29,26,27.2,0.8,0.2,0.6,100,100,100,80,0
Tom Barrass,14,20,10,13.0,0.0,0.0,0.2,20,20,0,0,0
Tom Cole,6,20,7,14.2,0.0,0.0,0.8,40,20,0,0,0
Zane Trew,3,11,9,9.67,0.0,0.0,0.0,0,0,0,0,0
