Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Alex Witherden,16,29,7,19.81,0.06,0.0,0.94,94,44,25,6,0
Andrew Gaff,17,32,6,19.0,0.06,0.24,0.59,76,47,12,6,0
Bailey J. Williams,17,21,6,13.0,0.24,0.06,1.59,24,12,0,24,0
Brady Hough,11,22,6,13.91,0.0,0.0,1.09,45,18,0,0,0
Callum Jamieson,4,17,3,9.75,0.0,0.25,1.0,25,0,0,0,0
Campbell Chesser,9,14,5,10.11,0.0,0.44,0.33,0,0,0,0,0
Connor West,9,14,1,10.22,0.33,0.56,1.22,0,0,0,33,0
Dom Sheed,13,43,17,24.77,0.31,0.31,1.0,100,77,54,23,8
Elijah Hewett,8,18,3,10.75,0.25,0.38,0.5,25,0,0,12,12
Elliot Yeo,6,30,12,20.5,0.0,0.0,1.33,67,50,33,0,0
Greg Clark,10,19,7,12.5,0.2,0.2,0.4,30,0,0,20,0
Harry Barnett,1,2,2,2.0,0.0,0.0,0.0,0,0,0,0,0
Harry Edwards,2,10,6,8.0,0.0,0.0,0.0,0,0,0,0,0
Jack Darling,14,16,4,9.5,1.14,1.29,0.86,7,0,0,79,29
Jack Petruccelle,13,22,1,12.69,0.54,0.23,0.77,38,8,0,54,0
Jack Williams,4,9,2,6.25,0.5,0.5,0.5,0,0,0,50,0
Jai Culley,5,14,1,8.4,1.0,0.4,0.6,0,0,0,40,20
Jake Waterman,11,23,6,14.36,1.0,0.82,1.0,36,18,0,45,18
Jamaine Jones,10,30,4,18.5,0.3,0.2,0.8,60,50,30,20,10
Jamie Cripps,6,17,6,11.83,0.83,1.33,0.17,33,0,0,50,17
Jayden Hunt,17,34,10,18.59,0.29,0.24,0.35,71,35,12,24,6
Jeremy McGovern,5,22,10,16.8,0.0,0.0,1.0,60,60,0,0,0
Josh Rotham,9,13,2,8.56,0.0,0.0,0.67,0,0,0,0,0
Liam Duggan,16,35,14,23.06,0.06,0.0,0.44,88,56,38,6,0
Liam Ryan,3,17,9,13.0,1.33,0.33,1.33,33,0,0,67,33
Luke Edwards,9,17,3,10.33,0.0,0.0,0.78,33,0,0,0,0
Luke Foley,8,15,8,12.25,0.0,0.0,0.75,25,0,0,0,0
Luke Shuey,8,28,9,20.75,0.12,0.25,2.12,88,62,38,12,0
Noah Long,13,18,4,10.31,0.38,0.38,0.54,23,0,0,38,0
Oscar Allen,17,15,4,9.59,2.41,0.76,1.35,6,0,0,100,82
Reuben Ginbey,17,20,3,13.71,0.06,0.12,0.53,41,6,0,6,0
Rhett Bazzo,9,13,3,8.67,0.0,0.0,0.44,0,0,0,0,0
Sam Petrevski Seton,9,22,4,12.33,0.22,0.22,0.44,22,22,0,22,0
Shannon Hurn,10,30,5,20.5,0.0,0.0,0.4,80,60,40,0,0
Tim Kelly,16,36,22,28.25,0.56,0.25,0.81,100,100,88,50,6
Tom Barrass,14,21,4,12.93,0.0,0.0,0.57,36,14,0,0,0
Tom Cole,6,20,7,15.17,0.0,0.0,0.67,50,33,0,0,0
Zane Trew,3,11,9,9.67,0.0,0.0,0.0,0,0,0,0,0
