Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Alwyn Davey Jnr,8,10,1,6.38,0.62,0.0,0.38,0,0,0,62,0
Andrew McGrath,17,24,17,20.2,0.0,0.0,0.5,100,40,0,0,0
Archie Perkins,14,22,10,16.2,0.2,0.4,0.4,60,30,0,20,0
Ben Hobbs,9,21,4,13.67,0.11,0.11,0.89,44,11,0,11,0
Ben McKay,17,21,6,12.3,0.0,0.0,1.0,40,10,0,0,0
Darcy Parish,7,36,16,24.14,0.29,0.43,0.29,100,86,43,29,0
Dylan Shiel,3,28,2,18.67,0.0,0.0,0.33,67,67,67,0,0
Dyson Heppell,16,27,12,20.4,0.1,0.0,0.9,80,60,30,10,0
Elijah Tsatas,7,16,3,10.14,0.14,0.14,0.0,29,0,0,14,0
Harrison Jones,15,17,5,10.3,0.6,0.8,0.6,20,0,0,60,0
Jade Gresham,16,20,11,15.3,0.4,0.6,0.4,80,10,0,40,0
Jake Kelly,15,21,9,15.5,0.1,0.0,0.4,80,10,0,10,0
Jake Stringer,17,20,9,13.9,1.7,1.0,0.5,40,20,0,80,40
Jayden Laverde,15,28,11,16.3,0.0,0.0,0.9,50,20,10,0,0
Jordan Ridley,7,31,15,24.14,0.14,0.0,0.43,100,86,57,14,0
Jye Caldwell,17,32,15,23.4,0.3,0.5,1.4,100,80,40,30,0
Jye Menzie,9,20,1,8.56,0.22,0.44,0.33,22,11,0,22,0
Kaine Baldwin,4,14,0,8.75,0.0,0.0,0.5,0,0,0,0,0
Kyle Langford,17,16,4,11.3,1.8,1.2,0.7,30,0,0,80,60
Mason Redman,15,26,12,20.4,0.1,0.1,0.6,90,70,10,10,0
Matt Guelfi,11,17,9,13.2,1.3,1.0,1.1,50,0,0,70,40
Nate Caddy,4,12,10,10.75,0.75,1.75,1.0,0,0,0,50,25
Nic Martin,17,32,21,26.6,0.6,0.7,0.7,100,100,70,20,20
Nick Bryan,1,15,15,15.0,0.0,0.0,0.0,100,0,0,0,0
Nick Hind,15,25,3,13.8,0.6,0.1,0.8,40,30,10,50,10
Nik Cox,16,17,5,11.3,0.4,0.2,0.6,20,0,0,20,10
Peter Wright,13,19,8,12.6,1.3,0.6,0.8,30,0,0,60,50
Sam Draper,10,20,5,11.6,0.3,0.5,1.1,30,10,0,30,0
Sam Durham,16,29,14,22.6,0.5,0.2,1.1,90,80,50,50,0
Sam Weideman,16,14,4,8.4,0.4,1.0,0.5,0,0,0,20,20
Todd Goldstein,13,19,7,11.3,0.1,0.1,2.0,10,0,0,10,0
Will Setterfield,4,29,19,22.75,0.0,0.5,1.0,100,50,25,0,0
Xavier Duursma,12,26,13,19.3,0.8,0.0,0.7,90,60,10,60,20
Zach Reid,1,3,3,3.0,0.0,0.0,0.0,0,0,0,0,0
Zach Merrett,17,33,21,26.6,0.8,0.8,0.9,100,100,60,60,10
