Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Alwyn Davey,8,10,3,7.2,0.4,0.4,0.2,0,0,0,40,0
Andrew McGrath,17,31,20,24.4,0.0,0.2,0.4,100,100,40,0,0
Anthony McDonald Tipungwuti,6,13,6,8.4,0.6,0.8,0.2,0,0,0,60,0
Archie Perkins,17,24,12,17.8,0.0,0.4,1.0,80,20,0,0,0
Ben Hobbs,12,26,20,23.2,0.4,0.2,1.8,100,100,20,40,0
Brandon Zerk Thatcher,16,18,8,11.4,0.0,0.0,0.4,20,0,0,0,0
Darcy Parish,12,39,24,30.6,0.2,1.0,0.8,100,100,60,20,0
Dylan Shiel,12,19,2,11.0,0.0,0.0,0.4,40,0,0,0,0
Dyson Heppell,16,25,20,23.4,0.0,0.0,0.8,100,100,40,0,0
Jake Kelly,12,16,12,14.0,0.2,0.0,1.0,40,0,0,20,0
Jake Stringer,15,18,8,12.6,0.8,1.6,0.6,40,0,0,80,0
Jayden Laverde,13,20,12,15.0,0.2,0.0,1.2,60,20,0,20,0
Jordan Ridley,16,23,16,18.6,0.0,0.0,0.8,100,40,0,0,0
Jye Caldwell,17,25,12,20.4,0.8,0.2,1.4,80,80,20,60,20
Jye Menzie,16,12,5,8.2,1.2,0.2,0.6,0,0,0,80,40
Kaine Baldwin,2,14,13,13.5,0.0,0.0,0.5,0,0,0,0,0
Kyle Langford,17,16,7,11.0,1.8,0.4,0.6,20,0,0,100,40
Mason Redman,17,23,13,19.6,0.2,0.2,0.6,80,60,0,20,0
Matt Guelfi,8,18,8,12.2,1.4,0.2,1.0,20,0,0,100,40
Nic Martin,17,30,16,24.6,0.8,0.2,0.8,100,80,60,60,20
Nick Bryan,3,14,6,9.0,0.33,0.0,0.67,0,0,0,33,0
Nick Hind,10,22,10,18.4,0.0,0.0,0.6,80,60,0,0,0
Peter Wright,5,19,6,9.4,1.8,0.8,0.8,20,0,0,60,40
Sam Draper,13,13,7,10.6,0.4,0.8,0.8,0,0,0,40,0
Sam Durham,16,18,14,16.2,0.0,0.0,0.8,80,0,0,0,0
Sam Weideman,15,14,6,9.4,0.0,0.6,0.4,0,0,0,0,0
Will Setterfield,9,23,16,19.8,0.0,0.4,0.4,100,40,0,0,0
Will Snelling,11,14,10,12.8,0.4,0.0,0.8,0,0,0,40,0
Zach Merrett,16,39,18,27.0,0.6,0.4,2.6,100,60,60,60,0
