Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Alex Pearce,14,14,3,8.67,0.0,0.0,2.33,0,0,0,0,0
Andrew Brayshaw,17,35,23,27.33,0.67,0.33,0.67,100,100,33,67,0
Bailey Banfield,17,17,7,11.67,1.0,0.67,0.33,33,0,0,67,33
Brandon Walker,13,15,13,14.0,0.0,0.0,0.0,33,0,0,0,0
Brennan Cox,3,14,4,10.33,0.33,0.0,0.67,0,0,0,33,0
Caleb Serong,17,27,22,24.0,0.67,0.67,1.33,100,100,33,67,0
Cooper Simpson,2,6,5,5.5,0.0,0.0,0.0,0,0,0,0,0
Corey Wagner,6,21,17,19.67,0.0,0.0,0.33,100,67,0,0,0
Ethan Hughes,6,14,10,12.67,0.0,0.0,0.67,0,0,0,0,0
Ethan Stanley,2,5,3,4.0,0.0,0.5,0.5,0,0,0,0,0
Hayden Young,17,24,17,20.33,0.67,0.33,0.33,100,67,0,33,33
Heath Chapman,10,19,12,15.0,0.33,0.0,0.33,33,0,0,33,0
Hugh Davies,2,7,1,4.0,0.0,0.0,0.0,0,0,0,0,0
Jaeger O'Meara,16,19,11,15.0,0.67,0.0,0.0,67,0,0,67,0
James Aish,17,19,4,13.67,0.0,0.0,0.33,67,0,0,0,0
Jeremy Sharp,17,25,11,18.0,0.33,0.33,0.0,67,33,33,33,0
Jordan Clark,17,26,20,23.0,0.0,0.0,1.0,100,100,33,0,0
Josh Corbett,5,11,4,7.33,1.0,0.67,0.0,0,0,0,67,33
Joshua Draper,15,14,6,10.67,0.0,0.0,0.33,0,0,0,0,0
Josh Treacy,17,16,10,13.0,2.67,0.33,1.0,33,0,0,100,67
Jye Amiss,16,11,10,10.67,1.67,1.67,2.0,0,0,0,100,33
Karl Worner,3,16,5,11.0,0.0,0.0,0.33,33,0,0,0,0
Luke Jackson,17,21,13,18.0,0.67,1.33,1.0,67,67,0,67,0
Luke Ryan,17,26,15,21.33,0.0,0.0,0.0,100,67,33,0,0
Matthew Johnson,16,21,12,17.33,0.0,0.0,1.0,67,33,0,0,0
Matt Taberner,4,10,3,5.67,1.33,0.33,0.67,0,0,0,100,33
Michael Walters,15,4,2,3.0,0.67,0.0,0.33,0,0,0,33,33
Michael Frederick,14,10,8,8.67,1.0,1.33,0.0,0,0,0,67,33
Nat Fyfe,17,22,15,18.67,0.0,0.0,0.67,100,33,0,0,0
Nathan O'Driscoll,10,15,7,12.0,0.0,0.0,0.33,33,0,0,0,0
Neil Erasmus,3,9,2,5.33,0.0,0.0,0.0,0,0,0,0,0
Oscar McDonald,1,10,10,10.0,0.0,0.0,0.0,0,0,0,0,0
Sam Sturt,7,12,2,8.33,1.0,1.0,0.67,0,0,0,33,33
Sam Switkowski,14,17,11,14.0,1.0,0.33,1.0,33,0,0,100,0
Sean Darcy,9,20,7,12.0,0.67,0.0,1.33,33,33,0,67,0
Tom Emmett,11,11,6,8.67,0.0,0.33,0.33,0,0,0,0,0
Will Brodie,5,26,16,22.0,0.0,0.0,0.67,100,67,33,0,0
