Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Adam Tomlinson,5,25,8,15.2,0.0,0.0,1.0,40,20,20,0,0
Alex Neal-Bullen,17,27,15,19.7,0.2,0.2,1.2,100,50,20,20,0
Andy Moniz-Wakefield,3,16,10,14.0,0.0,0.0,0.67,67,0,0,0,0
Bailey Laurie,4,14,1,7.0,0.5,0.0,0.25,0,0,0,25,25
Bayley Fritsch,17,17,6,10.0,1.7,1.1,0.6,10,0,0,80,50
Ben Brown,6,9,3,6.17,1.17,0.67,0.5,0,0,0,67,33
Blake Howes,12,17,7,12.0,0.0,0.1,0.9,30,0,0,0,0
Caleb Windsor,17,25,8,15.7,0.5,0.3,0.7,60,20,10,50,0
Charlie Spargo,1,12,12,12.0,0.0,1.0,1.0,0,0,0,0,0
Christian Petracca,13,29,13,22.0,1.1,0.8,0.7,90,90,20,60,20
Christian Salem,13,32,2,18.6,0.0,0.1,0.5,70,50,30,0,0
Clayton Oliver,17,31,14,23.6,0.2,0.2,0.9,80,70,60,20,0
Daniel Turner,9,13,5,8.22,1.22,0.33,0.44,0,0,0,67,33
Ed Langdon,16,31,12,20.7,0.3,0.9,0.6,90,60,10,30,0
Harrison Petty,14,15,2,7.8,0.3,0.8,0.6,10,0,0,30,0
Jack Billings,11,23,8,15.6,0.2,0.6,0.9,60,30,0,20,0
Jack Viney,17,26,18,20.9,0.3,0.0,1.3,100,50,20,20,10
Jacob van Rooyen,15,14,4,10.8,1.6,1.0,0.9,0,0,0,80,40
Jake Bowey,9,22,12,15.22,0.0,0.11,0.33,44,11,0,0,0
Jake Lever,13,26,1,14.6,0.1,0.0,0.9,50,20,10,10,0
Jake Melksham,2,12,9,10.5,2.0,1.0,0.5,0,0,0,100,100
Josh Schache,1,4,4,4.0,0.0,2.0,1.0,0,0,0,0,0
Judd McVee,17,23,10,16.6,0.0,0.1,0.7,50,30,0,0,0
Kade Chandler,17,18,6,11.4,0.6,0.2,0.6,20,0,0,60,0
Koltyn Tholstrup,5,16,7,11.8,0.4,0.6,0.8,20,0,0,20,20
Kynan Brown,2,2,1,1.5,0.0,0.0,0.5,0,0,0,0,0
Kysaiah Pickett,15,19,9,14.1,1.7,1.5,0.6,40,0,0,90,50
Lachie Hunter,2,20,7,13.5,0.5,0.0,0.0,50,50,0,50,0
Marty Hore,3,14,7,11.0,0.0,0.0,0.0,0,0,0,0,0
Max Gawn,16,27,9,18.9,0.7,0.4,2.0,80,50,20,70,0
Shane McAdam,3,11,4,8.67,0.33,0.67,0.33,0,0,0,33,0
Steven May,16,25,8,18.2,0.1,0.0,0.4,80,30,20,10,0
Taj Woewodin,13,13,1,8.0,0.0,0.2,0.3,0,0,0,0,0
Tom McDonald,16,22,11,14.7,0.3,0.0,0.5,50,10,0,20,10
Tom Sparrow,17,22,12,14.9,0.1,0.5,0.6,60,10,0,10,0
Trent Rivers,17,29,14,22.0,0.1,0.2,0.5,90,70,20,10,0
