Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Aaron Francis,11,16,9,11.8,0.0,0.2,1.0,20,0,0,0,0
Angus Sheldrick,7,29,14,20.4,0.6,0.6,1.2,80,40,20,40,20
Braeden Campbell,17,20,12,15.4,0.6,1.0,0.2,40,20,0,40,20
Callum Mills,13,24,1,16.2,0.0,0.0,0.4,80,60,0,0,0
Chad Warner,14,33,18,27.0,1.0,0.6,0.8,100,80,60,60,40
Corey Warner,3,8,1,4.0,0.33,0.0,0.33,0,0,0,33,0
Dane Rampe,10,17,12,15.2,0.0,0.0,0.6,80,0,0,0,0
Dylan Stephens,9,14,3,8.8,0.4,0.2,0.8,0,0,0,40,0
Errol Gulden,17,32,26,29.2,1.2,0.6,1.6,100,100,100,60,40
Harry Cunningham,17,19,7,14.2,0.0,0.0,0.4,40,0,0,0,0
Hayden McLean,15,16,7,12.0,0.6,1.2,0.6,20,0,0,20,20
Isaac Heeney,16,22,14,16.8,1.8,1.4,0.4,80,20,0,60,40
Jake Lloyd,16,27,11,19.8,0.2,0.0,0.6,80,60,20,20,0
James Rowbottom,17,27,14,20.4,0.4,0.6,1.6,80,60,20,40,0
Joel Amartey,9,13,3,8.0,1.2,0.8,0.8,0,0,0,60,20
Justin McInerney,16,23,11,18.0,1.2,0.4,1.0,60,60,0,60,40
Lachlan McAndrew,2,9,3,6.0,0.0,0.5,0.5,0,0,0,0,0
Lance Franklin,11,15,7,10.8,1.8,1.0,1.8,20,0,0,80,80
Lewis Melican,7,15,5,9.2,0.0,0.0,0.8,20,0,0,0,0
Logan McDonald,13,11,3,6.8,1.4,0.6,0.4,0,0,0,60,40
Luke Parker,16,28,23,26.0,0.8,0.2,1.0,100,100,60,60,20
Marc Sheather,3,5,2,3.67,0.33,0.0,0.33,0,0,0,33,0
Matt Roberts,5,14,3,6.4,0.0,0.2,0.4,0,0,0,0,0
Nick Blakey,17,29,20,23.8,0.0,0.0,0.4,100,100,20,0,0
Oliver Florent,17,30,15,20.6,0.4,0.2,0.2,100,40,20,20,20
Peter Ladhams,9,24,6,14.4,0.6,0.2,0.8,40,20,0,40,20
Robbie Fox,13,17,9,11.6,0.2,0.6,0.0,20,0,0,20,0
Ryan Clarke,8,16,7,11.0,0.6,0.4,0.4,20,0,0,40,20
Sam Wicks,4,16,7,10.0,1.0,0.5,0.25,25,0,0,75,25
Tom Hickey,7,19,7,12.4,0.0,0.4,1.2,20,0,0,0,0
Tom McCartin,8,15,5,10.8,0.0,0.0,0.6,20,0,0,0,0
Tom Papley,17,18,10,13.8,1.6,1.2,0.6,40,0,0,100,20
Will Gould,4,9,3,6.5,0.0,0.0,0.5,0,0,0,0,0
Will Hayward,16,14,8,10.4,0.6,0.8,1.6,0,0,0,40,20
