Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Alex Davies,8,19,9,13.38,0.0,0.25,0.75,38,0,0,0,0
Alex Sexton,6,8,3,4.17,0.5,0.5,0.17,0,0,0,50,0
Bailey Humphrey,14,26,11,15.6,0.8,0.6,0.8,50,20,10,70,10
Ben Ainsworth,15,27,8,17.1,1.1,0.6,0.3,50,40,10,80,30
Ben King,17,15,1,8.4,1.7,1.5,1.5,10,0,0,70,60
Ben Long,14,14,6,10.8,0.0,0.1,0.2,0,0,0,0,0
Bodhi Uwland,3,20,0,8.33,0.0,0.0,0.67,33,33,0,0,0
Brandon Ellis,10,25,11,17.3,0.3,0.5,0.4,70,30,10,30,0
Brayden Fiorini,15,35,6,18.6,0.0,0.3,0.4,80,40,10,0,0
Charlie Ballard,17,18,9,14.2,0.0,0.0,0.6,60,0,0,0,0
Charlie Constable,2,26,19,22.5,0.0,0.0,0.5,100,50,50,0,0
Darcy Macpherson,17,30,12,19.4,0.1,0.1,1.3,80,50,20,10,0
David Swallow,17,25,10,17.4,0.5,0.1,0.8,80,30,10,40,10
Elijah Hollands,5,16,10,13.6,0.2,0.4,0.2,60,0,0,20,0
Hewago Paul Oea,7,16,3,9.86,0.29,0.14,0.29,14,0,0,29,0
Jack Lukosius,17,18,8,12.8,2.3,1.0,0.6,30,0,0,90,60
James Tsitas,2,4,2,3.0,1.0,0.0,0.0,0,0,0,50,50
Jarrod Witts,15,19,6,12.1,0.1,0.1,1.7,30,0,0,10,0
Joel Jeffrey,7,15,5,9.57,0.71,0.57,0.57,14,0,0,71,0
Jy Farrar,5,18,4,10.4,0.0,0.2,1.2,20,0,0,0,0
Lachie Weller,9,30,12,21.56,0.0,0.22,0.44,78,56,33,0,0
Levi Casboult,14,12,3,8.9,1.2,0.7,0.7,0,0,0,60,40
Mabior Chol,6,13,3,7.0,1.17,1.0,0.5,0,0,0,67,50
Mac Andrew,11,16,5,10.0,0.0,0.0,0.5,20,0,0,0,0
Malcolm Rosas,14,15,3,8.8,0.9,1.0,0.5,10,0,0,40,20
Matt Rowell,17,29,15,21.3,0.5,0.1,1.8,100,70,20,40,10
Ned Moyle,2,5,4,4.5,0.0,0.0,0.0,0,0,0,0,0
Nick Holman,15,18,6,12.9,0.9,0.4,0.7,40,0,0,60,30
Noah Anderson,17,37,19,28.1,0.6,0.4,0.8,100,90,90,40,20
Rory Atkins,11,32,6,18.3,0.2,0.2,0.4,70,50,20,10,10
Sam Day,2,10,2,6.0,0.5,0.5,0.5,0,0,0,50,0
Sam Flanders,8,33,7,20.12,0.25,0.38,0.5,62,50,38,12,12
Sam Collins,17,13,8,10.9,0.0,0.0,0.4,0,0,0,0,0
Sean Lemmens,6,13,7,10.17,0.0,0.17,0.67,0,0,0,0,0
Thomas Berry,6,10,1,6.67,0.0,0.33,0.67,0,0,0,0,0
Touk Miller,8,32,13,24.5,0.12,0.12,1.25,88,88,62,12,0
Wil Powell,15,27,14,20.1,0.0,0.1,1.0,90,40,30,0,0
