Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Alex Davies,8,19,9,13.38,0.0,0.25,0.75,38,0,0,0,0
Alex Sexton,6,8,3,4.17,0.5,0.5,0.17,0,0,0,50,0
Bailey Humphrey,14,26,1,13.07,0.79,0.71,0.79,36,14,7,64,14
Ben Ainsworth,15,27,8,16.73,1.0,0.73,0.53,60,27,7,73,27
Ben King,17,15,1,8.12,1.94,1.06,1.35,6,0,0,82,59
Ben Long,14,19,6,11.71,0.0,0.07,0.21,14,0,0,0,0
Bodhi Uwland,3,20,0,8.33,0.0,0.0,0.67,33,33,0,0,0
Brandon Ellis,10,25,11,17.3,0.3,0.5,0.4,70,30,10,30,0
Brayden Fiorini,15,35,6,17.2,0.2,0.47,0.6,67,40,7,20,0
Charlie Ballard,17,24,6,14.06,0.06,0.0,0.65,47,6,0,6,0
Charlie Constable,2,26,19,22.5,0.0,0.0,0.5,100,50,50,0,0
Darcy Macpherson,17,31,12,20.88,0.06,0.06,1.0,88,59,24,6,0
David Swallow,17,25,10,17.24,0.53,0.24,0.76,82,29,6,35,12
Elijah Hollands,5,16,10,13.6,0.2,0.4,0.2,60,0,0,20,0
Hewago Paul Oea,7,16,3,9.86,0.29,0.14,0.29,14,0,0,29,0
Jack Lukosius,17,20,8,13.59,1.82,1.24,0.82,35,6,0,76,41
James Tsitas,2,4,2,3.0,1.0,0.0,0.0,0,0,0,50,50
Jarrod Witts,15,25,6,13.6,0.27,0.13,1.8,40,7,7,27,0
Joel Jeffrey,7,15,5,9.57,0.71,0.57,0.57,14,0,0,71,0
Jy Farrar,5,18,4,10.4,0.0,0.2,1.2,20,0,0,0,0
Lachie Weller,9,30,12,21.56,0.0,0.22,0.44,78,56,33,0,0
Levi Casboult,14,18,3,9.43,1.07,0.57,0.64,7,0,0,57,36
Mabior Chol,6,13,3,7.0,1.17,1.0,0.5,0,0,0,67,50
Mac Andrew,11,16,5,10.18,0.0,0.0,0.45,18,0,0,0,0
Malcolm Rosas,14,15,3,9.0,0.79,1.07,0.57,7,0,0,43,14
Matt Rowell,17,29,12,21.18,0.29,0.12,1.88,94,65,24,24,6
Ned Moyle,2,5,4,4.5,0.0,0.0,0.0,0,0,0,0,0
Nick Holman,15,19,6,13.4,0.8,0.47,0.73,40,0,0,60,20
Noah Anderson,17,38,17,27.47,0.71,0.65,0.59,100,88,82,53,18
Rory Atkins,11,32,6,18.91,0.18,0.18,0.45,73,55,27,9,9
Sam Day,2,10,2,6.0,0.5,0.5,0.5,0,0,0,50,0
Sam Flanders,8,33,7,20.12,0.25,0.38,0.5,62,50,38,12,12
Sam Collins,17,17,8,12.18,0.0,0.0,0.53,18,0,0,0,0
Sean Lemmens,6,13,7,10.17,0.0,0.17,0.67,0,0,0,0,0
Thomas Berry,6,10,1,6.67,0.0,0.33,0.67,0,0,0,0,0
Touk Miller,8,32,13,24.5,0.12,0.12,1.25,88,88,62,12,0
Wil Powell,15,28,13,19.73,0.0,0.13,0.87,87,40,27,0,0
