Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Brad Close,17,18,7,13.0,1.35,0.41,0.71,29,0,0,94,18
Brandan Parfitt,8,21,13,18.38,0.12,0.12,0.38,88,50,0,12,0
Cameron Guthrie,4,27,9,16.75,0.0,0.0,1.0,75,25,25,0,0
Connor O'Sullivan,1,11,11,11.0,0.0,1.0,1.0,0,0,0,0,0
Gary Rohan,9,12,3,7.78,0.89,0.11,0.11,0,0,0,56,33
Gryan Miers,17,29,12,20.88,0.82,0.53,0.71,94,76,18,59,18
Jack Bowes,14,29,5,18.79,0.64,0.5,0.71,64,64,14,50,14
Jack Henry,17,16,7,11.41,0.0,0.0,0.47,24,0,0,0,0
Jake Kolodjashnij,16,19,7,14.0,0.06,0.06,0.5,56,0,0,6,0
Jed Bews,15,15,2,10.47,0.0,0.07,0.2,13,0,0,0,0
Jeremy Cameron,16,27,9,16.88,2.25,1.75,0.5,81,25,6,88,69
Jhye Clark,15,20,1,12.2,0.13,0.07,0.53,40,7,0,13,0
Lawson Humphries,3,23,15,18.33,0.0,0.0,0.33,100,33,0,0,0
Mark Blicavs,16,22,9,14.31,0.25,0.19,0.5,50,12,0,25,0
Mark O'Connor,13,17,5,11.92,0.15,0.23,0.69,46,0,0,15,0
Max Holmes,17,32,17,24.94,0.65,0.24,0.59,100,94,41,59,6
Mitch Duncan,15,27,14,21.2,0.2,0.4,0.33,93,67,20,20,0
Mitchell Knevitt,2,13,0,6.5,0.5,0.5,0.5,0,0,0,50,0
Oisin Mullin,8,15,3,10.38,0.0,0.0,0.62,25,0,0,0,0
Oliver Henry,15,11,2,7.8,1.47,0.53,0.8,0,0,0,73,47
Oliver Dempsey,17,27,10,17.88,0.82,0.41,0.94,59,35,24,53,18
Patrick Dangerfield,8,25,14,19.88,0.25,0.5,1.38,88,62,12,25,0
Rhys Stanley,8,13,3,8.25,0.0,0.12,1.25,0,0,0,0,0
Sam De Koning,16,22,5,14.75,0.19,0.0,0.75,50,25,0,12,6
Shannon Neale,8,12,3,8.25,1.75,0.62,0.5,0,0,0,100,62
Shaun Mannagh,4,20,5,13.0,0.5,1.25,0.75,25,25,0,50,0
Tanner Bruhn,11,27,9,18.45,0.27,0.36,1.36,73,45,18,27,0
Ted Clohesy,1,5,5,5.0,0.0,0.0,0.0,0,0,0,0,0
Tom Stewart,16,28,10,21.0,0.0,0.19,0.69,94,75,19,0,0
Toby Conway,5,21,9,13.6,0.2,0.0,1.4,20,20,0,20,0
Tom Atkins,16,27,6,16.94,0.0,0.12,1.12,75,31,6,0,0
Tom Hawkins,12,12,3,9.08,1.25,0.67,0.17,0,0,0,58,33
Tyson Stengle,17,18,7,13.88,1.94,0.76,0.65,41,0,0,88,65
Zach Guthrie,17,24,12,17.82,0.24,0.06,0.53,82,24,0,24,0
Zach Tuohy,13,24,9,16.08,0.54,0.31,0.54,69,15,0,38,8
