Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Ash Johnson,3,4,2,3.0,0.0,0.33,0.67,0,0,0,0,0
Beau McCreery,13,14,7,9.46,0.54,0.69,0.85,0,0,0,46,8
Billy Frampton,15,15,4,9.6,0.07,0.27,0.67,27,0,0,7,0
Brayden Maynard,17,24,8,17.71,0.18,0.06,0.82,82,41,0,18,0
Brody Mihocek,11,15,6,10.36,1.73,1.18,1.18,9,0,0,73,64
Charlie Dean,7,14,8,10.71,0.0,0.0,1.57,0,0,0,0,0
Darcy Cameron,17,24,4,15.53,0.35,0.12,1.59,71,18,0,29,6
Darcy Moore,17,23,6,13.12,0.0,0.0,0.24,29,6,0,0,0
Edward Allan,1,7,7,7.0,0.0,0.0,0.0,0,0,0,0,0
Finlay Macrae,8,17,3,9.88,0.5,0.12,0.62,25,0,0,25,12
Harvey Harrison,11,13,1,9.45,1.0,0.18,0.27,0,0,0,55,27
Bobby Hill,17,15,8,10.53,1.24,1.06,0.35,6,0,0,71,29
Isaac Quaynor,17,18,8,13.53,0.0,0.0,0.65,53,0,0,0,0
Jack Crisp,17,32,11,20.41,0.65,0.35,0.76,88,47,24,53,6
Jamie Elliott,9,16,11,13.22,1.78,0.89,0.78,22,0,0,89,56
Jeremy Howe,13,24,1,14.54,0.38,0.15,0.77,46,8,0,31,8
Joe Richards,6,22,6,12.5,0.83,0.67,0.33,33,17,0,67,17
John Noble,14,29,8,20.29,0.07,0.07,0.79,86,57,21,7,0
Jordan De Goey,11,31,13,22.09,0.64,0.73,0.91,91,73,27,45,18
Josh Daicos,17,34,16,23.94,0.41,0.35,1.35,100,88,41,35,6
Lachie Schultz,15,16,9,11.33,1.27,1.07,0.67,13,0,0,73,33
Mason Cox,11,12,4,7.55,0.27,0.45,1.91,0,0,0,18,9
Nathan Kreuger,5,11,6,8.4,1.4,1.0,1.2,0,0,0,80,40
Nick Daicos,17,41,15,30.65,0.82,0.59,1.88,100,94,88,59,24
Oleg Markov,11,17,6,10.73,0.09,0.0,0.27,18,0,0,9,0
Patrick Lipinski,17,26,11,18.06,0.82,0.41,0.41,76,35,6,59,12
Reef McInnes,8,12,1,5.5,1.5,0.25,0.5,0,0,0,88,38
Scott Pendlebury,14,30,6,20.79,0.43,0.14,1.14,86,64,21,36,7
Steele Sidebottom,16,34,7,18.56,0.06,0.25,0.75,81,44,12,6,0
Tew Jiath,1,5,5,5.0,0.0,0.0,1.0,0,0,0,0,0
Tom Mitchell,6,30,9,20.0,0.17,0.17,1.83,83,50,17,17,0
Will Hoskin-Elliott,14,21,3,13.64,0.79,0.57,0.36,36,14,0,64,14
