Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Bailey Macdonald,2,15,10,12.5,0.0,0.0,0.5,50,0,0,0,0
Blake Hardwick,17,23,6,13.94,0.76,0.29,0.65,41,12,0,35,12
Calsher Dear,9,9,1,6.11,1.22,0.44,1.0,0,0,0,78,44
Cam Mackenzie,17,21,3,14.29,0.47,0.29,0.65,59,12,0,29,18
Chad Wingard,14,26,0,14.14,0.64,0.57,0.86,57,14,14,36,21
Changkuoth Jiath,8,18,7,11.0,0.38,0.38,1.12,12,0,0,38,0
Connor Macdonald,17,24,7,16.41,0.94,0.82,0.35,71,24,0,71,18
Conor Nash,17,32,10,18.88,0.06,0.18,0.94,88,35,12,6,0
Denver Grainger-Barras,7,9,0,5.57,0.57,0.14,0.71,0,0,0,57,0
Dylan Moore,17,29,11,19.18,1.59,0.41,1.88,76,35,24,76,41
Finn Maginness,8,20,4,14.12,0.5,0.5,0.12,50,12,0,25,12
Harry Morrison,7,26,7,12.57,0.14,0.14,0.29,29,14,14,14,0
Henry Hustwaite,4,12,2,6.5,0.0,0.0,0.75,0,0,0,0,0
Jack Ginnivan,15,23,11,16.0,1.13,1.07,1.13,60,27,0,80,33
Jack Gunston,12,16,1,8.83,1.25,1.25,0.5,17,0,0,58,33
Jack Scrimshaw,16,26,9,17.0,0.0,0.0,0.56,75,31,6,0,0
Jai Newcombe,17,33,10,22.65,0.29,0.18,1.29,94,71,35,29,0
Jai Serong,4,14,2,8.5,0.0,0.0,0.5,0,0,0,0,0
James Blanck,15,11,1,5.93,0.0,0.0,0.6,0,0,0,0,0
James Sicily,14,33,11,21.0,0.29,0.14,1.79,86,64,21,14,7
James Worpel,17,36,13,21.71,0.18,0.29,0.59,82,59,35,18,0
Jarman Impey,17,27,12,18.94,0.0,0.18,0.94,88,47,12,0,0
Josh Ward,7,19,7,13.57,0.14,0.14,0.14,57,0,0,14,0
Josh Weddle,17,23,7,14.0,0.29,0.35,0.53,35,18,0,29,0
Karl Amon,17,31,14,22.06,0.18,0.06,0.47,94,71,29,12,6
Lloyd Meek,13,18,10,14.15,0.46,0.15,1.46,54,0,0,38,8
Luke Breust,11,12,5,7.36,0.82,0.55,0.55,0,0,0,64,18
Mabior Chol,15,12,7,9.07,1.67,0.87,1.27,0,0,0,80,60
Massimo D'Ambrosio,16,29,8,19.38,0.06,0.31,0.5,88,50,19,6,0
Max Ramsden,3,9,2,5.67,0.33,0.0,1.0,0,0,0,33,0
Mitch Lewis,4,10,7,8.0,1.25,0.5,0.0,0,0,0,100,25
Ned Reeves,4,10,5,8.25,0.25,0.0,0.75,0,0,0,25,0
Nick Watson,10,16,3,10.5,0.7,1.9,1.0,10,0,0,60,10
Sam Butler,2,7,3,5.0,0.0,0.0,0.0,0,0,0,0,0
Sam Frost,17,17,4,9.47,0.0,0.0,0.53,12,0,0,0,0
Seamus Mitchell,10,13,4,8.6,0.0,0.0,0.2,0,0,0,0,0
Will Day,11,27,11,21.36,0.18,0.36,1.27,82,73,36,18,0
