Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Ben Keays,17,29,17,24.8,1.2,0.6,1.2,100,80,60,80,40
Brodie Smith,16,27,18,21.8,0.2,0.2,0.4,100,60,20,20,0
Chayce Jones,15,23,16,19.2,0.4,0.0,0.8,100,60,0,40,0
Darcy Fogarty,15,16,6,10.4,1.6,1.0,0.4,20,0,0,80,40
Harry Schoenberg,5,16,5,9.6,0.0,0.0,0.2,20,0,0,0,0
Izak Rankine,17,21,10,15.8,2.2,1.0,0.4,60,40,0,80,60
Jake Soligo,16,16,4,11.0,0.4,0.4,0.4,40,0,0,40,0
Jordan Dawson,17,35,27,30.0,0.0,0.4,1.6,100,100,100,0,0
Jordon Butts,15,18,3,9.0,0.0,0.0,0.0,20,0,0,0,0
Josh Rachele,17,23,9,14.6,0.4,1.4,1.4,60,20,0,40,0
Josh Worrell,6,18,13,15.2,0.0,0.0,0.8,60,0,0,0,0
Lachlan Gollant,3,9,7,8.0,1.0,1.33,2.0,0,0,0,67,33
Lachlan Murphy,16,19,4,12.8,1.0,0.6,1.2,60,0,0,80,20
Lachlan Sholl,16,21,11,15.2,0.4,0.6,0.0,60,20,0,20,20
Luke Pedlar,16,17,8,12.6,1.2,0.6,1.0,40,0,0,80,40
Matt Crouch,1,12,12,12.0,0.0,0.0,0.0,0,0,0,0,0
Max Michalanney,17,12,5,9.2,0.0,0.0,0.4,0,0,0,0,0
Mitchell Hinge,16,27,18,23.8,0.0,0.6,1.0,100,80,60,0,0
Nick Murray,16,16,2,8.0,0.0,0.0,0.0,20,0,0,0,0
Patrick Parnell,4,25,0,10.25,0.0,0.0,0.75,50,25,25,0,0
Riley Thilthorpe,15,15,8,12.0,1.4,0.0,1.0,40,0,0,100,40
Rory Laird,17,34,24,30.6,0.2,0.0,2.2,100,100,80,20,0
Rory Sloane,17,30,12,19.4,0.6,0.0,1.0,80,20,20,40,20
Sam Berry,4,12,5,10.0,0.0,0.25,1.0,0,0,0,0,0
Shane McAdam,2,7,7,7.0,1.0,0.5,0.0,0,0,0,100,0
Taylor Walker,16,21,8,14.0,4.4,2.0,0.6,40,20,0,100,100
Tom Doedee,11,24,1,13.6,0.0,0.0,0.4,60,20,0,0,0
Wayne Milera,16,21,16,18.8,0.0,0.0,0.8,100,40,0,0,0
