Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Ben Miller,15,17,6,12.0,0.0,0.0,0.6,30,0,0,0,0
Daniel Rioli,17,26,20,23.7,0.1,0.0,0.3,100,100,40,10,0
Dion Prestia,7,27,7,19.86,0.14,0.14,0.71,71,57,29,14,0
Dustin Martin,12,30,7,17.8,0.8,0.5,0.2,70,40,10,50,20
Dylan Grimes,5,11,6,8.4,0.0,0.2,0.0,0,0,0,0,0
Hugo Ralphsmith,12,18,7,13.7,0.2,0.3,0.5,40,0,0,20,0
Jack Graham,10,21,7,16.6,0.0,0.1,0.4,90,10,0,0,0
Jack Ross,5,26,10,18.8,0.2,0.0,0.4,80,40,20,20,0
Jacob Hopper,6,28,23,25.0,0.33,0.17,1.33,100,100,67,17,17
Jacob Koschitzke,8,12,4,8.5,0.88,0.5,1.0,0,0,0,62,25
James Trezise,2,14,5,9.5,0.0,0.0,0.0,0,0,0,0,0
Jayden Short,16,31,15,22.3,0.0,0.1,0.5,100,70,30,0,0
Josh Gibcus,2,9,1,5.0,0.0,0.0,1.0,0,0,0,0,0
Judson Clarke,1,4,4,4.0,0.0,0.0,0.0,0,0,0,0,0
Kaleb Smith,1,3,3,3.0,0.0,0.0,0.0,0,0,0,0,0
Kamdyn McIntosh,16,18,2,11.6,0.4,0.3,0.5,40,0,0,30,10
Kane McAuliffe,9,20,4,11.44,0.0,0.22,0.56,33,11,0,0,0
Liam Baker,14,31,12,20.2,0.5,0.8,1.0,80,50,20,50,0
Marlion Pickett,12,22,5,14.7,0.2,0.9,0.5,50,20,0,20,0
Matthew Coulthard,1,3,3,3.0,1.0,0.0,0.0,0,0,0,100,0
Maurice Rioli,8,17,4,9.5,0.88,0.75,0.88,12,0,0,62,25
Nathan Broad,16,17,10,13.0,0.1,0.1,0.4,40,0,0,10,0
Nick Vlastuin,17,23,14,17.9,0.0,0.0,1.2,70,30,0,0,0
Noah Balta,13,20,6,12.3,0.5,0.0,0.8,20,10,0,30,10
Noah Cumberland,7,13,3,6.71,0.86,0.29,0.43,0,0,0,43,29
Rhyan Mansell,15,13,6,10.0,1.1,0.6,0.7,0,0,0,90,20
Sam Banks,9,16,5,9.33,0.0,0.22,0.33,11,0,0,0,0
Sam Naismith,3,11,6,8.67,0.0,0.0,1.67,0,0,0,0,0
Samson Ryan,5,8,2,5.8,0.6,0.0,1.0,0,0,0,40,20
Seth Campbell,15,17,4,9.6,0.4,0.4,0.3,10,0,0,30,10
Shai Bolton,16,20,13,17.0,1.2,1.3,0.7,90,10,0,60,40
Steely Green,3,11,5,7.33,1.0,0.0,0.67,0,0,0,33,33
Tom Lynch,4,11,4,8.0,1.5,1.0,1.5,0,0,0,75,50
Thomson Dow,14,22,11,17.3,0.0,0.1,0.8,80,30,0,0,0
Tim Taranto,10,35,15,26.4,0.6,0.6,1.4,100,90,80,60,0
Toby Nankervis,16,26,11,15.6,0.2,0.5,2.2,50,20,10,20,0
Tom Brown,15,17,9,13.7,0.0,0.1,0.1,40,0,0,0,0
Tylar Young,9,14,3,9.11,0.0,0.0,0.33,0,0,0,0,0
Tyler Sonsie,13,18,3,13.3,0.2,0.6,0.4,40,0,0,20,0
