Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Ben Miller,11,15,2,7.64,0.45,0.27,0.64,9,0,0,36,9
Daniel Rioli,17,31,17,22.82,0.12,0.18,0.88,100,82,35,12,0
Dion Prestia,15,29,11,21.73,0.4,0.13,0.53,93,87,20,27,7
Dustin Martin,15,35,13,22.47,1.07,1.13,0.53,87,60,33,67,27
Dylan Grimes,17,14,6,9.06,0.0,0.0,1.18,0,0,0,0,0
Hugo Ralphsmith,13,19,1,11.0,0.08,0.15,0.0,38,0,0,8,0
Ivan Soldo,2,11,11,11.0,1.0,1.0,1.5,0,0,0,100,0
Jack Graham,14,21,9,15.0,0.5,0.29,0.5,50,21,0,43,7
Jack Riewoldt,16,15,4,9.0,1.56,1.19,0.62,6,0,0,69,44
Jack Ross,13,26,4,17.69,0.46,0.23,0.54,85,38,8,38,8
Jacob Bauer,1,2,2,2.0,0.0,0.0,0.0,0,0,0,0,0
Jacob Hopper,11,32,10,22.91,0.55,0.36,1.36,91,82,27,45,9
Jayden Short,12,32,4,21.58,0.58,0.25,0.75,92,75,25,33,17
Judson Clarke,13,20,2,8.85,0.85,0.23,0.38,15,8,0,77,8
Kamdyn McIntosh,17,19,8,14.18,0.18,0.29,0.41,53,0,0,18,0
Liam Baker,17,35,13,20.53,0.29,0.65,0.71,88,59,24,29,0
Marlion Pickett,16,23,6,13.94,0.44,0.25,0.81,50,12,0,31,12
Maurice Rioli,8,11,3,6.75,0.25,0.62,0.5,0,0,0,12,12
Nathan Broad,13,24,8,16.31,0.08,0.0,0.69,69,23,0,8,0
Nick Vlastuin,15,26,11,19.13,0.13,0.07,0.87,93,60,7,13,0
Noah Balta,17,24,8,15.18,0.0,0.0,0.82,59,12,0,0,0
Noah Cumberland,8,21,2,7.38,0.88,0.75,1.25,12,12,0,50,25
Rhyan Mansell,12,13,3,8.25,0.83,0.33,0.92,0,0,0,67,17
Sam Banks,2,13,10,11.5,0.0,0.0,0.5,0,0,0,0,0
Samson Ryan,14,11,2,7.07,0.86,0.36,0.5,0,0,0,64,14
Shai Bolton,17,33,16,22.41,1.24,1.12,0.82,100,65,24,76,29
Tom J. Lynch,4,11,6,8.5,2.25,1.5,0.5,0,0,0,100,75
Thomson Dow,1,6,6,6.0,0.0,1.0,1.0,0,0,0,0,0
Tim Taranto,17,38,21,30.88,0.82,0.71,0.59,100,100,94,53,18
Toby Nankervis,11,22,11,16.36,0.18,0.09,1.27,64,18,0,18,0
Trent Cotchin,16,29,7,16.62,0.44,0.25,0.5,56,25,12,25,12
Tylar Young,13,14,1,8.62,0.0,0.0,0.46,0,0,0,0,0
Tyler Sonsie,3,15,4,11.33,0.0,0.0,0.33,67,0,0,0,0
