Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Anthony Caminiti,14,11,8,9.33,1.0,0.33,0.67,0,0,0,67,33
Ben Paton,12,19,7,13.33,0.0,0.0,0.0,33,0,0,0,0
Brad Crouch,17,28,26,27.0,0.0,0.67,0.33,100,100,100,0,0
Bradley Hill,16,25,16,20.33,0.33,0.0,0.67,100,67,33,33,0
Callum Wilkie,17,23,16,20.33,0.0,0.0,0.33,100,67,0,0,0
Cooper Sharman,9,11,8,9.67,1.33,0.33,1.0,0,0,0,67,33
Dan Butler,17,13,8,10.33,0.67,0.33,1.0,0,0,0,33,33
Dougal Howard,17,18,8,14.33,0.0,0.33,0.67,67,0,0,0,0
Hunter Clark,12,18,1,10.33,0.0,0.33,0.33,33,0,0,0,0
Jack Billings,1,18,18,18.0,1.0,1.0,0.0,100,0,0,100,0
Jack Bytel,5,7,4,5.67,0.0,0.33,0.0,0,0,0,0,0
Jack Higgins,15,11,9,10.33,1.33,2.0,1.0,0,0,0,100,33
Jack Peris,1,13,13,13.0,0.0,0.0,1.0,0,0,0,0,0
Jack Sinclair,17,33,23,28.67,0.0,0.33,0.33,100,100,67,0,0
Jack Steele,14,31,22,25.0,0.33,0.33,1.33,100,100,33,33,0
Jade Gresham,16,24,20,21.67,1.33,0.67,1.0,100,100,0,100,33
Jimmy Webster,10,20,15,16.67,0.0,0.0,0.0,100,33,0,0,0
Josh Battle,16,19,1,12.33,0.0,0.0,0.33,67,0,0,0,0
Marcus Windhager,12,27,19,22.0,0.0,0.0,1.67,100,67,33,0,0
Mason Wood,17,24,14,19.67,1.0,1.0,1.67,67,67,0,100,0
Mattaes Phillipou,17,15,7,11.0,0.33,0.67,0.33,33,0,0,33,0
Mitch Owens,16,14,13,13.67,2.0,0.33,1.67,0,0,0,67,67
Nasiah Wanganeen Milera,17,33,22,27.67,0.0,0.0,0.67,100,100,67,0,0
Rowan Marshall,17,30,19,25.0,0.33,0.0,1.67,100,67,67,33,0
Ryan Byrnes,17,18,12,15.0,0.0,0.0,0.33,67,0,0,0,0
Sebastian Ross,14,25,2,14.33,0.0,0.0,0.0,67,33,33,0,0
Tim Membrey,4,12,9,10.67,0.67,1.0,0.33,0,0,0,67,0
Zaine Cordy,8,7,1,3.33,0.67,0.0,0.0,0,0,0,67,0
Zak Jones,2,21,20,20.5,0.0,0.0,0.5,100,100,0,0,0
