Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Angus Hastie,5,9,0,5.0,0.2,0.0,0.2,0,0,0,20,0
Anthony Caminiti,11,12,7,9.2,0.2,0.2,0.6,0,0,0,20,0
Arie Schoenmaker,4,18,12,14.5,0.0,0.0,0.5,50,0,0,0,0
Ben Paton,4,14,2,6.75,0.0,0.0,0.5,0,0,0,0,0
Brad Crouch,1,15,15,15.0,0.0,0.0,1.0,100,0,0,0,0
Bradley Hill,16,24,15,18.8,0.2,0.0,0.2,100,20,0,20,0
Callum Wilkie,17,26,10,18.6,0.0,0.0,0.6,60,40,40,0,0
Cooper Sharman,12,12,1,6.2,1.0,0.4,0.6,0,0,0,60,40
Dan Butler,10,12,8,10.0,1.2,0.6,1.4,0,0,0,60,40
Darcy Wilson,17,18,7,11.0,0.4,0.0,1.4,20,0,0,40,0
Dougal Howard,9,17,3,10.2,0.0,0.0,0.8,20,0,0,0,0
Hugo Garcia,5,14,6,9.8,0.2,0.2,0.2,0,0,0,20,0
Hunter Clark,6,21,14,17.2,0.2,0.2,0.6,80,20,0,20,0
Jack Hayes,2,17,2,9.5,1.0,0.5,2.5,50,0,0,50,50
Jack Higgins,14,17,7,11.2,2.2,1.2,1.0,20,0,0,80,60
Jack Sinclair,16,32,20,28.4,0.0,0.2,0.2,100,100,80,0,0
Jack Steele,17,28,16,21.6,0.0,0.2,1.4,100,60,40,0,0
Jimmy Webster,9,18,7,12.0,0.0,0.0,1.0,40,0,0,0,0
Josh Battle,17,21,10,16.4,0.0,0.0,0.2,80,20,0,0,0
Lance Collard,3,4,0,2.33,0.0,0.0,0.33,0,0,0,0,0
Liam Henry,11,20,13,15.4,0.6,0.4,0.8,60,20,0,40,20
Liam Stocker,10,12,7,10.4,0.0,0.0,1.0,0,0,0,0,0
Marcus Windhager,15,18,9,12.6,0.0,0.0,1.2,40,0,0,0,0
Mason Wood,12,22,14,18.2,1.0,0.4,0.4,80,40,0,80,20
Mattaes Phillipou,11,26,4,13.2,0.8,0.8,1.0,40,40,20,80,0
Max King,12,14,8,10.0,2.0,0.6,1.0,0,0,0,80,80
Mitch Owens,17,14,4,8.4,0.4,0.6,2.0,0,0,0,20,20
Nasiah Wanganeen-Milera,16,28,24,26.8,0.0,0.6,0.6,100,100,80,0,0
Paddy Dow,6,22,7,16.6,0.0,0.4,1.2,60,60,0,0,0
Riley Bonner,16,20,12,16.0,0.0,0.6,0.2,80,20,0,0,0
Rowan Marshall,17,20,16,18.6,1.0,0.8,1.6,100,40,0,40,40
Ryan Byrnes,10,22,4,15.4,0.0,0.0,0.4,60,40,0,0,0
Sebastian Ross,13,16,6,10.8,0.2,0.2,0.2,20,0,0,20,0
Tim Membrey,13,12,4,8.6,0.6,0.2,0.0,0,0,0,60,0
Tom Campbell,2,9,6,7.5,0.0,0.0,0.0,0,0,0,0,0
Zaine Cordy,8,15,2,7.6,0.2,0.0,0.4,20,0,0,20,0
Zak Jones,7,20,6,10.6,0.2,0.0,0.6,20,20,0,20,0
