Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Alex Witherden,14,31,6,17.0,0.07,0.0,0.5,71,36,7,7,0
Andrew Gaff,3,21,4,14.67,0.33,0.0,0.33,67,33,0,33,0
Bailey J. Williams,17,17,5,10.59,0.24,0.29,1.24,12,0,0,24,0
Brady Hough,17,25,8,14.53,0.0,0.06,0.41,53,6,6,0,0
Callum Jamieson,4,12,11,11.25,0.0,0.0,1.25,0,0,0,0,0
Campbell Chesser,16,16,6,10.94,0.31,0.25,0.38,12,0,0,31,0
Dom Sheed,8,20,2,12.12,0.0,0.12,1.0,50,12,0,0,0
Elijah Hewett,14,21,3,13.43,0.29,0.5,0.43,43,14,0,21,7
Elliot Yeo,15,29,13,22.13,0.6,0.6,1.47,87,73,40,53,7
Harley Reid,14,27,12,18.0,0.57,0.29,2.5,79,36,7,36,14
Harry Barnett,1,6,6,6.0,0.0,0.0,1.0,0,0,0,0,0
Harry Edwards,4,9,6,7.5,0.0,0.0,0.75,0,0,0,0,0
Harvey Johnston,2,8,4,6.0,0.0,0.0,0.0,0,0,0,0,0
Jack Darling,16,14,4,9.62,1.12,0.62,0.94,0,0,0,69,38
Jack Petruccelle,12,16,2,10.92,0.75,0.75,0.92,8,0,0,42,25
Jack Williams,12,15,1,7.0,0.83,0.25,0.67,8,0,0,67,8
Jai Culley,1,14,14,14.0,0.0,1.0,0.0,0,0,0,0,0
Jake Waterman,15,18,5,12.73,2.73,1.13,0.67,33,0,0,100,73
Jamaine Jones,10,16,6,11.3,0.1,0.2,0.8,10,0,0,10,0
Jamie Cripps,17,22,8,14.76,1.12,1.35,0.47,41,18,0,76,29
Jayden Hunt,14,22,7,14.36,0.21,0.14,0.5,43,29,0,21,0
Jeremy McGovern,16,26,15,20.44,0.06,0.12,0.94,100,62,19,6,0
Josh Rotham,11,11,4,8.73,0.0,0.0,0.45,0,0,0,0,0
Liam Duggan,17,30,6,22.59,0.06,0.06,0.65,94,76,47,6,0
Liam Ryan,11,21,5,12.45,0.91,0.64,0.73,18,9,0,55,27
Loch Rawlinson,1,4,4,4.0,0.0,1.0,0.0,0,0,0,0,0
Luke Edwards,10,17,2,10.3,0.2,0.1,0.2,30,0,0,20,0
Matt Flynn,4,12,6,8.25,0.25,0.25,0.75,0,0,0,25,0
Noah Long,7,13,8,10.0,0.29,0.71,0.43,0,0,0,29,0
Oscar Allen,5,13,6,9.0,1.8,2.4,0.4,0,0,0,60,60
Reuben Ginbey,17,22,10,15.29,0.06,0.18,0.71,47,18,0,6,0
Rhett Bazzo,11,13,3,8.64,0.0,0.0,0.36,0,0,0,0,0
Ryan Maric,14,15,4,8.5,0.36,0.29,0.36,7,0,0,36,0
Tim Kelly,14,30,15,23.07,0.21,0.57,1.0,100,64,36,21,0
Tom Barrass,16,22,4,12.81,0.0,0.0,0.62,38,6,0,0,0
Tom Cole,17,22,8,15.12,0.0,0.12,1.24,53,29,0,0,0
Tyler Brockman,10,14,4,8.4,0.1,0.2,0.6,0,0,0,10,0
Tyrell Dewar,3,9,2,4.33,0.33,0.33,0.0,0,0,0,33,0
Zane Trew,2,21,5,13.0,0.0,0.0,0.5,50,50,0,0,0
