Year,Player Name,Round,Date,Opponent,Result,D,G,B
2023,Jordan Dawson,8,06/05/2023,Cats,Loss 72-98,29,0,0
2022,Jordan Dawson,11,28/05/2022,Cats,Loss 55-97,27,0,1
2021,Jordan Dawson,7,01/05/2021,Cats,Win 90-88,20,0,1
2023,Rory Laird,8,06/05/2023,Cats,Loss 72-98,21,0,1
2022,Rory Laird,11,28/05/2022,Cats,Loss 55-97,38,0,0
2021,Rory Laird,1,20/03/2021,Cats,Win 103-91,27,0,2
2023,Matt Crouch,8,06/05/2023,Cats,Loss 72-98,12,0,0
2022,Matt Crouch,11,28/05/2022,Cats,Loss 55-97,26,0,0
2023,Reilly O'Brien,8,06/05/2023,Cats,Loss 72-98,15,1,0
2022,Reilly O'Brien,11,28/05/2022,Cats,Loss 55-97,28,0,0
2021,Reilly O'Brien,1,20/03/2021,Cats,Win 103-91,8,0,0
2023,Brodie Smith,8,06/05/2023,Cats,Loss 72-98,24,0,0
2022,Brodie Smith,11,28/05/2022,Cats,Loss 55-97,20,0,0
2021,Brodie Smith,1,20/03/2021,Cats,Win 103-91,21,0,1
2023,Taylor Walker,8,06/05/2023,Cats,Loss 72-98,7,3,1
2021,Taylor Walker,1,20/03/2021,Cats,Win 103-91,18,5,2
2023,Ben Keays,8,06/05/2023,Cats,Loss 72-98,12,0,0
2022,Ben Keays,11,28/05/2022,Cats,Loss 55-97,29,1,0
2021,Ben Keays,1,20/03/2021,Cats,Win 103-91,23,0,1
2023,Mitchell Hinge,8,06/05/2023,Cats,Loss 72-98,14,1,0
2022,Mitchell Hinge,11,28/05/2022,Cats,Loss 55-97,15,0,0
2021,Mitchell Hinge,1,20/03/2021,Cats,Win 103-91,7,0,0
2023,Rory Sloane,8,06/05/2023,Cats,Loss 72-98,18,1,0
2021,Rory Sloane,1,20/03/2021,Cats,Win 103-91,20,0,0
2023,Izak Rankine,8,06/05/2023,Cats,Loss 72-98,21,2,1
2022,Izak Rankine,22,13/08/2022,Cats,Loss 59-119,14,2,1
2021,Izak Rankine,10,22/05/2021,Cats,Loss 57-91,9,0,1
2023,Josh Rachele,8,06/05/2023,Cats,Loss 72-98,8,0,0
2023,Wayne Milera,8,06/05/2023,Cats,Loss 72-98,18,0,0
2022,Wayne Milera,11,28/05/2022,Cats,Loss 55-97,10,0,0
2023,Lachlan Sholl,8,06/05/2023,Cats,Loss 72-98,12,1,0
2021,Lachlan Sholl,1,20/03/2021,Cats,Win 103-91,23,0,0
2023,Jake Soligo,8,06/05/2023,Cats,Loss 72-98,20,0,1
2022,Jake Soligo,11,28/05/2022,Cats,Loss 55-97,11,1,0
2023,Chayce Jones,8,06/05/2023,Cats,Loss 72-98,16,0,0
2022,Chayce Jones,11,28/05/2022,Cats,Loss 55-97,6,0,0
2023,Lachlan Murphy,8,06/05/2023,Cats,Loss 72-98,19,0,0
2022,Lachlan Murphy,11,28/05/2022,Cats,Loss 55-97,12,0,1
2021,Lachlan Murphy,1,20/03/2021,Cats,Win 103-91,11,1,1
2023,Darcy Fogarty,8,06/05/2023,Cats,Loss 72-98,9,0,0
2022,Darcy Fogarty,11,28/05/2022,Cats,Loss 55-97,11,3,1
2023,Luke Pedlar,8,06/05/2023,Cats,Loss 72-98,8,2,0
2023,Riley Thilthorpe,8,06/05/2023,Cats,Loss 72-98,5,0,0
2022,Riley Thilthorpe,11,28/05/2022,Cats,Loss 55-97,12,0,0
2023,Max Michalanney,8,06/05/2023,Cats,Loss 72-98,12,0,0
2021,Harry Schoenberg,1,20/03/2021,Cats,Win 103-91,16,1,1
2022,Sam Berry,11,28/05/2022,Cats,Loss 55-97,15,0,0
2021,Sam Berry,1,20/03/2021,Cats,Win 103-91,8,0,1
2022,Ned McHenry,11,28/05/2022,Cats,Loss 55-97,14,1,1
2021,Ned McHenry,1,20/03/2021,Cats,Win 103-91,12,2,1
2023,Nick Murray,8,06/05/2023,Cats,Loss 72-98,5,0,0
2022,Nick Murray,11,28/05/2022,Cats,Loss 55-97,6,0,0
2023,Jordon Butts,8,06/05/2023,Cats,Loss 72-98,11,0,0
2022,Jordon Butts,11,28/05/2022,Cats,Loss 55-97,4,0,0
2021,Jordon Butts,1,20/03/2021,Cats,Win 103-91,10,0,0
2021,Chris Burgess,10,22/05/2021,Cats,Loss 57-91,9,1,1
2022,Will Hamill,11,28/05/2022,Cats,Loss 55-97,11,0,0
2021,Will Hamill,1,20/03/2021,Cats,Win 103-91,6,0,0
