Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Brad Close,1,11,11,11.0,1.0,0.0,0.0,0,0,0,100,0
Brandan Parfitt,9,26,5,12.67,0.11,0.11,0.67,11,11,11,11,0
Cameron Guthrie,6,28,15,22.33,0.0,0.0,0.67,100,83,33,0,0
Gary Rohan,15,16,2,8.93,1.2,0.6,0.73,7,0,0,73,33
Gryan Miers,1,20,20,20.0,0.0,0.0,0.0,100,100,0,0,0
Jack Bowes,17,25,3,15.35,0.24,0.35,0.47,53,35,12,24,0
Jack Henry,1,11,11,11.0,0.0,0.0,0.0,0,0,0,0,0
Jake Kolodjashnij,1,17,17,17.0,0.0,0.0,2.0,100,0,0,0,0
Jed Bews,15,15,2,10.47,0.0,0.07,0.2,13,0,0,0,0
Jeremy Cameron,1,21,21,21.0,2.0,3.0,0.0,100,100,0,100,100
Jhye Clark,1,13,13,13.0,0.0,0.0,1.0,0,0,0,0,0
Mark Blicavs,1,17,17,17.0,0.0,0.0,0.0,100,0,0,0,0
Mark O'Connor,1,17,17,17.0,0.0,1.0,1.0,100,0,0,0,0
Max Holmes,1,23,23,23.0,0.0,0.0,0.0,100,100,0,0,0
Mitch Duncan,1,23,23,23.0,0.0,1.0,0.0,100,100,0,0,0
Mitchell Knevitt,8,17,3,11.88,0.25,0.38,0.62,50,0,0,25,0
Oisin Mullin,6,15,1,8.17,0.0,0.17,0.17,17,0,0,0,0
Oliver Henry,1,9,9,9.0,1.0,2.0,3.0,0,0,0,100,0
Oliver Dempsey,1,15,15,15.0,3.0,1.0,1.0,100,0,0,100,100
Patrick Dangerfield,1,25,25,25.0,1.0,1.0,2.0,100,100,100,100,0
Rhys Stanley,1,8,8,8.0,0.0,0.0,0.0,0,0,0,0,0
Sam De Koning,1,14,14,14.0,0.0,0.0,1.0,0,0,0,0,0
Shannon Neale,3,10,3,7.0,0.33,0.67,0.0,0,0,0,33,0
Shaun Mannagh,1,5,5,5.0,0.0,0.0,0.0,0,0,0,0,0
Tanner Bruhn,1,20,20,20.0,0.0,0.0,0.0,100,100,0,0,0
Ted Clohesy,1,5,5,5.0,0.0,0.0,0.0,0,0,0,0,0
Tom Stewart,1,22,22,22.0,0.0,0.0,1.0,100,100,0,0,0
Toby Conway,1,6,6,6.0,0.0,0.0,1.0,0,0,0,0,0
Tom Atkins,1,21,21,21.0,0.0,0.0,1.0,100,100,0,0,0
Tom Hawkins,1,9,9,9.0,1.0,1.0,0.0,0,0,0,100,0
Tyson Stengle,1,7,7,7.0,0.0,2.0,0.0,0,0,0,0,0
Zach Guthrie,1,18,18,18.0,0.0,0.0,1.0,100,0,0,0,0
Zach Tuohy,1,15,15,15.0,1.0,1.0,0.0,100,0,0,100,0
