Year,Player Name,Round,Date,Opponent,Result,D,G,B
2023,Luke Davies-Uniacke,2,25/03/2023,Dockers,Win 73-72,30,1,1
2022,Luke Davies-Uniacke,2,25/03/2022,Dockers,Win 73-72,30,1,1
2021,Luke Davies-Uniacke,2,25/03/2021,Dockers,Win 73-72,30,1,1
2023,Harry Sheezel,2,25/03/2023,Dockers,Win 73-72,30,0,0
2022,Harry Sheezel,2,25/03/2022,Dockers,Win 73-72,30,0,0
2021,Harry Sheezel,2,25/03/2021,Dockers,Win 73-72,30,0,0
2023,Bailey Scott,2,25/03/2023,Dockers,Win 73-72,12,0,0
2022,Bailey Scott,2,25/03/2022,Dockers,Win 73-72,12,0,0
2021,Bailey Scott,2,25/03/2021,Dockers,Win 73-72,12,0,0
2023,Liam Shiels,2,25/03/2023,Dockers,Win 73-72,19,0,0
2022,Liam Shiels,2,25/03/2022,Dockers,Win 73-72,19,0,0
2021,Liam Shiels,2,25/03/2021,Dockers,Win 73-72,19,0,0
2023,Jy Simpkin,2,25/03/2023,Dockers,Win 73-72,25,1,0
2022,Jy Simpkin,2,25/03/2022,Dockers,Win 73-72,25,1,0
2021,Jy Simpkin,2,25/03/2021,Dockers,Win 73-72,25,1,0
2023,Luke McDonald,2,25/03/2023,Dockers,Win 73-72,15,0,0
2022,Luke McDonald,2,25/03/2022,Dockers,Win 73-72,15,0,0
2021,Luke McDonald,2,25/03/2021,Dockers,Win 73-72,15,0,0
2023,Cameron Zurhaar,2,25/03/2023,Dockers,Win 73-72,26,0,2
2022,Cameron Zurhaar,2,25/03/2022,Dockers,Win 73-72,26,0,2
2021,Cameron Zurhaar,2,25/03/2021,Dockers,Win 73-72,26,0,2
2023,Curtis Taylor,2,25/03/2023,Dockers,Win 73-72,11,2,0
2022,Curtis Taylor,2,25/03/2022,Dockers,Win 73-72,11,2,0
2021,Curtis Taylor,2,25/03/2021,Dockers,Win 73-72,11,2,0
2023,Nick Larkey,2,25/03/2023,Dockers,Win 73-72,9,4,0
2022,Nick Larkey,2,25/03/2022,Dockers,Win 73-72,9,4,0
2021,Nick Larkey,2,25/03/2021,Dockers,Win 73-72,9,4,0
2023,Hugh Greenwood,2,25/03/2023,Dockers,Win 73-72,14,0,0
2022,Hugh Greenwood,2,25/03/2022,Dockers,Win 73-72,14,0,0
2021,Hugh Greenwood,2,25/03/2021,Dockers,Win 73-72,14,0,0
2023,Aidan Corr,2,25/03/2023,Dockers,Win 73-72,22,0,0
2022,Aidan Corr,2,25/03/2022,Dockers,Win 73-72,22,0,0
2021,Aidan Corr,2,25/03/2021,Dockers,Win 73-72,22,0,0
2023,Tom Powell,2,25/03/2023,Dockers,Win 73-72,19,1,0
2022,Tom Powell,2,25/03/2022,Dockers,Win 73-72,19,1,0
2021,Tom Powell,2,25/03/2021,Dockers,Win 73-72,19,1,0
2023,Josh Goater,2,25/03/2023,Dockers,Win 73-72,15,0,0
2022,Josh Goater,2,25/03/2022,Dockers,Win 73-72,15,0,0
2021,Josh Goater,2,25/03/2021,Dockers,Win 73-72,15,0,0
2023,Jaidyn Stephenson,2,25/03/2023,Dockers,Win 73-72,13,2,0
2022,Jaidyn Stephenson,2,25/03/2022,Dockers,Win 73-72,13,2,0
2021,Jaidyn Stephenson,2,25/03/2021,Dockers,Win 73-72,13,2,0
2023,Griffin Logue,2,25/03/2023,Dockers,Win 73-72,13,0,0
2022,Griffin Logue,2,25/03/2022,Dockers,Win 73-72,13,0,0
2021,Griffin Logue,2,25/03/2021,Dockers,Win 73-72,13,0,0
2023,Miller Bergman,2,25/03/2023,Dockers,Win 73-72,10,0,0
2022,Miller Bergman,2,25/03/2022,Dockers,Win 73-72,10,0,0
2021,Miller Bergman,2,25/03/2021,Dockers,Win 73-72,10,0,0
2023,Paul Curtis,2,25/03/2023,Dockers,Win 73-72,8,0,0
2022,Paul Curtis,2,25/03/2022,Dockers,Win 73-72,8,0,0
2021,Paul Curtis,2,25/03/2021,Dockers,Win 73-72,8,0,0
2023,Charlie Comben,2,25/03/2023,Dockers,Win 73-72,6,0,1
2022,Charlie Comben,2,25/03/2022,Dockers,Win 73-72,6,0,1
2021,Charlie Comben,2,25/03/2021,Dockers,Win 73-72,6,0,1
