Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Aliir Aliir,1,13,13,13.0,0.0,0.0,0.0,0,0,0,0,0
Brandon Zerk-Thatcher,1,15,15,15.0,0.0,0.0,2.0,100,0,0,0,0
Charlie Dixon,1,13,13,13.0,3.0,3.0,2.0,0,0,0,100,100
Connor Rozee,1,27,27,27.0,2.0,0.0,1.0,100,100,100,100,100
Dan Houston,1,18,18,18.0,0.0,1.0,1.0,100,0,0,0,0
Dante Visentini,3,10,4,7.33,0.0,0.0,1.33,0,0,0,0,0
Darcy Byrne-Jones,1,13,13,13.0,1.0,1.0,0.0,0,0,0,100,0
Dylan Williams,21,20,6,12.8,0.0,0.0,0.4,60,20,0,0,0
Esava Ratugolea,1,10,10,10.0,0.0,0.0,0.0,0,0,0,0,0
Francis Evans,1,2,2,2.0,0.0,0.0,0.0,0,0,0,0,0
Ivan Soldo,1,14,14,14.0,2.0,0.0,0.0,0,0,0,100,100
Jackson Mead,1,13,13,13.0,0.0,1.0,0.0,0,0,0,0,0
Jase Burgoyne,5,15,2,8.8,0.0,0.0,0.2,20,0,0,0,0
Jason Horne-Francis,1,20,20,20.0,2.0,0.0,2.0,100,100,0,100,100
Jed McEntee,1,1,1,1.0,0.0,0.0,0.0,0,0,0,0,0
Jeremy Finlayson,1,15,15,15.0,0.0,4.0,2.0,100,0,0,0,0
Josh Sinn,3,7,4,5.33,0.0,0.33,0.0,0,0,0,0,0
Kane Farrell,1,17,17,17.0,2.0,1.0,0.0,100,0,0,100,100
Lachie Jones,1,12,12,12.0,0.0,0.0,0.0,0,0,0,0,0
Miles Bergman,1,21,21,21.0,0.0,3.0,0.0,100,100,0,0,0
Mitch Georgiades,2,14,13,13.5,1.0,2.5,1.0,0,0,0,100,0
Ollie Wines,1,23,23,23.0,0.0,0.0,1.0,100,100,0,0,0
Ollie Lord,13,7,3,5.4,1.8,0.4,0.6,0,0,0,100,40
Quinton Narkle,3,13,7,10.67,1.33,0.33,0.33,0,0,0,100,33
Ryan Burton,1,22,22,22.0,0.0,1.0,0.0,100,100,0,0,0
Sam Powell-Pepper,25,19,8,13.0,1.4,1.6,1.2,40,0,0,80,60
Todd Marshall,1,15,15,15.0,0.0,3.0,1.0,100,0,0,0,0
Tom Clurey,1,3,3,3.0,0.0,0.0,0.0,0,0,0,0,0
Travis Boak,1,16,16,16.0,0.0,2.0,0.0,100,0,0,0,0
Trent McKenzie,19,9,3,6.6,0.0,0.0,0.0,0,0,0,0,0
Willem Drew,1,16,16,16.0,2.0,1.0,1.0,100,0,0,100,100
Willie Rioli,1,13,13,13.0,1.0,2.0,1.0,0,0,0,100,0
Zak Butters,1,27,27,27.0,1.0,0.0,2.0,100,100,100,100,0
