Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Ash Johnson,2,3,2,2.5,0.0,0.5,1.0,0,0,0,0,0
Beau McCreery,2,9,9,9.0,1.0,1.0,1.0,0,0,0,100,0
Brayden Maynard,2,22,16,19.0,0.5,0.0,2.5,100,50,0,50,0
Brody Mihocek,2,14,7,10.5,1.5,1.5,0.5,0,0,0,50,50
Charlie Dean,2,12,9,10.5,0.0,0.0,1.0,0,0,0,0,0
Darcy Cameron,2,20,17,18.5,1.5,0.0,3.0,100,50,0,100,50
Darcy Moore,2,16,9,12.5,0.0,0.0,0.0,50,0,0,0,0
Finlay Macrae,1,8,8,8.0,0.0,0.0,1.0,0,0,0,0,0
Bobby Hill,2,12,10,11.0,1.5,0.0,0.0,0,0,0,100,50
Isaac Quaynor,2,16,15,15.5,0.0,0.0,1.0,100,0,0,0,0
Jack Crisp,2,18,15,16.5,0.0,0.5,1.0,100,0,0,0,0
Jamie Elliott,2,16,11,13.5,1.0,1.0,0.5,50,0,0,50,50
Jeremy Howe,1,14,14,14.0,0.0,1.0,0.0,0,0,0,0,0
John Noble,1,8,8,8.0,0.0,0.0,0.0,0,0,0,0,0
Jordan De Goey,2,21,20,20.5,0.5,0.0,1.0,100,100,0,50,0
Josh Daicos,2,28,16,22.0,0.5,0.0,1.5,100,50,50,50,0
Lachie Schultz,2,16,10,13.0,1.0,1.5,0.0,50,0,0,50,50
Mason Cox,2,12,5,8.5,0.0,0.5,1.5,0,0,0,0,0
Nick Daicos,2,37,34,35.5,1.0,1.0,1.5,100,100,100,100,0
Oleg Markov,2,16,12,14.0,0.0,0.0,0.5,50,0,0,0,0
Patrick Lipinski,2,26,18,22.0,0.0,1.0,0.5,100,50,50,0,0
Scott Pendlebury,2,26,18,22.0,0.0,0.0,1.5,100,50,50,0,0
Steele Sidebottom,2,17,16,16.5,0.0,0.0,2.0,100,0,0,0,0
Tom Mitchell,1,9,9,9.0,1.0,0.0,0.0,0,0,0,100,0
Will Hoskin-Elliott,2,19,14,16.5,0.0,0.5,0.5,50,0,0,0,0
