Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Alwyn Davey Jnr,10,12,1,7.5,0.4,0.2,0.4,0,0,0,40,0
Andrew McGrath,1,33,33,33.0,0.0,0.0,1.0,100,100,100,0,0
Archie Perkins,1,24,24,24.0,2.0,0.0,2.0,100,100,0,100,100
Ben Hobbs,18,29,6,19.67,0.33,0.22,1.39,89,61,11,28,6
Ben McKay,1,10,10,10.0,0.0,0.0,0.0,0,0,0,0,0
Darcy Parish,18,39,24,30.83,0.17,0.33,1.06,100,100,83,17,0
Dylan Shiel,12,28,2,18.67,0.5,0.08,0.42,75,50,25,25,25
Dyson Heppell,1,21,21,21.0,0.0,0.0,1.0,100,100,0,0,0
Elijah Tsatas,1,12,12,12.0,0.0,0.0,0.0,0,0,0,0,0
Harrison Jones,1,4,4,4.0,0.0,0.0,0.0,0,0,0,0,0
Jade Gresham,1,12,12,12.0,1.0,0.0,0.0,0,0,0,100,0
Jake Kelly,1,15,15,15.0,0.0,0.0,1.0,100,0,0,0,0
Jake Stringer,1,11,11,11.0,4.0,1.0,0.0,0,0,0,100,100
Jayden Laverde,19,31,7,15.84,0.05,0.0,1.11,58,26,11,5,0
Jordan Ridley,17,32,4,20.29,0.06,0.06,0.59,94,59,18,6,0
Jye Caldwell,1,13,13,13.0,1.0,0.0,3.0,0,0,0,100,0
Jye Menzie,1,10,10,10.0,1.0,0.0,0.0,0,0,0,100,0
Kaine Baldwin,4,14,0,8.75,0.0,0.0,0.5,0,0,0,0,0
Kyle Langford,1,7,7,7.0,3.0,0.0,0.0,0,0,0,100,100
Mason Redman,1,22,22,22.0,0.0,1.0,3.0,100,100,0,0,0
Matt Guelfi,1,12,12,12.0,2.0,0.0,1.0,0,0,0,100,100
Nic Martin,1,25,25,25.0,0.0,1.0,0.0,100,100,100,0,0
Nick Bryan,8,15,4,9.0,0.12,0.25,0.62,12,0,0,12,0
Nick Hind,16,31,7,18.19,0.19,0.06,0.19,69,56,12,12,6
Nik Cox,1,12,12,12.0,0.0,0.0,1.0,0,0,0,0,0
Peter Wright,1,8,8,8.0,2.0,0.0,0.0,0,0,0,100,100
Sam Draper,14,16,7,11.0,0.71,0.86,1.07,21,0,0,50,14
Sam Durham,1,16,16,16.0,1.0,1.0,2.0,100,0,0,100,0
Sam Weideman,16,14,3,9.12,0.94,0.94,0.81,0,0,0,38,38
Todd Goldstein,1,9,9,9.0,0.0,0.0,1.0,0,0,0,0,0
Will Setterfield,1,24,24,24.0,0.0,1.0,1.0,100,100,0,0,0
Xavier Duursma,1,12,12,12.0,0.0,0.0,0.0,0,0,0,0,0
Zach Reid,1,3,3,3.0,0.0,0.0,0.0,0,0,0,0,0
Zach Merrett,1,31,31,31.0,0.0,0.0,1.0,100,100,100,0,0
