Year,Player Name,Round,Date,Opponent,Result,D,G,B
2023,Tom Green,2,26/03/2023,Eagles,Loss 81-100,27,0,0
2022,Tom Green,10,22/05/2022,Eagles,Win 138-86,18,2,0
2021,Tom Green,10,23/05/2021,Eagles,Win 93-77,27,2,2
2023,Stephen Coniglio,2,26/03/2023,Eagles,Loss 81-100,27,0,0
2022,Stephen Coniglio,10,22/05/2022,Eagles,Win 138-86,36,0,0
2022,Josh Kelly,10,22/05/2022,Eagles,Win 138-86,29,0,1
2021,Josh Kelly,10,23/05/2021,Eagles,Win 93-77,25,0,0
2021,Lachie Whitfield,10,23/05/2021,Eagles,Win 93-77,29,1,0
2023,Toby Greene,2,26/03/2023,Eagles,Loss 81-100,18,4,2
2022,Toby Greene,10,22/05/2022,Eagles,Win 138-86,17,2,2
2023,Lachie Ash,2,26/03/2023,Eagles,Loss 81-100,21,0,0
2021,Lachie Ash,10,23/05/2021,Eagles,Win 93-77,20,0,0
2023,Finn Callaghan,2,26/03/2023,Eagles,Loss 81-100,19,0,1
2023,Jesse Hogan,2,26/03/2023,Eagles,Loss 81-100,15,3,4
2022,Jesse Hogan,10,22/05/2022,Eagles,Win 138-86,12,2,1
2023,Harry Himmelberg,2,26/03/2023,Eagles,Loss 81-100,8,1,1
2022,Harry Himmelberg,10,22/05/2022,Eagles,Win 138-86,18,1,0
2021,Harry Himmelberg,10,23/05/2021,Eagles,Win 93-77,20,0,2
2023,Callan Ward,2,26/03/2023,Eagles,Loss 81-100,23,0,1
2022,Callan Ward,10,22/05/2022,Eagles,Win 138-86,20,0,0
2021,Callan Ward,10,23/05/2021,Eagles,Win 93-77,29,0,0
2022,Harry Perryman,10,22/05/2022,Eagles,Win 138-86,30,1,0
2023,Brent Daniels,2,26/03/2023,Eagles,Loss 81-100,13,1,0
2023,Isaac Cumming,2,26/03/2023,Eagles,Loss 81-100,23,0,0
2022,Isaac Cumming,10,22/05/2022,Eagles,Win 138-86,20,0,0
2021,Isaac Cumming,10,23/05/2021,Eagles,Win 93-77,20,0,0
2023,Connor Idun,2,26/03/2023,Eagles,Loss 81-100,15,0,0
2022,Connor Idun,10,22/05/2022,Eagles,Win 138-86,8,0,0
2021,Connor Idun,10,23/05/2021,Eagles,Win 93-77,18,0,0
2023,Nick Haynes,2,26/03/2023,Eagles,Loss 81-100,16,0,0
2021,Nick Haynes,10,23/05/2021,Eagles,Win 93-77,17,0,0
2022,Xavier O'Halloran,10,22/05/2022,Eagles,Win 138-86,9,0,0
2023,Jack Buckley,2,26/03/2023,Eagles,Loss 81-100,21,0,0
2021,Jack Buckley,10,23/05/2021,Eagles,Win 93-77,13,0,0
2023,Sam Taylor,2,26/03/2023,Eagles,Loss 81-100,13,0,0
2022,Sam Taylor,10,22/05/2022,Eagles,Win 138-86,15,0,0
2021,Sam Taylor,10,23/05/2021,Eagles,Win 93-77,21,0,0
2023,Jake Riccardi,2,26/03/2023,Eagles,Loss 81-100,11,0,1
2022,Jake Riccardi,10,22/05/2022,Eagles,Win 138-86,11,1,1
2021,Jake Riccardi,10,23/05/2021,Eagles,Win 93-77,14,0,0
2023,James Peatling,2,26/03/2023,Eagles,Loss 81-100,9,0,1
2022,James Peatling,10,22/05/2022,Eagles,Win 138-86,23,3,0
2023,Cooper Hamilton,2,26/03/2023,Eagles,Loss 81-100,19,1,0
2023,Harry Rowston,2,26/03/2023,Eagles,Loss 81-100,7,0,1
2023,Jacob Wehr,2,26/03/2023,Eagles,Loss 81-100,3,0,0
2022,Jacob Wehr,10,22/05/2022,Eagles,Win 138-86,13,1,0
2023,Adam Kennedy,2,26/03/2023,Eagles,Loss 81-100,9,0,0
2022,Adam Kennedy,10,22/05/2022,Eagles,Win 138-86,21,0,0
2023,Conor Stone,2,26/03/2023,Eagles,Loss 81-100,5,0,0
