Year,Player Name,Round,Date,Opponent,Result,D,G,B
2023,Tim Kelly,2,26/03/2023,Giants,Win 100-81,32,1,0
2022,Tim Kelly,10,22/05/2022,Giants,Loss 86-138,23,0,1
2021,Tim Kelly,10,23/05/2021,Giants,Loss 77-93,22,1,0
2023,Liam Duggan,2,26/03/2023,Giants,Win 100-81,14,0,0
2022,Liam Duggan,10,22/05/2022,Giants,Loss 86-138,13,1,0
2023,Dom Sheed,2,26/03/2023,Giants,Win 100-81,26,0,0
2021,Dom Sheed,10,23/05/2021,Giants,Loss 77-93,21,0,0
2023,Alex Witherden,2,26/03/2023,Giants,Win 100-81,15,0,0
2022,Alex Witherden,10,22/05/2022,Giants,Loss 86-138,18,0,0
2023,Jayden Hunt,2,26/03/2023,Giants,Win 100-81,22,2,0
2022,Jayden Hunt,5,16/04/2022,Giants,Win 120-53,12,0,0
2021,Jayden Hunt,16,03/07/2021,Giants,Loss 55-64,17,0,0
2021,Jayden Hunt,3,04/04/2021,Giants,Win 102-68,25,0,0
2023,Bailey J. Williams,2,26/03/2023,Giants,Win 100-81,10,0,0
2022,Bailey J. Williams,10,22/05/2022,Giants,Loss 86-138,7,0,0
2021,Bailey J. Williams,10,23/05/2021,Giants,Loss 77-93,6,1,0
2023,Jake Waterman,2,26/03/2023,Giants,Win 100-81,16,4,2
2022,Jake Waterman,10,22/05/2022,Giants,Loss 86-138,8,2,0
2021,Jake Waterman,10,23/05/2021,Giants,Loss 77-93,8,1,0
2023,Liam Ryan,2,26/03/2023,Giants,Win 100-81,17,1,1
2021,Liam Ryan,10,23/05/2021,Giants,Loss 77-93,8,0,1
2023,Andrew Gaff,2,26/03/2023,Giants,Win 100-81,22,0,0
2022,Andrew Gaff,10,22/05/2022,Giants,Loss 86-138,19,0,0
2021,Andrew Gaff,10,23/05/2021,Giants,Loss 77-93,28,0,0
2023,Jeremy McGovern,2,26/03/2023,Giants,Win 100-81,21,0,0
2022,Jeremy McGovern,10,22/05/2022,Giants,Loss 86-138,17,0,0
2023,Jamie Cripps,2,26/03/2023,Giants,Win 100-81,17,3,2
2022,Jamie Cripps,10,22/05/2022,Giants,Loss 86-138,14,2,0
2021,Jamie Cripps,10,23/05/2021,Giants,Loss 77-93,11,2,1
2023,Jamaine Jones,2,26/03/2023,Giants,Win 100-81,27,0,0
2022,Jamaine Jones,10,22/05/2022,Giants,Loss 86-138,11,0,0
2023,Tom Cole,2,26/03/2023,Giants,Win 100-81,11,0,0
2021,Tom Cole,10,23/05/2021,Giants,Loss 77-93,9,0,0
2023,Oscar Allen,2,26/03/2023,Giants,Win 100-81,9,2,2
2021,Oscar Allen,10,23/05/2021,Giants,Loss 77-93,15,1,1
2022,Brady Hough,10,22/05/2022,Giants,Loss 86-138,1,0,0
2023,Jack Darling,2,26/03/2023,Giants,Win 100-81,12,1,1
2022,Jack Darling,10,22/05/2022,Giants,Loss 86-138,13,1,0
2021,Jack Darling,10,23/05/2021,Giants,Loss 77-93,15,1,2
2023,Reuben Ginbey,2,26/03/2023,Giants,Win 100-81,17,0,0
2023,Tom Barrass,2,26/03/2023,Giants,Win 100-81,8,0,0
2022,Tom Barrass,10,22/05/2022,Giants,Loss 86-138,4,0,0
2021,Tom Barrass,10,23/05/2021,Giants,Loss 77-93,12,0,0
2021,Jack Petruccelle,10,23/05/2021,Giants,Loss 77-93,14,2,0
2023,Tyler Brockman,17,08/07/2023,Giants,Loss 72-85,11,0,3
2023,Tyler Brockman,5,16/04/2023,Giants,Loss 75-77,16,1,0
2023,Noah Long,2,26/03/2023,Giants,Win 100-81,7,0,0
2022,Josh Rotham,10,22/05/2022,Giants,Loss 86-138,10,0,0
2021,Josh Rotham,10,23/05/2021,Giants,Loss 77-93,13,0,0
2023,Elijah Hewett,2,26/03/2023,Giants,Win 100-81 ,3,0,0
2023,Campbell Chesser,2,26/03/2023,Giants,Win 100-81,6,0,1
2022,Callum Jamieson,10,22/05/2022,Giants,Loss 86-138,13,0,0
2022,Harry Edwards,10,22/05/2022,Giants,Loss 86-138,7,0,0
2021,Harry Edwards,10,23/05/2021,Giants,Loss 77-93,7,0,0
