Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Ben Keays,18,24,14,20.0,3.33,1.33,2.67,67,67,0,100,67
Billy Dowling,6,20,19,19.33,0.67,0.0,0.67,100,33,0,67,0
Brayden Cook,14,13,11,12.0,0.0,0.67,0.33,0,0,0,0,0
Brodie Smith,15,22,13,16.67,0.0,0.0,0.67,67,33,0,0,0
Chayce Jones,14,17,12,14.33,0.33,0.33,1.0,33,0,0,33,0
Chris Burgess,7,9,4,7.33,1.33,0.67,1.0,0,0,0,67,33
Daniel Curtin,2,9,5,7.0,0.0,0.0,0.0,0,0,0,0,0
Darcy Fogarty,18,17,9,12.0,2.33,0.33,0.0,33,0,0,100,67
Ned McHenry,10,11,5,8.0,0.0,0.33,0.33,0,0,0,0,0
Elliott Himmelberg,8,12,5,8.67,1.0,0.33,0.67,0,0,0,67,33
Harry Schoenberg,4,12,7,9.33,0.67,0.0,0.67,0,0,0,67,0
Hugh Bond,2,10,6,8.0,0.0,0.0,0.0,0,0,0,0,0
Izak Rankine,13,27,16,20.33,2.0,1.0,1.67,100,33,33,100,100
Jake Soligo,18,25,16,20.67,0.33,1.0,0.67,100,67,33,33,0
James Borlase,8,16,5,11.33,0.33,0.33,1.0,33,0,0,33,0
Jordan Dawson,18,26,16,20.67,0.0,0.0,1.67,100,67,33,0,0
Jordon Butts,15,10,6,8.0,0.0,0.0,1.0,0,0,0,0,0
Josh Rachele,18,13,12,12.33,1.33,0.33,0.0,0,0,0,67,33
Josh Worrell,9,22,12,17.33,0.0,0.0,1.33,67,33,0,0,0
Kieran Strachan,2,12,10,11.0,0.5,0.0,3.0,0,0,0,50,0
Lachlan Gollant,3,7,3,5.0,0.33,0.0,0.33,0,0,0,33,0
Lachlan Murphy,12,15,7,10.67,0.33,0.67,0.33,33,0,0,33,0
Lachlan Sholl,15,22,17,18.67,0.67,0.0,0.67,100,33,0,33,33
Luke Nankervis,15,20,12,17.0,0.0,0.0,0.33,67,33,0,0,0
Luke Pedlar,4,10,1,5.0,0.33,0.33,0.0,0,0,0,33,0
Mark Keane,17,20,12,15.33,0.0,0.0,0.33,33,33,0,0,0
Matt Crouch,11,35,30,33.0,0.0,0.33,1.67,100,100,100,0,0
Max Michalanney,18,16,10,13.67,0.0,0.33,0.67,67,0,0,0,0
Mitchell Hinge,17,31,12,22.33,0.0,0.33,0.67,67,67,33,0,0
Nick Murray,5,19,0,10.0,0.0,0.0,0.67,33,0,0,0,0
Patrick Parnell,1,10,10,10.0,0.0,0.0,0.0,0,0,0,0,0
Reilly O'Brien,16,14,8,11.67,0.0,0.33,0.67,0,0,0,0,0
Riley Thilthorpe,2,10,7,8.5,2.0,0.5,0.5,0,0,0,100,100
Rory Laird,18,31,27,29.0,0.0,0.0,1.33,100,100,100,0,0
Rory Sloane,22,13,9,11.33,0.0,0.33,1.33,0,0,0,0,0
Sam Berry,13,19,15,17.33,0.33,0.33,0.67,100,0,0,33,0
Taylor Walker,14,13,9,10.67,1.33,0.67,0.33,0,0,0,67,67
Wayne Milera,3,19,13,15.33,0.0,0.0,0.33,33,0,0,0,0
Will Hamill,7,15,12,13.67,0.0,0.0,1.33,33,0,0,0,0
Zac Taylor,4,18,6,13.67,0.33,1.0,1.67,67,0,0,33,0
