Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Bailey Macdonald,2,15,10,12.5,0.0,0.0,0.5,50,0,0,0,0
Blake Hardwick,18,19,10,16.2,0.2,0.2,0.2,60,0,0,20,0
Calsher Dear,10,8,1,5.0,1.0,0.2,0.6,0,0,0,60,40
Cam Mackenzie,17,17,9,14.0,0.6,0.0,0.4,40,0,0,40,20
Chad Wingard,14,26,0,17.4,1.0,0.6,1.0,80,40,40,40,40
Changkuoth Jiath,9,20,12,14.8,0.4,0.6,0.8,40,20,0,40,0
Connor Macdonald,18,21,14,17.2,1.6,0.4,0.2,80,40,0,80,40
Conor Nash,18,29,16,21.6,0.0,0.2,1.0,100,60,40,0,0
Denver Grainger-Barras,7,9,0,5.4,0.8,0.2,0.8,0,0,0,80,0
Dylan Moore,18,29,18,23.6,1.2,0.6,1.0,100,60,60,80,40
Finn Maginness,9,20,7,13.0,0.2,0.6,0.2,20,20,0,20,0
Harry Morrison,7,16,7,11.0,0.0,0.2,0.4,20,0,0,0,0
Henry Hustwaite,4,12,2,6.5,0.0,0.0,0.75,0,0,0,0,0
Jack Ginnivan,16,31,14,20.8,1.4,1.2,1.6,80,60,20,80,60
Jack Gunston,12,16,1,8.0,1.4,0.4,0.4,20,0,0,60,40
Jack Scrimshaw,17,20,14,16.8,0.0,0.0,0.0,80,20,0,0,0
Jai Newcombe,18,33,15,23.0,0.6,0.2,1.6,100,60,60,60,0
Jai Serong,4,14,2,8.5,0.0,0.0,0.5,0,0,0,0,0
James Blanck,15,7,5,5.6,0.0,0.0,1.0,0,0,0,0,0
James Sicily,15,33,13,23.8,0.6,0.4,1.2,80,80,40,20,20
James Worpel,18,28,16,24.4,0.4,0.8,0.2,100,80,60,40,0
Jarman Impey,18,25,13,19.6,0.2,0.0,1.4,80,60,20,20,0
Josh Ward,8,18,7,12.2,0.2,0.2,0.2,40,0,0,20,0
Josh Weddle,18,23,7,13.4,0.2,0.0,0.6,20,20,0,20,0
Karl Amon,18,23,20,21.4,0.0,0.2,0.6,100,100,0,0,0
Lloyd Meek,14,16,12,13.8,0.2,0.2,1.2,40,0,0,20,0
Luke Breust,12,16,5,9.0,1.8,0.4,1.0,20,0,0,80,60
Mabior Chol,16,14,7,9.8,2.2,1.4,1.6,0,0,0,100,80
Massimo D'Ambrosio,17,26,8,18.6,0.6,0.4,0.0,80,60,20,40,20
Max Ramsden,3,9,2,5.67,0.33,0.0,1.0,0,0,0,33,0
Mitch Lewis,4,10,7,8.0,1.25,0.5,0.0,0,0,0,100,25
Ned Reeves,4,10,5,8.25,0.25,0.0,0.75,0,0,0,25,0
Nick Watson,11,13,9,11.8,1.2,1.6,2.2,0,0,0,80,20
Sam Butler,2,7,3,5.0,0.0,0.0,0.0,0,0,0,0,0
Sam Frost,18,8,4,6.4,0.0,0.0,0.0,0,0,0,0,0
Seamus Mitchell,10,13,4,7.8,0.0,0.0,0.0,0,0,0,0,0
Will Day,12,26,18,22.8,0.0,0.2,1.0,100,80,40,0,0
