Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Bailey Macdonald,2,15,10,12.5,0.0,0.0,0.5,50,0,0,0,0
Blake Hardwick,18,23,6,14.22,0.72,0.28,0.67,44,11,0,33,11
Calsher Dear,10,9,1,5.9,1.1,0.4,0.9,0,0,0,70,40
Cam Mackenzie,17,21,3,14.29,0.47,0.29,0.65,59,12,0,29,18
Chad Wingard,14,26,0,14.14,0.64,0.57,0.86,57,14,14,36,21
Changkuoth Jiath,9,20,7,12.0,0.33,0.44,1.0,22,11,0,33,0
Connor Macdonald,18,24,7,16.28,1.11,0.83,0.39,67,22,0,72,22
Conor Nash,18,32,10,19.44,0.06,0.17,0.94,89,39,17,6,0
Denver Grainger-Barras,7,9,0,5.57,0.57,0.14,0.71,0,0,0,57,0
Dylan Moore,18,29,11,19.61,1.5,0.44,1.89,78,39,28,72,39
Finn Maginness,9,20,4,13.33,0.44,0.56,0.11,44,11,0,22,11
Harry Morrison,7,26,7,12.57,0.14,0.14,0.29,29,14,14,14,0
Henry Hustwaite,4,12,2,6.5,0.0,0.0,0.75,0,0,0,0,0
Jack Ginnivan,16,31,11,16.94,1.19,1.06,1.12,62,31,6,81,38
Jack Gunston,12,16,1,8.83,1.25,1.25,0.5,17,0,0,58,33
Jack Scrimshaw,17,26,9,17.18,0.0,0.0,0.53,76,35,6,0,0
Jai Newcombe,18,33,10,22.78,0.33,0.17,1.33,94,72,39,33,0
Jai Serong,4,14,2,8.5,0.0,0.0,0.5,0,0,0,0,0
James Blanck,15,11,1,5.93,0.0,0.0,0.6,0,0,0,0,0
James Sicily,15,33,11,21.6,0.27,0.13,1.73,87,67,27,13,7
James Worpel,18,36,13,22.06,0.22,0.39,0.61,83,61,39,22,0
Jarman Impey,18,27,12,18.61,0.06,0.17,0.94,83,44,11,6,0
Josh Ward,8,19,7,14.12,0.12,0.25,0.12,62,0,0,12,0
Josh Weddle,18,23,7,14.0,0.28,0.33,0.5,33,17,0,28,0
Karl Amon,18,31,14,22.06,0.17,0.11,0.44,94,72,28,11,6
Lloyd Meek,14,18,10,14.07,0.43,0.14,1.43,50,0,0,36,7
Luke Breust,12,16,5,8.08,1.08,0.5,0.67,8,0,0,67,25
Mabior Chol,16,14,7,9.38,1.69,1.0,1.25,0,0,0,81,62
Massimo D'Ambrosio,17,29,8,19.76,0.18,0.29,0.47,88,53,24,12,6
Max Ramsden,3,9,2,5.67,0.33,0.0,1.0,0,0,0,33,0
Mitch Lewis,4,10,7,8.0,1.25,0.5,0.0,0,0,0,100,25
Ned Reeves,4,10,5,8.25,0.25,0.0,0.75,0,0,0,25,0
Nick Watson,11,16,3,10.64,0.91,1.73,1.09,9,0,0,64,18
Sam Butler,2,7,3,5.0,0.0,0.0,0.0,0,0,0,0,0
Sam Frost,18,17,4,9.28,0.0,0.0,0.5,11,0,0,0,0
Seamus Mitchell,10,13,4,8.6,0.0,0.0,0.2,0,0,0,0,0
Will Day,12,27,11,21.75,0.17,0.33,1.25,83,75,42,17,0
