Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Aliir Aliir,17,22,14,18.2,0.0,0.0,1.0,80,40,0,0,0
Brandon Zerk-Thatcher,18,18,6,11.8,0.0,0.0,0.2,20,0,0,0,0
Charlie Dixon,12,12,1,8.6,1.0,1.0,0.8,0,0,0,40,20
Connor Rozee,15,36,24,28.4,0.6,0.6,0.4,100,100,80,40,20
Dan Houston,18,34,14,22.2,0.0,0.2,0.8,80,60,40,0,0
Dante Visentini,2,10,8,9.0,0.0,0.0,1.0,0,0,0,0,0
Darcy Byrne-Jones,18,13,7,10.0,0.4,0.6,0.6,0,0,0,40,0
Dylan Williams,5,12,6,10.0,0.0,0.0,0.0,0,0,0,0,0
Esava Ratugolea,15,13,7,10.0,0.2,0.0,0.4,0,0,0,20,0
Francis Evans,9,18,5,11.4,0.4,1.0,1.0,20,0,0,40,0
Ivan Soldo,8,13,6,9.0,0.4,0.4,1.0,0,0,0,40,0
Jackson Mead,18,18,14,16.0,0.6,0.2,0.6,80,0,0,40,20
Jase Burgoyne,15,24,14,16.8,0.0,0.2,1.2,60,20,0,0,0
Jason Horne-Francis,16,28,9,19.2,1.2,1.2,1.4,80,60,20,60,40
Jed McEntee,12,17,6,9.2,0.6,0.4,0.0,20,0,0,60,0
Jeremy Finlayson,12,16,5,10.6,0.6,1.2,0.4,20,0,0,60,0
Jordon Sweet,9,11,9,9.6,0.4,0.2,1.0,0,0,0,40,0
Josh Sinn,4,16,10,13.25,0.25,0.0,0.5,25,0,0,25,0
Kane Farrell,17,30,17,24.6,0.0,0.2,0.0,100,80,60,0,0
Lachie Jones,13,14,4,10.4,0.0,0.0,0.6,0,0,0,0,0
Miles Bergman,18,22,15,17.6,0.2,0.2,0.4,100,20,0,20,0
Mitch Georgiades,14,13,9,10.6,2.8,1.2,0.8,0,0,0,80,80
Ollie Wines,17,32,17,23.6,0.4,0.2,0.8,100,60,40,40,0
Ollie Lord,6,8,2,5.8,1.2,0.6,0.8,0,0,0,100,20
Quinton Narkle,6,17,7,11.0,0.6,1.6,0.0,20,0,0,60,0
Ryan Burton,11,23,9,14.0,0.0,0.0,0.6,40,20,0,0,0
Sam Powell-Pepper,3,11,7,9.33,1.0,1.33,0.67,0,0,0,67,33
Todd Marshall,17,15,0,7.8,0.4,1.2,0.4,20,0,0,40,0
Tom Clurey,1,3,3,3.0,0.0,0.0,0.0,0,0,0,0,0
Travis Boak,15,25,10,18.4,0.4,0.8,0.4,80,40,20,40,0
Trent McKenzie,19,9,3,6.6,0.0,0.0,0.0,0,0,0,0,0
Will Lorenz,1,4,4,4.0,0.0,0.0,0.0,0,0,0,0,0
Willem Drew,18,24,15,19.6,0.0,0.6,0.8,100,60,0,0,0
Willie Rioli,12,14,0,9.4,2.0,1.6,0.8,0,0,0,80,60
Zak Butters,18,35,22,30.6,0.8,0.0,1.6,100,100,80,80,0
