Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Adam Cerra,17,27,17,23.67,1.0,0.0,0.67,100,67,67,67,33
Adam Saad,17,22,13,17.67,0.0,0.0,1.33,67,33,0,0,0
Alex Cincotta,11,13,11,12.0,0.33,0.0,0.67,0,0,0,33,0
Blake Acres,17,24,22,23.0,0.0,0.33,0.67,100,100,0,0,0
Brodie Kemp,10,19,9,12.67,0.0,0.0,0.0,33,0,0,0,0
Charlie Curnow,18,20,15,16.67,5.33,2.67,1.67,100,33,0,100,100
Corey Durdin,10,10,9,9.33,0.33,0.0,1.0,0,0,0,33,0
David Cuningham,5,16,14,14.67,0.67,0.33,1.0,33,0,0,67,0
Ed Curnow,14,16,13,14.67,0.33,0.67,0.33,67,0,0,33,0
George Hewett,14,31,5,18.33,0.33,0.0,1.33,67,33,33,33,0
Harry McKay,17,20,2,13.67,1.67,2.0,2.0,67,33,0,67,67
Jack Carroll,1,4,4,4.0,0.0,0.0,0.0,0,0,0,0,0
Jack Martin,6,14,9,11.67,1.33,1.0,1.33,0,0,0,67,33
Jack Silvagni,16,19,6,14.67,1.67,0.33,0.67,67,0,0,67,33
Jacob Weitering,18,16,10,12.33,0.0,0.0,0.33,33,0,0,0,0
Jesse Motlop,14,14,10,11.33,2.0,0.67,0.67,0,0,0,67,67
Jordan Boyd,8,14,10,12.0,0.0,0.33,0.33,0,0,0,0,0
Josh Honey,6,8,4,6.67,0.67,0.67,0.0,0,0,0,67,0
Lachie Cowan,7,11,9,9.67,0.0,0.0,1.0,0,0,0,0,0
Lachie Fogarty,5,17,11,14.0,0.67,0.67,0.33,33,0,0,67,0
Lachie Plowman,1,12,12,12.0,0.0,0.0,2.0,0,0,0,0,0
Lewis Young,15,13,6,10.67,0.0,0.67,0.0,0,0,0,0,0
Marc Pittonet,11,13,8,10.67,0.0,0.33,1.33,0,0,0,0,0
Matthew Cottrell,9,17,10,13.33,1.0,0.67,0.33,33,0,0,67,33
Matthew Owies,11,9,9,9.0,1.67,0.0,1.33,0,0,0,100,67
Matthew Kennedy,14,27,16,20.33,0.67,0.33,2.0,100,33,33,67,0
Mitch McGovern,17,21,14,16.33,0.33,0.67,1.0,33,33,0,33,0
Nic Newman,16,23,23,23.0,0.67,0.0,0.33,100,100,0,67,0
Oliver Hollands,12,17,10,13.67,0.0,0.33,0.33,33,0,0,0,0
Paddy Dow,5,21,8,14.67,0.33,0.0,0.33,67,33,0,33,0
Patrick Cripps,17,29,24,27.0,0.33,1.0,2.0,100,100,67,33,0
Sam Docherty,16,29,26,27.67,0.33,0.33,1.0,100,100,100,33,0
Sam Walsh,14,32,14,23.0,0.33,0.33,1.67,67,67,33,33,0
Tom De Koning,11,19,11,14.33,0.67,1.33,2.67,33,0,0,33,33
Zac Fisher,8,22,14,19.0,0.33,1.33,0.67,67,67,0,33,0
