Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Ash Johnson,14,11,6,8.0,2.33,0.0,1.0,0,0,0,100,67
Beau McCreery,18,10,8,9.33,0.33,0.0,0.0,0,0,0,33,0
Billy Frampton,12,15,3,7.67,1.33,0.0,0.33,33,0,0,100,33
Brayden Maynard,17,20,12,16.0,0.0,0.0,1.33,67,33,0,0,0
Brody Mihocek,16,10,8,8.67,0.67,1.67,0.0,0,0,0,33,33
Daniel McStay,7,8,1,5.33,1.33,0.0,0.33,0,0,0,67,67
Darcy Cameron,11,16,10,13.33,0.33,0.33,2.67,33,0,0,33,0
Darcy Moore,18,22,19,20.33,0.0,0.0,2.0,100,67,0,0,0
Harvey Harrison,4,12,2,7.67,0.67,0.0,0.0,0,0,0,67,0
Isaac Quaynor,18,27,13,20.67,0.0,0.0,0.33,67,67,33,0,0
Jack Crisp,18,26,23,24.67,0.33,0.0,0.67,100,100,67,33,0
Jack Ginnivan,8,15,1,8.33,0.67,0.33,0.33,33,0,0,33,33
Jamie Elliott,16,12,9,10.33,3.67,1.0,0.33,0,0,0,100,100
Jeremy Howe,6,18,8,14.33,0.0,0.0,0.0,67,0,0,0,0
John Noble,18,28,11,19.67,0.0,0.0,0.33,67,67,33,0,0
Jordan De Goey,14,26,19,22.67,0.33,0.33,0.67,100,67,33,33,0
Josh Carmichael,1,2,2,2.0,0.0,0.0,0.0,0,0,0,0,0
Josh Daicos,18,31,24,26.33,1.0,0.33,1.33,100,100,33,100,0
Mason Cox,13,8,4,6.0,0.33,1.33,0.33,0,0,0,33,0
Nathan Kreuger,2,5,2,3.5,0.0,0.0,0.0,0,0,0,0,0
Nathan Murphy,17,11,9,9.67,0.0,0.0,0.67,0,0,0,0,0
Nick Daicos,18,36,25,30.0,1.33,0.67,2.0,100,100,100,100,33
Patrick Lipinski,6,20,14,16.67,0.33,0.0,0.0,67,33,0,33,0
Reef McInnes,5,7,2,4.33,0.0,0.0,0.0,0,0,0,0,0
Scott Pendlebury,17,28,14,21.0,0.33,0.0,0.67,67,67,33,33,0
Steele Sidebottom,13,26,4,16.0,0.33,0.0,0.0,67,33,33,33,0
Taylor Adams,17,25,19,22.33,1.0,0.33,0.67,100,67,33,67,33
Tom Mitchell,18,24,14,17.67,0.0,0.0,1.33,67,33,0,0,0
Tom Wilson,1,5,5,5.0,0.0,0.0,0.0,0,0,0,0,0
Trent Bianco,1,9,9,9.0,0.0,0.0,0.0,0,0,0,0,0
Trey Ruscoe,1,11,11,11.0,0.0,0.0,1.0,0,0,0,0,0
Will Hoskin Elliott,16,19,2,10.67,0.67,0.33,0.0,33,0,0,67,0
Will Kelly,2,8,5,6.5,0.0,0.0,0.0,0,0,0,0,0
