Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Ash Johnson,3,4,2,3.0,0.0,0.33,0.67,0,0,0,0,0
Beau McCreery,13,10,8,9.0,0.33,0.0,0.0,0,0,0,33,0
Billy Frampton,15,15,6,9.33,0.0,0.0,0.0,33,0,0,0,0
Brayden Maynard,18,22,8,16.0,0.0,0.0,0.0,67,33,0,0,0
Brody Mihocek,11,12,6,9.67,1.67,1.0,0.67,0,0,0,100,67
Charlie Dean,7,12,9,10.67,0.0,0.0,1.33,0,0,0,0,0
Daniel McStay,1,8,8,8.0,1.0,2.0,1.0,0,0,0,100,0
Darcy Cameron,18,18,10,14.33,0.33,0.0,4.0,67,0,0,33,0
Darcy Moore,18,14,8,10.67,0.0,0.0,0.0,0,0,0,0,0
Edward Allan,1,7,7,7.0,0.0,0.0,0.0,0,0,0,0,0
Finlay Macrae,8,16,6,11.0,0.33,0.33,0.33,33,0,0,33,0
Harvey Harrison,11,10,9,9.67,0.67,0.33,0.0,0,0,0,33,33
Bobby Hill,18,10,9,9.33,0.67,1.0,0.33,0,0,0,33,33
Isaac Quaynor,18,17,8,11.33,0.0,0.0,0.67,33,0,0,0,0
Jack Crisp,18,24,15,20.33,1.33,0.0,0.67,100,67,0,67,33
Jamie Elliott,10,13,10,11.33,1.33,1.0,1.0,0,0,0,100,33
Jeremy Howe,14,19,10,13.33,1.0,0.0,1.67,33,0,0,67,33
Joe Richards,7,9,8,8.67,0.67,1.0,0.33,0,0,0,33,33
John Noble,15,28,7,17.33,0.0,0.0,0.0,67,33,33,0,0
Jordan De Goey,12,24,16,19.67,0.67,0.33,1.0,100,33,0,67,0
Josh Daicos,18,23,20,21.67,0.0,0.33,0.67,100,100,0,0,0
Lachie Schultz,15,11,9,10.0,1.67,1.33,0.67,0,0,0,67,33
Mason Cox,11,6,4,5.0,0.0,0.67,1.67,0,0,0,0,0
Nathan Kreuger,6,10,4,7.33,0.67,1.0,0.67,0,0,0,33,33
Nick Daicos,18,32,24,29.0,0.33,0.33,2.0,100,100,67,33,0
Oleg Markov,12,17,7,12.33,0.0,0.0,0.67,33,0,0,0,0
Patrick Lipinski,18,21,11,14.33,0.33,0.67,0.33,33,33,0,33,0
Reef McInnes,9,9,1,4.33,0.67,0.0,0.67,0,0,0,67,0
Scott Pendlebury,15,24,14,19.0,0.33,0.33,1.67,67,33,0,33,0
Steele Sidebottom,17,34,14,25.33,1.0,0.0,0.33,67,67,67,67,33
Tew Jiath,1,5,5,5.0,0.0,0.0,1.0,0,0,0,0,0
Tom Mitchell,6,30,19,23.33,0.0,0.33,1.67,100,67,33,0,0
Will Hoskin-Elliott,15,20,9,14.0,0.33,0.0,0.0,33,33,0,33,0
