Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Ben Miller,16,17,8,12.0,0.0,0.0,0.33,33,0,0,0,0
Daniel Rioli,18,28,26,26.67,1.0,0.0,1.33,100,100,100,67,33
Dion Prestia,8,27,14,21.67,0.33,0.0,0.67,67,67,33,33,0
Dustin Martin,12,15,7,11.67,1.0,0.0,0.33,33,0,0,67,33
Dylan Grimes,5,11,7,9.33,0.0,0.33,0.0,0,0,0,0,0
Hugo Ralphsmith,13,16,14,15.0,0.0,0.33,0.33,67,0,0,0,0
Jack Graham,10,21,17,19.0,0.0,0.0,0.33,100,33,0,0,0
Jack Ross,5,26,17,22.33,0.33,0.0,0.67,100,67,33,33,0
Jacob Hopper,7,28,25,26.33,0.0,0.33,1.67,100,100,100,0,0
Jacob Koschitzke,9,11,8,9.33,1.0,1.0,0.33,0,0,0,67,33
James Trezise,3,15,5,11.33,0.0,0.0,0.33,33,0,0,0,0
Jayden Short,17,24,23,23.33,0.0,0.0,0.33,100,100,0,0,0
Josh Gibcus,2,9,1,5.0,0.0,0.0,1.0,0,0,0,0,0
Judson Clarke,1,4,4,4.0,0.0,0.0,0.0,0,0,0,0,0
Kaleb Smith,2,14,3,8.5,0.0,0.0,0.0,0,0,0,0,0
Kamdyn McIntosh,17,10,8,9.33,0.33,0.67,0.33,0,0,0,33,0
Kane McAuliffe,9,13,6,9.33,0.0,0.33,0.0,0,0,0,0,0
Liam Baker,15,21,12,15.0,0.33,0.67,0.33,33,33,0,33,0
Marlion Pickett,12,18,5,13.0,0.33,1.67,0.33,67,0,0,33,0
Matthew Coulthard,1,3,3,3.0,1.0,0.0,0.0,0,0,0,100,0
Maurice Rioli,8,14,8,10.33,1.0,1.0,0.33,0,0,0,67,33
Nathan Broad,17,18,12,15.0,0.0,0.0,0.67,67,0,0,0,0
Nick Vlastuin,17,21,17,19.0,0.0,0.0,1.0,100,33,0,0,0
Noah Balta,14,13,10,11.33,0.0,0.0,1.33,0,0,0,0,0
Noah Cumberland,7,5,4,4.67,1.0,0.0,0.67,0,0,0,33,33
Rhyan Mansell,16,12,10,11.0,2.0,0.33,0.33,0,0,0,100,67
Sam Banks,10,17,6,13.0,0.0,0.33,0.33,67,0,0,0,0
Sam Naismith,3,11,6,8.67,0.0,0.0,1.67,0,0,0,0,0
Samson Ryan,6,8,3,5.67,0.33,0.0,1.0,0,0,0,33,0
Seth Campbell,16,19,4,9.33,0.33,0.67,0.67,33,0,0,33,0
Shai Bolton,17,18,16,17.0,2.33,1.67,0.0,100,0,0,100,67
Steely Green,4,13,6,10.0,1.33,0.0,0.67,0,0,0,67,33
Tom Lynch,4,11,4,7.33,1.33,1.0,1.0,0,0,0,67,33
Thomson Dow,15,19,16,17.67,0.0,0.0,0.33,100,0,0,0,0
Tim Taranto,10,27,26,26.67,0.67,0.0,0.33,100,100,100,67,0
Toby Nankervis,17,26,13,20.33,0.33,0.67,2.0,67,67,33,33,0
Tom Brown,16,16,8,12.67,0.0,0.0,0.0,33,0,0,0,0
Tylar Young,9,14,11,12.0,0.0,0.0,0.33,0,0,0,0,0
Tyler Sonsie,14,18,3,8.0,0.0,0.67,0.0,33,0,0,0,0
