Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Alwyn Davey,8,9,3,6.67,0.33,0.33,0.0,0,0,0,33,0
Andrew McGrath,18,31,23,26.67,0.0,0.33,0.33,100,100,67,0,0
Anthony McDonald Tipungwuti,6,9,6,7.67,0.33,1.0,0.0,0,0,0,33,0
Archie Perkins,18,24,8,17.0,0.0,0.33,1.0,67,33,0,0,0
Ben Hobbs,13,23,12,18.33,0.33,0.0,1.0,67,67,0,33,0
Brandon Zerk Thatcher,17,18,12,15.67,0.0,0.0,0.67,67,0,0,0,0
Darcy Parish,13,39,24,29.0,0.0,0.0,0.67,100,100,33,0,0
Dylan Shiel,12,10,2,6.0,0.0,0.0,0.0,0,0,0,0,0
Dyson Heppell,17,25,22,24.0,0.0,0.0,0.33,100,100,67,0,0
Jake Kelly,13,21,15,17.33,0.33,0.0,0.67,100,33,0,33,0
Jake Stringer,16,8,8,8.0,0.67,0.67,0.0,0,0,0,67,0
Jayden Laverde,14,27,16,21.0,0.0,0.0,2.33,100,67,33,0,0
Jordan Ridley,17,29,16,21.0,0.0,0.0,0.67,100,33,33,0,0
Jye Caldwell,18,20,12,15.0,0.0,0.0,1.67,33,33,0,0,0
Jye Menzie,16,10,6,8.0,1.0,0.0,0.67,0,0,0,67,33
Kaine Baldwin,2,14,13,13.5,0.0,0.0,0.5,0,0,0,0,0
Kyle Langford,18,14,9,11.67,2.0,0.67,0.33,0,0,0,100,67
Mason Redman,18,28,19,23.0,0.33,0.0,0.0,100,67,33,33,0
Matt Guelfi,9,18,9,12.33,1.33,0.67,1.0,33,0,0,100,33
Nic Martin,18,28,19,23.33,0.67,0.0,1.0,100,67,33,33,33
Nick Bryan,4,14,4,8.33,0.33,0.0,0.67,0,0,0,33,0
Nick Hind,11,21,8,13.0,0.0,0.0,0.67,33,33,0,0,0
Nik Cox,1,13,13,13.0,0.0,1.0,0.0,0,0,0,0,0
Peter Wright,6,19,7,13.0,2.33,1.33,0.67,33,0,0,100,67
Sam Draper,13,13,7,10.33,0.67,0.67,1.0,0,0,0,67,0
Sam Durham,17,18,15,16.67,0.0,0.0,0.67,100,0,0,0,0
Sam Weideman,15,10,6,8.33,0.0,0.33,0.0,0,0,0,0,0
Will Setterfield,9,23,16,19.33,0.0,0.33,0.33,100,33,0,0,0
Will Snelling,12,13,7,10.0,0.33,0.0,0.33,0,0,0,33,0
Zach Merrett,17,39,18,27.0,0.67,0.33,2.67,100,67,33,67,0
