Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Aaron Francis,11,12,9,10.33,0.0,0.0,0.67,0,0,0,0,0
Angus Sheldrick,7,29,14,21.33,0.33,1.0,1.33,67,67,33,33,0
Braeden Campbell,18,20,12,16.67,0.0,0.67,0.67,67,33,0,0,0
Callum Mills,14,21,15,18.67,0.67,0.0,0.67,100,67,0,33,33
Chad Warner,15,33,17,22.67,1.0,1.0,0.67,100,33,33,67,33
Corey Warner,3,8,1,4.0,0.33,0.0,0.33,0,0,0,33,0
Dane Rampe,11,16,10,12.67,0.0,0.0,0.33,33,0,0,0,0
Dylan Stephens,9,14,3,8.67,0.0,0.33,0.33,0,0,0,0,0
Errol Gulden,18,31,22,27.67,0.67,0.33,2.0,100,100,67,67,0
Harry Cunningham,18,21,13,17.33,0.0,0.0,0.33,67,33,0,0,0
Hayden McLean,16,15,13,14.0,0.0,0.67,0.33,33,0,0,0,0
Isaac Heeney,17,17,14,15.0,2.0,0.67,0.67,33,0,0,100,67
Jake Lloyd,17,23,11,18.0,0.0,0.0,0.67,67,67,0,0,0
James Rowbottom,18,22,17,20.0,0.33,0.33,1.0,100,67,0,33,0
Joel Amartey,10,9,6,7.67,0.33,0.67,0.67,0,0,0,33,0
Justin McInerney,17,23,12,16.67,0.67,0.33,1.0,67,33,0,33,33
Lachlan McAndrew,2,9,3,6.0,0.0,0.5,0.5,0,0,0,0,0
Lance Franklin,12,15,11,12.67,2.33,1.33,2.33,33,0,0,100,100
Lewis Melican,7,15,5,10.0,0.0,0.0,0.67,33,0,0,0,0
Logan McDonald,14,15,4,8.33,0.67,1.0,0.33,33,0,0,33,33
Luke Parker,17,31,23,27.33,0.0,0.0,1.67,100,100,67,0,0
Marc Sheather,3,5,2,3.67,0.33,0.0,0.33,0,0,0,33,0
Matt Roberts,5,14,3,6.67,0.0,0.0,0.67,0,0,0,0,0
Nick Blakey,18,23,14,19.0,0.0,0.0,0.0,67,67,0,0,0
Oliver Florent,18,30,20,24.33,0.67,0.0,0.33,100,100,33,33,33
Peter Ladhams,9,24,6,13.67,1.0,0.33,0.67,33,33,0,67,33
Robbie Fox,14,17,9,12.33,0.0,0.0,0.0,33,0,0,0,0
Ryan Clarke,8,16,7,11.33,1.0,0.67,0.33,33,0,0,67,33
Sam Wicks,5,10,7,8.0,0.33,0.0,0.33,0,0,0,33,0
Tom Hickey,7,19,7,12.0,0.0,0.67,2.0,33,0,0,0,0
Tom McCartin,9,15,10,12.0,0.0,0.0,1.33,33,0,0,0,0
Tom Papley,18,18,12,14.67,2.33,1.0,1.67,33,0,0,100,67
Will Gould,4,8,3,5.67,0.0,0.0,0.67,0,0,0,0,0
Will Hayward,17,14,9,11.33,1.67,0.67,1.67,0,0,0,67,67
