Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Aaron Francis,11,16,7,10.27,0.0,0.36,1.0,18,0,0,0,0
Angus Sheldrick,7,29,2,15.29,0.43,0.43,0.86,57,29,14,29,14
Braeden Campbell,18,23,8,15.5,0.39,0.39,0.56,50,22,0,33,6
Callum Mills,14,31,1,20.21,0.43,0.0,0.43,86,71,21,29,14
Chad Warner,15,33,15,24.87,0.67,0.87,0.87,100,67,60,47,20
Corey Warner,3,8,1,4.0,0.33,0.0,0.33,0,0,0,33,0
Dane Rampe,11,25,10,16.55,0.0,0.0,0.36,82,18,9,0,0
Dylan Stephens,9,27,3,13.11,0.33,0.22,0.78,33,11,11,33,0
Errol Gulden,18,39,15,25.56,0.83,0.83,2.06,100,83,56,61,17
Harry Cunningham,18,21,3,13.22,0.11,0.11,0.44,33,11,0,6,6
Hayden McLean,16,19,6,11.75,0.69,0.69,0.44,19,0,0,44,19
Isaac Heeney,17,22,10,15.82,1.24,0.94,0.71,65,12,0,65,35
Jake Lloyd,17,35,11,22.94,0.18,0.06,0.41,94,76,29,18,0
James Rowbottom,18,27,12,18.0,0.28,0.33,1.5,72,33,6,28,0
Joel Amartey,10,16,3,8.2,1.2,1.0,0.8,10,0,0,50,30
Justin McInerney,17,23,8,17.0,0.71,0.29,0.76,65,41,0,47,18
Lachlan McAndrew,2,9,3,6.0,0.0,0.5,0.5,0,0,0,0,0
Lance Franklin,12,15,4,9.92,1.58,1.08,1.5,8,0,0,67,67
Lewis Melican,7,15,5,10.14,0.0,0.0,0.57,29,0,0,0,0
Logan McDonald,14,15,3,9.21,1.71,0.71,0.71,7,0,0,79,50
Luke Parker,17,34,15,25.35,0.41,0.18,1.53,100,88,59,35,6
Marc Sheather,3,5,2,3.67,0.33,0.0,0.33,0,0,0,33,0
Matt Roberts,5,14,3,6.4,0.0,0.2,0.4,0,0,0,0,0
Nick Blakey,18,30,12,20.89,0.11,0.06,0.94,83,56,17,11,0
Oliver Florent,18,34,10,21.06,0.22,0.06,0.39,89,50,28,17,6
Peter Ladhams,9,24,6,15.22,0.44,0.11,1.44,56,22,0,33,11
Robbie Fox,14,28,9,16.64,0.14,0.21,0.64,71,21,7,14,0
Ryan Clarke,8,16,7,11.38,0.62,0.38,0.38,12,0,0,50,12
Sam Wicks,5,16,7,9.4,0.8,0.4,0.2,20,0,0,60,20
Tom Hickey,7,19,7,13.0,0.0,0.29,0.86,29,0,0,0,0
Tom McCartin,9,16,5,11.78,0.0,0.0,0.67,22,0,0,0,0
Tom Papley,18,25,8,14.11,1.78,1.11,0.94,44,6,6,94,44
Will Gould,4,9,3,6.5,0.0,0.0,0.5,0,0,0,0,0
Will Hayward,17,20,8,11.76,1.06,0.88,0.94,18,6,0,65,29
