Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Alex Pearce,15,15,3,10.0,0.2,0.0,2.0,20,0,0,20,0
Andrew Brayshaw,18,41,23,31.0,0.6,0.4,1.4,100,100,60,60,0
Bailey Banfield,18,17,7,11.8,0.6,0.8,0.2,20,0,0,40,20
Brandon Walker,14,18,13,15.4,0.0,0.0,0.2,60,0,0,0,0
Brennan Cox,4,14,4,9.5,0.25,0.0,0.5,0,0,0,25,0
Caleb Serong,18,36,22,27.4,0.8,0.4,1.4,100,100,60,80,0
Cooper Simpson,2,6,5,5.5,0.0,0.0,0.0,0,0,0,0,0
Corey Wagner,7,21,15,18.2,0.0,0.0,0.4,100,40,0,0,0
Ethan Hughes,6,18,10,13.2,0.0,0.0,0.8,20,0,0,0,0
Ethan Stanley,2,5,3,4.0,0.0,0.5,0.5,0,0,0,0,0
Hayden Young,18,28,17,22.6,1.0,0.6,0.8,100,80,20,40,40
Heath Chapman,11,19,12,14.6,0.2,0.0,0.4,40,0,0,20,0
Hugh Davies,2,7,1,4.0,0.0,0.0,0.0,0,0,0,0,0
Jaeger O'Meara,17,21,11,17.0,0.6,0.0,0.6,80,20,0,60,0
James Aish,18,19,4,12.6,0.0,0.2,0.2,60,0,0,0,0
Jeremy Sharp,18,25,11,16.2,0.2,0.4,0.2,40,20,20,20,0
Jordan Clark,18,26,17,21.8,0.2,0.0,1.2,100,80,20,20,0
Josh Corbett,5,11,4,6.6,0.6,0.6,0.2,0,0,0,40,20
Joshua Draper,15,16,6,11.4,0.0,0.0,0.4,20,0,0,0,0
Josh Treacy,18,18,10,13.8,2.6,0.8,0.6,40,0,0,100,80
Jye Amiss,17,11,6,9.2,1.8,1.4,1.2,0,0,0,80,40
Karl Worner,3,16,5,11.0,0.0,0.0,0.33,33,0,0,0,0
Luke Jackson,18,21,7,14.8,0.6,1.2,1.4,40,40,0,60,0
Luke Ryan,18,26,15,21.2,0.0,0.0,0.0,100,60,20,0,0
Matthew Johnson,16,21,9,15.2,0.0,0.4,0.8,60,20,0,0,0
Matt Taberner,4,10,3,6.75,1.5,0.5,0.5,0,0,0,100,50
Michael Walters,16,16,2,8.2,1.8,0.4,0.6,40,0,0,60,60
Michael Frederick,15,15,8,10.4,0.8,1.6,0.0,20,0,0,60,20
Nat Fyfe,18,22,13,17.2,0.0,0.2,0.4,80,20,0,0,0
Nathan O'Driscoll,10,20,7,14.2,0.0,0.0,0.6,60,20,0,0,0
Neil Erasmus,3,9,2,5.33,0.0,0.0,0.0,0,0,0,0,0
Oscar McDonald,1,10,10,10.0,0.0,0.0,0.0,0,0,0,0,0
Sam Sturt,8,13,2,9.8,1.6,1.0,0.6,0,0,0,60,60
Sam Switkowski,15,17,11,13.6,0.6,0.4,1.2,20,0,0,60,0
Sean Darcy,10,20,7,12.8,0.4,0.2,1.6,40,20,0,40,0
Tom Emmett,11,11,6,8.4,0.0,0.4,0.6,0,0,0,0,0
Will Brodie,5,26,16,20.6,0.2,0.2,0.6,100,60,20,20,0
