Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Alex Witherden,15,31,6,17.8,0.1,0.0,0.4,70,50,10,10,0
Andrew Gaff,3,21,4,14.67,0.33,0.0,0.33,67,33,0,33,0
Bailey J. Williams,18,14,5,8.8,0.2,0.2,1.1,0,0,0,20,0
Brady Hough,18,25,9,15.4,0.0,0.1,0.3,50,20,10,0,0
Callum Jamieson,4,12,11,11.25,0.0,0.0,1.25,0,0,0,0,0
Campbell Chesser,17,15,6,11.7,0.2,0.4,0.4,10,0,0,20,0
Dom Sheed,8,20,2,12.12,0.0,0.12,1.0,50,12,0,0,0
Elijah Hewett,14,21,11,15.9,0.4,0.5,0.4,60,20,0,30,10
Elliot Yeo,15,27,13,20.1,0.6,0.5,1.5,80,60,20,60,0
Harley Reid,15,21,14,18.1,0.6,0.4,2.4,80,40,0,30,20
Harry Barnett,1,6,6,6.0,0.0,0.0,1.0,0,0,0,0,0
Harry Edwards,5,17,6,9.4,0.0,0.0,0.6,20,0,0,0,0
Harvey Johnston,2,8,4,6.0,0.0,0.0,0.0,0,0,0,0,0
Jack Darling,16,13,6,9.3,1.4,0.6,1.0,0,0,0,80,50
Jack Petruccelle,13,16,2,10.9,0.6,0.5,0.8,10,0,0,40,20
Jack Williams,13,15,1,8.0,1.0,0.3,0.8,10,0,0,60,20
Jai Culley,2,14,7,10.5,0.0,0.5,1.0,0,0,0,0,0
Jake Waterman,15,17,5,11.8,2.9,1.0,0.7,30,0,0,100,80
Jamaine Jones,11,16,6,11.1,0.1,0.2,0.8,10,0,0,10,0
Jamie Cripps,18,22,8,15.1,0.9,1.3,0.6,50,20,0,60,20
Jayden Hunt,15,35,7,14.8,0.1,0.1,0.6,30,20,10,10,0
Jeremy McGovern,16,25,15,19.7,0.1,0.1,0.9,100,60,10,10,0
Josh Rotham,12,11,4,8.1,0.0,0.0,0.5,0,0,0,0,0
Liam Duggan,17,29,6,21.8,0.0,0.1,0.4,90,70,50,0,0
Liam Ryan,12,21,11,13.7,0.9,1.0,0.8,20,10,0,50,30
Loch Rawlinson,1,4,4,4.0,0.0,1.0,0.0,0,0,0,0,0
Luke Edwards,11,17,2,10.2,0.2,0.1,0.2,30,0,0,20,0
Matt Flynn,4,12,6,8.25,0.25,0.25,0.75,0,0,0,25,0
Noah Long,7,13,8,10.0,0.29,0.71,0.43,0,0,0,29,0
Oscar Allen,6,13,6,9.33,1.83,2.0,0.33,0,0,0,67,67
Reuben Ginbey,18,22,10,16.1,0.1,0.0,0.7,50,30,0,10,0
Rhett Bazzo,11,13,3,8.9,0.0,0.0,0.3,0,0,0,0,0
Ryan Maric,15,19,4,10.2,0.4,0.4,0.2,20,0,0,40,0
Tim Kelly,15,30,15,23.4,0.1,0.6,1.1,100,70,30,10,0
Tom Barrass,17,20,9,13.7,0.0,0.0,0.8,40,10,0,0,0
Tom Cole,18,22,8,15.0,0.0,0.0,1.1,50,30,0,0,0
Tyler Brockman,10,14,4,8.4,0.1,0.2,0.6,0,0,0,10,0
Tyrell Dewar,3,9,2,4.33,0.33,0.33,0.0,0,0,0,33,0
Zane Trew,3,21,5,14.33,0.0,0.0,0.33,67,33,0,0,0
