Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Brad Close,17,24,9,14.3,0.8,0.0,1.0,50,10,0,50,20
Brandan Parfitt,5,14,5,10.8,0.2,0.0,0.8,0,0,0,20,0
Cameron Guthrie,6,28,15,22.33,0.0,0.0,0.67,100,83,33,0,0
Cooper Whyte,1,1,1,1.0,0.0,0.0,0.0,0,0,0,0,0
Esava Ratugolea,13,14,4,9.9,0.0,0.0,0.8,0,0,0,0,0
Gary Rohan,12,16,5,9.2,1.5,0.7,0.7,10,0,0,90,40
Gryan Miers,18,32,10,20.2,0.3,0.5,0.6,80,60,30,30,0
Isaac Smith,17,24,17,20.2,0.5,0.8,0.5,100,60,0,40,10
Jack Bowes,12,25,3,14.8,0.2,0.4,0.6,50,40,10,20,0
Jack Henry,9,16,8,11.78,0.44,0.0,0.78,11,0,0,33,11
Jake Kolodjashnij,14,15,7,11.6,0.0,0.0,0.4,20,0,0,0,0
Jed Bews,13,15,2,9.8,0.0,0.1,0.2,10,0,0,0,0
Jeremy Cameron,16,21,0,14.3,1.6,1.6,0.8,60,30,0,80,50
Jhye Clark,1,6,6,6.0,0.0,0.0,0.0,0,0,0,0,0
Jonathon Ceglar,6,17,7,12.67,0.0,0.0,1.0,17,0,0,0,0
Mark Blicavs,18,22,13,17.6,0.7,0.5,1.1,90,10,0,60,10
Max Holmes,16,33,8,19.3,0.2,0.2,1.5,80,40,20,20,0
Mitch Duncan,12,30,16,21.8,0.3,0.4,0.5,100,80,30,30,0
Mitchell Knevitt,7,17,3,12.43,0.29,0.29,0.57,57,0,0,29,0
Oisin Mullin,5,15,1,7.8,0.0,0.2,0.2,20,0,0,0,0
Oliver Henry,17,14,5,9.2,1.6,1.1,0.5,0,0,0,100,40
Oliver Dempsey,4,11,3,5.75,0.0,0.75,0.25,0,0,0,0,0
Patrick Dangerfield,13,31,15,21.3,0.6,0.6,1.3,100,50,40,50,10
Rhys Stanley,9,16,9,11.44,0.0,0.11,1.56,22,0,0,0,0
Sam De Koning,14,15,8,11.6,0.0,0.0,0.6,20,0,0,0,0
Sam Simpson,6,14,2,9.17,1.17,0.5,0.33,0,0,0,67,50
Tanner Bruhn,15,22,11,17.0,0.5,0.1,0.9,80,10,0,40,10
Tom Stewart,17,31,17,23.3,0.1,0.0,1.1,100,70,50,10,0
Tom Atkins,18,28,12,19.3,0.0,0.0,1.0,80,40,20,0,0
Tom Hawkins,18,16,7,11.2,2.2,1.5,0.4,10,0,0,90,70
Tyson Stengle,14,16,6,11.2,1.7,0.4,0.9,30,0,0,90,40
Zach Guthrie,18,26,10,16.7,0.1,0.1,0.1,60,30,10,10,0
Zach Tuohy,16,28,12,18.9,0.1,0.5,0.3,90,30,10,10,0
